"--Please Select--","--Виберіть, будь ласка--"
"API Login ID","Ідентифікатор логіну API"
"Accepted Currency","Валюта, що приймається"
"Authorize.net Direct Post","Пряме подання Authorize.net"
"Card Verification Number","Номер Підтвердження Картки"
"Card Verification Number Visual Reference","Візуальне Посилання Номера Підтвердження Картки"
"Close","Закрити"
"Credit Card Information","Дані Кредитної Картки"
"Credit Card Number","Номер Кредитної Картки"
"Credit Card Type","Тип Кредитної Картки"
"Credit Card Types","Типи Кредитних Карток"
"Credit Card Verification","Перевірка кредитної картки"
"Debug","Відладка"
"Email Customer","Написати ел. листа покупцеві"
"Enabled","Ввімкнено"
"Expiration Date","Дата Збігає"
"Gateway URL","URL-адреса шлюзу"
"Maximum Order Total","Максимальний підсумок замовлення"
"Merchant MD5","MD5 мерчанта"
"Merchant's Email","Електронна пошта мерчанта"
"Minimum Order Total","Мінімальний підсумок замовлення"
"New Order Status","Статус нового замовлення"
"Order saving error: %s","Помилка збереження замовлення: %s"
"Payment Action","Дія Оплати"
"Payment authorization error.","Помилка авторизація платежу."
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Sort Order","Порядок Сортування"
"Test Mode","Тестовий режим"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"Title","Назва"
"Transaction Key","Ключ транзакції"
"What is this?","Що це?"
