"%s Review(s)","%s Відгук(ів)"
"(Posted on %s)","(Надіслано %s)"
"2 stars","2 зірки"
"3 stars","3 зірки"
"4 stars","4 зірки"
"5 stars","5 зірок"
"Add New Review","Додати новий відгук"
"Add Your Review","Додати Ваш відгук"
"Administrator","Адміністратор"
"All Reviews","Усі відгуки"
"Approved","Підтверджено"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Are you sure?","Ви впевнені?"
"Average Customer Rating","Середня оцінка"
"Average Customer Rating:","Середня оцінка:"
"Back","Назад"
"Back to My Reviews","Повернутись до Моїх Відгуків"
"Back to Product Reviews","Повернутись до відгуків про продукт"
"Be the first to review this product","Будьте першим, хто відгукнеться про цей товар"
"Created On","Створено"
"Customer","Покупець"
"Customer Reviews","Відгуки клієнта"
"Customers Reviews","Відгуки клієнтів"
"Delete","Видалити"
"Delete Review","Видалити відгук"
"Detailed Rating","Деталізований рейтинг"
"Edit Review '%s'","Редагувати відгук '%s'"
"Guest","Гість"
"How do you rate this product?","Як мені оцінити цей продукт?"
"ID","Ідентифікатор"
"Manage Ratings","Управляти рейтингами"
"My Product Reviews","Мої відгуки про товар"
"My Recent Reviews","Мої нещодавні відгуки"
"Name","Назва"
"New Review","Новий відгук"
"Nickname","Псевдонім"
"Pending","В очікуванні"
"Pending Reviews","Відгуки в очікуванні"
"Please select a product","Будь-ласка, виберіть продукт"
"Please select one of each of the ratings above","Будь-ласка, виберіть одну з вищенаведених оцінок"
"Posted By","Надіслано"
"Price","Ціна"
"Product","Продукт"
"Product Name","Назва товару"
"Product Rating","Оцінка товару"
"Product Rating:","Оцінка товару:"
"Product Review (submitted on %s):","Відгук про товар(надіслано %s):"
"Product Reviews","Відгуки про товар"
"Product SKU","Обліковий номер товару"
"Products Reviews","Відгуки про товари"
"Qty","Кіл-ть"
"Rating:","Оцінка:"
"Review","Відгук"
"Review Details","Детальніше"
"Review by %s","Відгук %s"
"Reviews","Відгуки"
"SKU","Артикул"
"Save Review","Зберегти відгук"
"Status","Статус"
"Submit Review","Надіслати відгук"
"Summary Rating","Підсумкова оцінка"
"Summary of Review","Заголовок"
"Summary of Your Review","Заголовок відгуку"
"Title","Назва"
"Type","Тип"
"View All Reviews","Переглянути всі відгуки"
"View Details","Переглянути подробиці"
"Visible In","Видимий в"
"Websites","Веб-сайти"
"Write Your Own Review","Напишіть власний відгук"
"You have submitted no reviews.","Ви не залишали жодних відгуків."
"You're reviewing:","Ви переглядаєте:"
"Your Rating:","Ваша оцінка:"
"Your Review (submitted on %s):","Ваш відгук (надіслано %s):"
