"Add","Додати"
"Add New Role","Додати нову роль"
"Admin","Адміністратор"
"Allow","Дозволити"
"Assigned","Призначено"
"Attribute Set","Набір атрибутів"
"Attributes","Атрибути"
"Automatically Return Credit Memo Item to Stock","Автоматично повертати позицію сторно на склад"
"Back","Назад"
"Backorders","Відкладені замовлення"
"Catalog","Каталог"
"Category ID","Ідентифікатор категорії"
"City","Місто"
"Company","Компанія"
"Country","Країна"
"Coupon Code","Код сертифікату"
"Create","Створити"
"Create Permanent Redirect for old URL","Створити постійну переадресацію для старих URL"
"Customer","Покупець"
"Delete","Видалити"
"Deny","Заборонити"
"Discount","Знижка"
"Discount Amount","Сума знижки"
"Edit","Редагувати"
"Edit Role","Редагувати роль"
"Email","Електронна пошта"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"Exclude","Виключаючи"
"File Name","Назва файлу"
"First Name","Ім'я"
"Gift Message","Подарункове повідомлення"
"Grand Total","Загальний підсумок"
"Group","Група"
"Guest","Гість"
"ID","Ідентифікатор"
"Label","Етикетка"
"Last Name","Прізвище"
"Manage Stock","Керувати складом"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Order","Замовлення"
"Order Comments","Нотатки до замовлення"
"Order Date","Дата замовлення"
"Order ID","Ідентифікатор замовлення"
"Order Status","Статус замовлення"
"Orders","Замовлення"
"Original Price","Oстаточна ціна"
"Payment Method","Спосіб оплати"
"Phone Number","Номер телефону"
"Position","Позиція"
"Price","Ціна"
"Product","Продукт"
"Product ID","ID товару"
"Product Type","Тип товару"
"Qty","Кіл-ть"
"Qty Increments","Збільшення кіл-ті"
"Qty Uses Decimals","Для кіл-сті використовуються десяткові знаки"
"Role Info","Інформація про роль"
"Role Information","Інформація про роль"
"Role Name","Назва ролі"
"Role Users","Користувачі ролі"
"Roles","Ролі"
"SKU","Артикул"
"Sales","Продажі"
"Save","Зберегти"
"Shipping Amount","Кількість товарів для доставки"
"Shipping Method","Спосіб доставки"
"State","Регіон"
"Stock Availability","Наявність на складі"
"Stock Status","Стан складу"
"Store Name","Назва Магазину"
"Subtotal","Проміжні підсумки"
"System","Система"
"Tax Amount","Сума податку"
"Tax Rate","Ставка податку"
"Total Due","ДО СПЛАТИ"
"Total Paid","Оплачено коштів"
"Total Refunded","Загальна сума відшкодувань"
"Type","Тип"
"URL","URL-АДРЕСА"
"Update","Оновити"
"ZIP/Postal Code","Поштовий індекс"
