"* Required Fields","* Обов'язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Додати нову умову"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати до порівняння"
"Add to Wishlist","Додати до списку бажань"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After Adding a Product Redirect to Shopping Cart","Після додавання продукту перенаправлення в кошик"
"Allow Guest Checkout","Дозволяє робити замовленням гостям"
"Already registered?","Маєте обліковий запис?"
"An error occurred in the process of payment","Під час оплати сталася помилка"
"Apply","Застосувати"
"Apply Coupon","Застосувати купон"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що хотіли б видалити цю позицію з кошика?"
"Back","Назад"
"Back to Shipping Information","Назад до даних про отримувача"
"Based on your selection, you may be interested in the following items:","Зважаючи на ваш вибір, можливо вас зацікавить і такий крам:"
"Billing Address","Платіжна Адреса"
"Billing Information","Платіжні дані"
"Billing Information - %s","Платіжні дані — %s"
"Cancel","Скасувати"
"Cancel Coupon","Скасувати купон"
"Card Verification Number Visual Reference","Візуальне Посилання Номера Підтвердження Картки"
"Cart Subtotal:","Загальна вартість краму в кошику:"
"Change","Змінити"
"Change Billing Address","Змінити адресу виставлення рахунка"
"Checkout","Оформити замовлення"
"Checkout Options","Параметри оформлення замовлення"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout with Multiple Addresses","Подати замовлення з кількома адресами"
"City","Місто"
"Clear Shopping Cart","Очистити кошик"
"Close","Закрити"
"Company","Компанія"
"Condition Name","Назва умови"
"Confirm Password","Підтвердьте пароль"
"Content","Вміст"
"Content Height","Висота контенту"
"Content Height (css)","Висота контенту (css)"
"Continue","Продовжити"
"Continue Shopping","Продовжити покупки"
"Continue to Billing Information","Перейти до даних про платника"
"Continue to Review Your Order","Перейти до перегляду вашого замовлення"
"Continue to Shipping Information","Перейти до даних про отримувача"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код купона ""%s"" не дійсний."
"Create Billing Address","Створити адресу платника"
"Create Shipping Address","Створити адресу отримувача"
"Customer Address is not valid.","Адреса покупця не дійсна."
"Customer Information","Інформація про клієнта"
"Data saving problem","Під час збереження даних сталася помилка"
"Default Billing","Платник за промовчанням"
"Default Shipping","Отримувач за промовчанням"
"Delete Condition","Видалити умову"
"Details","Подробиці"
"Disabled","Вимкнено"
"Discount Codes","Коди знижок"
"Display Cart Summary","Показати короткий огляд кошика"
"Display item quantities","Відображати кількість елементу"
"Display number of items in cart","Відобразити кількість товарів в кошику"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Адреса для виставлення рахунків"
"Edit Condition","Редагувати умову"
