"Add","Додати"
"Add New Row","Додати новий рядок"
"Availability:","Наявність:"
"Back","Назад"
"Canceled","Скасовано"
"Date","Дата"
"Delete","Видалити"
"Edit","Редагувати"
"Edit item parameters","Редегувати параметри позиції"
"Excl. Tax","Викл. податки"
"File","Файл"
"From:","Від:"
"Gift Message","Подарункове повідомлення"
"In stock","В наявності"
"Incl. Tax","З податками"
"Invoiced","Виставлено рахунок"
"List","Список"
"Message:","Повідомлення:"
"My Downloadable Products","Мої завантажувані товари"
"Order #","Замовлення #"
"Ordered","Замовлено"
"Out of stock","Немає у наявності"
"Pending","В очікуванні"
"Price","Ціна"
"Qty","Кіл-ть"
"Refunded","Повернено"
"Remove","Вилучити"
"Remove Item","Видалити елемент"
"SKU","Артикул"
"See price before order confirmation.","Перегляньте ціну перед підтвердженням замовлення."
"Shipped","Відправлено"
"Sort Order","Порядок Сортування"
"Status","Статус"
"Subtotal","Проміжні підсумки"
"Title","Назва"
"To:","До:"
"Unlimited","Необмежено"
"Update","Оновити"
"Use Default Value","Використовувати типове значення"
"View Order","Переглянути замовлення"
"What's this?","Що це?"
"You have not purchased any downloadable products yet.","Ви ще не придбали жодних завантажуваних товарів."
