"* Required Fields","* Обов'язкові поля"
"--Please Select--","--Виберіть, будь ласка--"
"Card Verification Number","Номер Підтвердження Картки"
"Credit Card Number","Номер Кредитної Картки"
"Credit Card Number: xxxx-%s","Номер кредитної картки: xxxx-%s"
"Credit Card Type","Тип Кредитної Картки"
"Credit Card Type: %s","Тип кредитної картки: %s"
"Credit Card Types","Типи Кредитних Карток"
"Credit card type is not allowed for this payment method.","Тип кредитної картки не дозволений для цього способу оплати."
"Currency","Валюта"
"Day","День"
"Enabled","Ввімкнено"
"Expiration Date","Дата Збігає"
"Expiration Date: %s/%s","Дата завершення: %s/%s"
"Incorrect credit card expiration date.","Неправильний термін дії банківської картки."
"Issue Number","Номер емітента картки"
"Make Check payable to: %s","Зробити чек оплачуваним на ім'я: %s"
"Maximum Order Total","Максимальний підсумок замовлення"
"Merchant ID","Ідентифікатор Торговця"
"Minimum Order Total","Мінімальний підсумок замовлення"
"Month","Місяць"
"N/A","Н/Д"
"Name on Card","Ім’я та прізвище на картці"
"Name on the Card: %s","Ім’я та прізвище на картці: %s"
"New Order Status","Статус нового замовлення"
"Password","Пароль"
"Payment Method","Спосіб оплати"
"Payment Methods","Методи оплати"
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Please enter a valid credit card verification number.","Будь ласка, введіть правильний номер перевірки кредитної картки."
"Purchase Order Number","Оплата замовлення №"
"Purchase Order Number: %s","Оплата замовлення №: %s"
"Saved CC","Збережена копія"
"Selected payment type is not allowed for billing country.","Обраний тип оплати не дозволений для країни виставлення рахунків."
"Send Check to","Надіслати чек"
"Send Check to:","Надіслати чек:"
"Shipping Amount","Кількість товарів для доставки"
"Sort Order","Порядок Сортування"
"Start Date","Дата початку"
"Tax Amount","Сума податку"
"Test Mode","Тестовий режим"
"Title","Назва"
"What is this?","Що це?"
"Year","Рік"
"Zero Subtotal Checkout","Оформити замовлення з нульовою вартістю"
