"Actions","Дії"
"Active","Активний"
"Add New Rule","Додати нове правило"
"Apply","Застосувати"
"Apply To","Застосувати для"
"Apply the rule only if the following conditions are met (leave blank for all products)","Застосувати правило тільки за умови(залишіть поле пустим якщо правило стосується всіх товарів):"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Застосувати правило до товарів в кошику, що відповідають таким вимогам (залишіть поле пустим якщо правило стосується всіх товарів):"
"Apply the rule to cart items matching the following conditions","Застосувати правило до товарів в кошику, що відповідають таким вимогам"
"Buy X get Y free (discount amount is Y)","Купіть Х шт. і отримайте У шт. в подарунок (де У - розмір знижки)"
"By Fixed value","За фіксованим значенням"
"By Percentage","За відсотковим співвідношенням"
"Cart Attribute","Атрибут кошика"
"Catalog","Каталог"
"Conditions","Умови"
"Conditions combination","Комбінація умов"
"Coupon Code","Код сертифікату"
"Created On","Створено"
"Customer Groups","Групи Покупців"
"Date Expire","Дата закінчення"
"Date Start","Дата початку"
"Description","Опис"
"Discount Amount","Сума знижки"
"Discount Qty Step (Buy X)","Мін. кількість для знижки (Купіть X)"
"Edit Rule","Редагувати правило"
"Edit Rule '%s'","редагувати правило '%s'"
"Fixed amount discount","Фіксована сума знижки"
"Fixed amount discount for whole cart","Фіксована сума знижки для всього кошика"
"For matching items only","Для товарів, що відповідають умовам"
"For shipment with matching items","Для пакунків з товарами, що відповідають умовам"
"From Date","Дата початку"
"General Information","Загальна інформація"
"ID","Ідентифікатор"
"Inactive","Неактивний"
"Labels","Етикетки"
"NOT LOGGED IN","НЕ АВТОРИЗОВАНИЙ"
"New Rule","Нове правило"
"No","Ні"
"Number of Uses","Кількість запитів"
"Payment Method","Спосіб оплати"
"Percent of product price discount","Процент знижки ціни продукту"
"Period","Період"
"Price in cart","Ціна в кошику"
"Priority","Пріоритет"
"Product attribute combination","Комбінація атрибутів товару"
"Promotions","Заохочення"
"Public In RSS Feed","Опублікувати в RSS"
"Quantity in cart","Кількість в кошику"
"Row total in cart","Всього в кошику"
"Rule Information","Інформація про правило"
"Rule Name","Назва правила"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Shipping Country","Країна доставки"
"Shipping Method","Спосіб доставки"
"Shipping Postcode","Поштовий код доставки"
"Shipping Region","Регіон доставки"
"Shipping State/Province","Рагіон/область доставки"
"Shopping Cart Price Rule","Правило ціни кошика"
"Shopping Cart Price Rules","Правила ціни кошика"
"Special Price","Спеціальна ціна"
"Status","Статус"
"Subtotal","Проміжні підсумки"
"Subtotal Amount","Вартість товару"
"This rule no longer exists.","Цього правила більше не існує."
"Times Used","Число використань"
"To Date","Дата закінчення"
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсоткового співвідношення"
"Total","Загалом"
"Total Amount","Загальна сума"
"Total Items Quantity","Загальна кількість товару"
"Total Weight","Загальна вага"
"Update prices using the following information","Оновити ціни використовуючи наступну інформацію"
"Update product's %s %s: %s","Оновити  %s %s: %s товару"
"Update the Product","Оновити товар"
"Website","Веб-сайт"
"Websites","Веб-сайти"
"Yes","Так"
