"# of Use","# використання"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Копіювати дані з: %s)"
"* Required Fields","* Обов'язкові поля"
"-- Please Select --","-- Виберіть --"
"A group with the same name already exists.","Група з такою назвою вже існує."
"A name is required","Ім&#39;я є обов&#39;язковим полем"
"A product type is not defined for the indexer.","Тип товару не визначений для індексатора."
"ALL GROUPS","УСІ ГРУПИ"
"Action","Дія"
"Add","Додати"
"Add Attribute","Додати атрибут"
"Add Design Change","Додати Зміну Дизайну"
"Add Group","Додати групу"
"Add New","Додати Новий"
"Add New Attribute","Додати новий атрибут"
"Add New Attribute Set","Додати новий набір атрибутів"
"Add New Group","Додати нову групу"
"Add New Images","Додати нові зображення"
"Add New Option","Додати нову опцію"
"Add New Row","Додати новий рядок"
"Add New Search Term","Додати новий пошуковий вираз"
"Add New Set","Додати новий набір"
"Add Product","Додати товар"
"Add Product To Websites","Додати товар на веб-сайти"
"Add Root Category","Додати кореневу категорію"
"Add Subcategory","Додати підкатегорію"
"Add Tier","Додати рівень"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати до порівняння"
"Add to Wishlist","Додати до списку бажань"
"Additional Information","Додаткова інформація"
"All","Всі"
"All Product Types","Усі типи товарів"
"All Websites","Всі Веб-сайти"
"All products","Усі товари"
"All products - recently added products, New products - products marked as new","Усі товари - нещодавно додані товари, Нові товари - товари, позначені як нові"
"Allow All Products per Page","Дозволити всі товари на сторінці"
"Amount","Сума"
"Anchor Custom Text","Користувацький текст якоря"
"Anchor Custom Title","Користувацький заголовок якоря"
"Apply To","Застосувати для"
"Approved","Підтверджено"
"Are you sure you want to delete this category?","Ви впевнені, що хочете видалити цю категорію?"
"Are you sure you would like to remove this item from the compare products?","Ви впевнені, що бажаєте видалити цей товар зі списку порівняння?"
"Are you sure?","Ви впевнені?"
"As low as:","Всього за:"
"Associated Products","Пов'язані товари"
"Attrib. Set Name","Набір атрибутів"
"Attribute Information","Інформація атрибуту"
"Attribute Model","Модель атрибуту"
"Attribute Name:","Ім&#39;я атрибуту:"
"Attribute Set","Набір атрибутів"
"Attribute Sets","Набори атрибутів"
"Attribute with the same code already exists","Атрибут з ідентичним кодом вже існує"
"Attributes","Атрибути"
"Autogenerate","Автостворення"
"Availability:","Наявність:"
"Back","Назад"
"Backend Model","Модель внутрішнього інтерфейсу"
"Backend Table","Таблиця внутрішнього інтерфейсу"
"Backend Table Title","Назва таблиці внутрішнього інтерфейсу"
"Backorders","Відкладені замовлення"
"Based On","На підставі"
"Best Value","Найкраща ціна"
"Block after Info Column","Блокувати після інформаційної колонки"
"Bottom/Left","Знизу/Ліворуч"
"Bottom/Right","Знизу/Праворуч"
"Browse By","Перегляд"
"Bundle Items","Позиції комплекту"
"Cache Lifetime (Seconds)","Строк життя кешу (секунд)"
"Can be used only with catalog input type Dropdown","Може використовуватись виключно з випадаючим меню каталогу"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може використовуватись виключно з випадаючим меню каталогу, Груповим вибором та Ціною"
"Cancel","Скасувати"
"Cart Item Attribute","Атрибут товару в кошику"
"Catalog","Каталог"
"Catalog Category Link","Посилання на категорію каталогу"
"Catalog New Products List","Перелік нових продуктів каталогу"
"Catalog Price Scope","Діапазон цін каталогу"
"Catalog Product Link","Посилання на товар каталогу"
"Catalog Section","Розділ каталогу"
"Catalog, Search","Каталог, Пошук"
"Categories","Категорії"
"Categories Sitemap","Дерево категроій"
"Category","Категорія"
"Category Data","Дані категорії"
"Category Flat Data","Пласкі дані категорії"
"Category Link Block Template","Блочний шаблон посилання на категорію"
"Category Link Inline Template","Рядний шаблон посилання на категорію"
"Category Products","Продукти категорії"
"Category Top Navigation","Верхня навігація категорії"
"Category move error","Помилка переміщення категорії"
"Center","Центр"
"Change","Змінити"
"Change status","Змінити стан"
"Check items to add to the cart or","Позначте елементи, які додати до кошика, або"
"Choose an Option...","Виберіть варіант..."
"Clear All","Очистити всі"
"Clear Price","Очистити ціну"
"Click for price","Клацніть, щоб дізнатись ціну"
"Close Window","Закрити вікно"
"Collapse All","Згорнути все"
"Comma-separated.","Через кому."
"Comparable","Порівнянний"
"Comparable on Front-end","Піддається порівнянню на зовнішньому інтерфейсі"
"Compare","Порівняти"
"Compare Products","Порівняти товари"
"Conditions Combination","Умови комбінації"
"Configurable Product","Конфігурований товар"
"Configurable Product Settings","Налаштування кофігурованого товару"
"Configure Product","Налаштувати товар"
"Continue","Продовжити"
"Create","Створити"
"Create Empty","Створити пустий"
"Create Permanent Redirect for old URL","Створити постійну переадресацію для старих URL"
"Create Product Settings","Створити налаштування товару"
"Create Simple Associated Product","Створити простий пов'язаний товар"
"Cross-sells","Перехресні продажі"
"Custom Design","Користувацький Дизайн"
"Custom Options","Користувацькі опції"
"Customer Group","Група покупців"
"Customers Reviews","Відгуки клієнтів"
"Customers Tagged Product","Товар, відзначений клієнтами"
"Data Type for Saving in Database","Тип даних для збереження у базі даних"
"Date & Time Custom Options","Користувацькі опції дати та часу"
"Date Fields Order","Порядок полів дати"
"Date Subscribed","Дата підписки"
"Datetime","Дата й час"
"Decimal","Десяткове"
"Declare attribute value saving scope","Зазначти діапазон збереження для значення атрибуту"
"Default Price","Типова ціна"
"Default Values","Типові значення"
"Delete","Видалити"
"Delete Attribute","Видалити атрибут"
"Delete Attribute Set","Видалити набір атрибутів"
"Delete Category","Видалити категорію"
"Delete Option","Видалити опцію"
"Delete Row","Видалити рядок"
"Delete Search","Видалити пошук"
"Delete Selected Group","Видалити вибрану групу"
"Delete Tier","Видалити Tier"
"Description","Опис"
"Design","Дизайн"
"Details","Подробиці"
"Disabled","Вимкнено"
"Display Page Control","Відображати органи керування сторінкою"
"Display Type","Тип відображення"
"Display in Suggested Terms","Відображати у запропонованих умовах"
"Double click on a group to rename it","Двічі клікніть на групі для її перейменування "
"Duplicate","Дублювати"
"Duplicate website tier price customer group and quantity.","Дублювати рівень цін веб-сайту, групу клієнтів та кількість."
"Edit","Редагувати"
"Edit Attribute Set '%s'","Редагувати набір атрибутів '%s'"
"Edit Product Attribute","Редагувати атрибут товару"
"Edit Product Attribute ""%s""","Редагувати атрибут товару ""%s"""
"Edit Search","Редагувати пошук"
"Edit Search '%s'","Редагувати пошук '%s'"
"Email","Електронна пошта"
"Email to a Friend","Надіслати другу"
"Empty","Порожній"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"Enabled","Ввімкнено"
"Error during retrieval of option value: %s","Помилка при отриманні варіанта значення: %s"
"Exclude","Виключаючи"
"Expand All","Розгорнути все"
"Failed","Не вдалося"
"Failed to move file: %s","Неможливо перемістити файл: %s"
"Feature Products","Популярні товари"
"Filter","Фільтр"
"Filterable (no results)","Фільтрування (без результатів)"
"Filterable (with results)","Фільтрування (з результатами)"
"First Name","Ім'я"
"Fixed","Фіксована"
"Frontend","Зовнішній інтерфейс"
"Frontend Model","Модель зовнішнього інтерфейсу"
"Frontend Properties","Налаштування зовнішнього інтерфейсу"
"Gallery","Галерея"
"General Information","Загальна інформація"
"Global","Загальний"
"Globally Editable","Редагується глобально"
"Go to Home Page","Перейти на домашню сторінку"
"Grid","Таблиця"
"Grouped Product","Згруповані товари"
"Groups","Групи"
"Home","Головна"
"ID","Ідентифікатор"
"Image","Зображення"
"Image type and information need to be specified for each store view.","Тип Зображення повинен бути зазначений для кожного магазину."
"In Stock","В наявності"
"In stock","В наявності"
"Incl. Tax","З податками"
"Index product prices","Індексувати ціни товарів"
"Indexed category/products association","Індексовані асоціації категорії/товари"
"Input Type","Тип вводу"
"Integer","Ціле число"
"Invalid store specified","Вказана невірна група магазинів"
"Inventory","Інвентар"
"Is Default","Є за промовчанням"
"Items %s to %s of %s total","Товари від %s до %s з %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Товари, які Ви не бажаєте відображати в каталозі або результатах пошуку повинні мати статус 'Не показувати'  у вибраній групі магазинів."
"Label","Етикетка"
"Last Name","Прізвище"
"Last Notification","Останнє поівдомлення"
"Learn More","Дізнатись більше"
"Line %d, Email: %s","Стрічка %d, Email: %s"
"Line %d, SKU: %s","Стрічка %d, обліковий номер: %s"
"Link to a Specified Category","Посилання на вказану категорію"
"Link to a Specified Product","Посилання на вказаний товар"
"List","Список"
"List Mode","Режим списку"
"List of Products that are set as New","Перелік товарів, позначених як нові"
"Manage Attribute Sets","Керувати наборами атрибутів"
"Manage Attributes","Атрибути"
"Manage Catalog Categories","Керувати категоріями каталогу"
"Manage Categories","Керувати категоріями"
"Manage Label / Options","Мітки / Варіанти"
"Manage Options (values of your attribute)","Управління варіантами (значення Вашого атрибуту )"
"Manage Product Attributes","Керувати атрибутами товару"
"Manage Product Sets","Керувати наборами товарів"
"Manage Products","Товари"
"Manage Stock","Керувати складом"
"Manage Titles (Size, Color, etc.)","Керувати заголовками (розмір, колір тощо)"
"Max Characters","Макс. символів"
"Maximal Depth","Максимальна глибина"
"Maximum Image Size","Максимальний розмір зображення"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Maximum image height","Максимальна висота зображення"
"Maximum image width","Максимальна ширина зображення"
"Maximum number of characters:","Максимальна кількість символів:"
"Media Image","Медіа зображення"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"Minimum Qty for Item's Status to be Out of Stock","Мінімальна кількість для статусу товару, яка може бути відсутня на складі"
"More Views","Детальніше"
"My Account","Мій обліковий запис"
"N/A","Н/Д"
"Name","Назва"
"New Product","Новий товар"
"New Product Attribute","Новий атрибут товару"
"New Products","Нові товари"
"New Products Grid Template","Шаблон сітки нових товарів"
"New Products List Template","Шаблон списку нових товарів"
"New Search","Новий пошук"
"New Set Name","Нова назва набору"
"New products","Нові товари"
"Next","Наступне"
"No","Ні"
"No image","Зображення відсутнє"
"No layout updates","Немає оновлень розмітки"
"No options of this product are available.","Немає доступних опцій цього товару."
"None","Жоден"
"Not Visible Individually","Не відображається індивідуально"
"Notify Low Stock RSS","Повідомити про низький запас по RSS"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Number of Products per Page","Кількість товарів на сторінці"
"Number of Products to Display","Кількість товарів для показу"
"Number of Uses","Кількість запитів"
"OK","ОК"
"OR","АБО"
"Old Price:","Стара ціна:"
"Option:","Варіант:"
"Options","Варіанти"
"Options Control","Функції контролю"
"Options is required","Необхідно вказати варіанти"
"Out of Stock","Немає в наявності"
"Out of stock","Немає у наявності"
"PM","ПП"
"Page Title Separator","Роздільник заголовку сторінки"
"Parent Category","Батьківська категорія"
"Pending","В очікуванні"
"Pending Reviews RSS","RSS відгуків, що очікують підтвердження"
"Percentage","Процентне співвідношення"
"Please add rows to option.","Будь ласка, додайте рядки в опції"
"Please enter a new group name","Будь-ласка, введіть назву нової групи"
"Please select one or more attributes.","Будь-ласка, оберіть один, або більше атрибут."
"Please select products for attributes update","Будь-ласка, виберіть товари для оновленя атрибутів"
"Please specify date required option(s).","Будь ласка, вкажіть необхідну(і) опцію(ї) дати."
"Please specify time required option(s).","Будь ласка, вкажіть необхідну(і) опцію(ї)."
"Please wait...","Зачекайте будь ласка..."
"Position","Позиція"
"Position of attribute in layered navigation block","Позиція атрибуту в багаторівневому меню "
"Prev","Поп-ній"
"Previous","Попереднє"
"Price","Ціна"
"Price Type","Тип ціни"
"Price values for options should be specified in system base currency.","Значення ціни для варіантів мають бути вказані в основній системній валюті."
"Price:","Ціна:"
"Print This Page","Розрудукувати цю сторінку"
"Product","Продукт"
"Product Alerts","Товарні оповіщення"
"Product Attribute","Атрибут товару"
"Product Attributes","Атрибути товарів"
"Product Categories","Категорії товарів"
"Product Description","Опис товару"
"Product Flat Data","Пласкі дані товарів"
"Product ID","ID товару"
"Product Image Placeholders","Заповнювач для зображення товару"
"Product Image Watermarks","Водяні знаки для зображення товару"
"Product In Websites","Товар на веб-сайтах"
"Product Info Column","Колонка інформації про товар"
"Product Information","Інформація про товар"
"Product Link Block Template","Блочний шаблон посилання на товар"
"Product Link Inline Template","Рядний шаблон посилання на товар"
"Product Listing Sort by","Сортування списку товарів"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product Tags","Теги товару"
"Product Type","Тип товару"
"Product is not loaded","Товар не завантажено"
"Product with this combination of attributes already associated to configurable.","Товар з цією комбінацією атрибутів вже пов'язаний з кофігурованим."
"Products","Товари"
"Products Comparison List","Список порівняння товарів"
"Products Information","Інформація про товар"
"Products Reviews","Відгуки про товари"
"Products Sitemap","Дерево продуктів"
"Products only","Тільки товари"
"Products per Page on Grid Allowed Values","Допустимі значення Товарів на сторінку по Сітці"
"Products per Page on Grid Default Value","Типове значення Товарів на сторінку по Сітці"
"Products per Page on List Allowed Values","Допустимі значення Товарів на сторінку у Списку"
"Products per Page on List Default Value","Типове значення Товарів на сторінку у Списку"
"Properties","Властивості"
"Qty","Кіл-ть"
"Qty Increments","Збільшення кіл-ті"
"Qty Uses Decimals","Для кіл-сті використовуються десяткові знаки"
"Qty:","Кількість:"
"Quantity","Кількість"
"Quick Create","Швидке створення"
"Quick Overview","Короткий огляд"
"Quick simple product creation","Швидке створення простого товару"
"Redirect","Перенаправлення"
"Redirect URL","URL перенаправлення"
"Regular Price:","Звичайна ціна:"
"Related Products","Супутні товари"
"Remove","Вилучити"
"Remove Product From Websites","Видалити товар з веб-сайтів"
"Remove This Item","Видалити Цей Елемент"
"Reorganize EAV category structure to flat structure","Реорганізувати EAV структуру категорій у пласку структуру"
"Reorganize EAV product structure to flat structure","Реорганізувати EAV структуру товарів у пласку структуру"
"Reset","Очистити"
"Results","Результати"
"Reviews","Відгуки"
"Roll Over for preview","Перемотати до перегляду"
"Root","Корінь"
"SKU","Артикул"
"Save","Зберегти"
"Save Attribute","Зберегти атрибут"
"Save Attribute Set","Зберегти набір атрибутів"
"Save Category","Зберегти категорію"
"Save Search","Зберегти пошук"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Scope","Область використання"
"Search","Пошук"
"Search Engine Optimizations","Пошукова оптимізація"
"Search Information","Пошук інофрмації"
"Search Query","Пошуковий запит"
"Search Weight","Пошук за вагою"
"Searchable","Доступний для пошуку"
"See price before order confirmation.","Перегляньте ціну перед підтвердженням замовлення."
"Select Category...","Виберіть категорію..."
"Select Configurable Attributes ","Вибрати конфігуровані атрибути"
"Select Product...","Виберіть товар..."
"Select type options required values rows.","Виберіть рядки необхідних значень опцій типу."
"Selected Product Types","Вибрати типи товару"
"Send Count","Відправлено разів"
"Set Ascending Direction","Сортувати у порядку зменшення"
"Set Descending Direction","Сортувати у порядку збільшення"
"Set Name","Назва набору"
"Set root category for this store in the <a href=""%s"">configuration</a>","Встановити кореневу категорію для цієї групи  магазинів в <a href=""%s"">налаштуваннях</a>"
"Settings","Налаштування"
"Shop By","Продукція за"
"Shopping Options","Варіанти товарів"
"Show","Показати"
"Simple Product","Простий продукт"
"Site Map","Мапа сайту"
"Sitemap","Карта сайту"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск імпортованої стрічки, значення ""%s"" некорректне для поля ""%s"""
"Some of the selected item options are not currently available.","Деякі з вибраних опцій позиції наразі недоступні."
"Sort By","Сортувати за"
"Sort Order","Порядок Сортування"
"Source Model","Модель вихідного коду"
"Special Price:","Спеціальна ціна:"
"Starting at:","Починаючи з:"
"Static","Статичний"
"Static block and products","Статичний блок і товари"
"Static block only","Тільки статичний блок"
"Status","Статус"
"Stock Availability","Наявність на складі"
"Store","Магазин"
"Store View","Вид Магазину"
"Stretch","Розтягнути"
"Subscribe to RSS Feed","Підписатися на RSS-канал"
"Super product attributes configuration","Налаштування атрибутів супер товару"
"Synonym For","Синонім"
"System Properties","Властивості системи"
"Tag Name","Назва тегу"
"Tax","Податок"
"Template","Шаблон"
"Text","Текст"
"There are no %s available."," %s немає в наявності."
"There are no customers for this alert","Для цього оповіщення більше немає клієнтів"
"There are no customers for this alert.","Немає покупців для цього оповіщення."
"There are no products matching the selection.","Товари, що відповідають вибру відсутні."
"This attribute cannot be edited.","Цей атрибут не може бути змінений."
"This attribute no longer exists","Цього атрибуту більше не існує "
"This attribute set no longer exists.","Цей набір атрибутів більше не існує."
"This group contains system attributes. Please move system attributes to another group and try again.","Ця група містить системні атрибути. Будь ласка, перемістіть системні атрибути в іншу групу та спробуйте знову."
"Tier Pricing","Ярусне Ціноутворення"
"Tile","Плитка"
"Time Format","Формат часу"
"Title","Назва"
"Top/Left","Зверху/Зліва"
"Top/Right","Зверху/Справа"
"Type","Тип"
"Unassigned Attributes","Непризначені атрибути"
"Up-sells","Допродажі"
"Update","Оновити"
"Update Attributes","Оновити атрибути"
"Update attributes","Оновити атрибути"
"Use Canonical Link Meta Tag For Categories","Використовувати мета-тег канонічного посилання для категорій"
"Use Canonical Link Meta Tag For Products","Використовувати мета-тег канонічного посилання для товарів"
"Use Config Settings","Використовувати значення за замовчуванням"
"Use Default Value","Використовувати типове значення"
"Use Flat Catalog Category","Використовувати категорію плоского каталогу"
"Use Flat Catalog Product","Використовувати товар плоского каталогу"
"Use In Layered Navigation","Використовувати в багаторівненвому меню"
"Use JavaScript Calendar","Використовувати календар JavaScript"
"Use To Create Configurable Product","Використовуйте для створення конфігурованого товару"
"Use config","Використати конфігурацію"
"Use default","Використати значення за замовчуванням"
"Use for Promo Rule Conditions","Використовувати для Умов Акційних Правил"
"Use in Layered Navigation","Використання в пошукової навігації"
"Used for Sorting in Product Listing","Використовується для Сортування у Списку Товарів"
"Used in Product Listing","Використовується у Списку Товарів"
"View Details","Переглянути подробиці"
"View as","Відобразити як"
"Visibility","Видимість"
"Visible","Видимий"
"Visible on Catalog Pages on Front-end","Видимий на сторінках каталогу на зовнішньому інтерфейсі"
"WYSIWYG Editor","WYSIWYG Редактор"
"Watermark","Водяний знак"
"Watermark Default Size","Розмір водяного знаку за замовчуванням "
"Watermark Position","Розташування водяного знаку"
"Website","Веб-сайт"
"Websites","Веб-сайти"
"What's this?","Що це?"
"Year Range","Діапазон року"
"Yes","Так"
"You cannot remove system attribute from this set.","Ви не можете видалити системний атрибут з цього набору."
"You have no items to compare.","У Вас немає товарів для порівняння."
"You may also be interested in the following product(s)","Вас також можуть зацікавити наступні товари"
"Zoom In","Збільшити"
"Zoom Out","Зменшити"
"and","та"
"and above","та вище"
"ex. http://domain.com","Напр. http://domain.com"
"per page","на сторінці"
"px.","пікс."
"save","зберегти"
"select all","вибрати все"
"unselect all","Зняти виділення з усього"
