"API Password","API пароль"
"API Signature","API підпис"
"Address","Адреса"
"Advanced Settings","Розширені налаштування"
"Allowed Credit Card Types","Допустимі Типи Кредитних Карток"
"Authorization","Авторизація"
"Billing Information","Платіжні дані"
"City","Місто"
"Close","Закрити"
"Company","Компанія"
"Configure","Налаштувати"
"Continue","Продовжити"
"Country","Країна"
"Credit","Кредит"
"Custom","Користувацький"
"Daily","Щоденно"
"Discount","Знижка"
"Display on Shopping Cart","Відобразити на Кошику Покупок"
"Dynamic","Динамічна"
"Edit","Редагувати"
"Edit Shopping Cart","Редагувати Кошик"
"Email Address","Електронна пошта"
"Enable this Solution","Увімкнути це Рішення"
"Enabled","Ввімкнено"
"Fax","Факс"
"Help","Допомога"
"Home Page","Домашня сторінка"
"Items in Your Shopping Cart","Товари у Вашому кошику"
"Learn More","Дізнатись більше"
"Login","Увійти"
"N/A","Н/Д"
"Never","Ніколи"
"No","Ні"
"Order","Замовлення"
"Order ID","Ідентифікатор замовлення"
"Page Style","Стиль сторінки"
"Partner","Партнер"
"Password","Пароль"
"Payment Action","Дія Оплати"
"Payment Method","Спосіб оплати"
"Place Order","Розмістити Замовлення"
"Please agree to all the terms and conditions before placing the order.","Буль-ласка, погодьтеся з усіма правилами та умовами перед тим як розмістити замовлення."
"Please select a shipping method...","Будь ласка, виберіть спосіб доставки..."
"Please select region, state or province","Будь-ласка, оберіть регіон, штат або область"
"Position","Позиція"
"Price","Ціна"
"Product","Продукт"
"Product Name","Назва товару"
"Qty","Кіл-ть"
"Reports","Звіти"
"Require Customer's Billing Address","Вимагати Платіжну Адресу Покупця"
"Review Order","Перевірте замовлення"
"Sale","Продаж"
"Sales","Продажі"
"Schedule","Розклад"
"Shipping","Доставка"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація про доставку"
"Shipping Method","Спосіб доставки"
"Size","Розмір"
"Sort Order","Порядок Сортування"
"State/Province","Штат/Область"
"Static","Статичний"
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Submitting order information...","Відбувається відправлення даних замовлення..."
"Subtotal","Проміжні підсумки"
"Telephone","Телефон"
"Test Mode","Тестовий режим"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"Title","Назва"
"Transaction ID","Ідентифікатор Танзакції"
"Update Shipping Method","Оновити метод доставки"
"User","Користувач"
"VAT Number","Номер VAT"
"View","Переглянути"
"Void","Недійсний"
"Yes","Так"
"Zip/Postal Code","Поштовий індекс"
