"Actions","Дії"
"Are you sure?","Ви впевнені?"
"Date Added","Дата додавання"
"Last Update","Останнє оновлення"
"Mark as Read","Позначити як прочитане"
"Message","Повідомлення"
"Messages Inbox","Вхідні повідомлення"
"Notifications","Сповіщення"
"Please select messages.","Будь ласка, виберіть повідомлення."
"Read Details","Читати подробиці"
"Remove","Вилучити"
"Severity","Суворість"
"Show List","Показати список"
"Show Toolbar","Показати панель інструментів"
"The message has been removed.","Повідомлення було вилучено."
"Update Frequency","Частота оновлення"
"Use HTTPS to Get Feed","Використовувати HTTPS для отримання стрічки новин"
"Wrong message type","Невірний тип повідомлення"
"critical","критично"
"major","основне"
"minor","другорядне"
"notice","повідомлення"
