"2 stars","2 зірки"
"3 stars","3 зірки"
"4 stars","4 зірки"
"5 stars","5 зірок"
"Add New Rating","Додати новий рейтинг"
"Assigned Options","Призначені варіанти"
"Be the first to review this product","Будьте першим, хто відгукнеться про цей товар"
"Default Value","Типове значення"
"Delete Rating","Видалит рейтинг"
"Edit Rating","Редагувати рейтинг"
"ID","Ідентифікатор"
"If you do not specify a rating title for a store, the default value will be used.","Якщо ви не вкажете заголовок рейтингу для групи магазинів, буде використане значення за замовчуванням."
"New Rating","Новий рейтинг"
"Option Label","Назва варіанта"
"Option Title","Назва опції"
"Option Title:","Заголовок варіанта:"
"Please select one of each ratings above","Будь-ласка, виберіть один з вищенаведених рейтингів"
"Rating Information","Інформація про рейтинг"
"Rating Name","Назва рейтингу"
"Rating Options","Варіанти рейтингу"
"Rating Title","Заголовок рейтингу"
"Rating Visibility","Показ рейтингу"
"Rating isn't Available","На даний момент рейтинг недоступний"
"Rating with the same title","Рейтинг з ідентичним заголовком"
"Save Rating","Зберегти рейтинг"
"Sort Order","Порядок Сортування"
"Visible In","Видимий в"
