" [deleted]"," [видалено]"
"(For US 2-letter state names)","(Для назв штатів, що складаються з 2-х букв)"
"(If left empty will be auto-generated)","(Якщо це поле звлишити пустим, значення буде автоматично згенеровано)"
"(Leave empty for first spreadsheet)","(Залишіть пустим для першої таблиці)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товари будуть додані/оновлені для цієї групи магазинів, якщо колонка 'група магазинів' є пустою або відсутньою в імпортованому файлі.)"
"(Starting with)","(Починаючи з)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(При значенні 'Ні', виключно співставлені поля будуть імпортовані. При співставленні, використовувати  'column1', 'column2', тощо.)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Обов'язкові поля"
"-- Please Select --","-- Виберіть --"
"-- Please Select a Category --","-- Будь ласка, виберіть категорію --"
"-- Please select --","-- Виберіть, будь ласка --"
"--Please Select--","--Виберіть, будь ласка--"
"1 Hour","1 година"
"12 Hours","12 годин"
"12h AM/PM","12 год. AM/PM"
"2 Hours","2 години"
"24 Hours","24 години"
"24h","24 год."
"2YTD","З Початку Минулого Року"
"6 Hours","6 годин"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Помилка 404</h1><p>Сторінку не знайдено.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Увага</strong>: Captcha чутливий до регістру."
"API Key","API ключ"
"About the calendar","Про календар"
"Account Created in:","Обліковий запис створено:"
"Account Created on:","Обліковий запис створено:"
"Account Information","Інформація про обліковий запис"
"Account status","Статус обікового запису"
"Action","Дія"
"Actions","Дії"
"Actions XML","Дії XML"
"Active","Активний"
"Add","Додати"
"Add Field Mapping","Додати спіставлення полів"
"Add New","Додати Новий"
"Add New Block","Додати новий блок"
"Add New Image","Додати Нове Зображення"
"Add New Profile","Додати новий профіль"
"Add New Role","Додати нову роль"
"Add New Template","Додати новий шаблон"
"Add New User","Додати нового користувача"
"Add Products","Додати Продукти"
"Additional Cache Management","Додаткове Управління Кешем"
"Address Type:","Тип адреси:"
"Admin","Адміністратор"
"Advanced Profiles","Розширені профілі"
"All","Всі"
"All Allowed Countries","Всі дозволені країни"
"All Cache","Весь кеш"
"All Files","Всі файли"
"All Reviews","Усі відгуки"
"All Store Views","Усі Види Магазинів"
"All Tags","Всі теги"
