"1 Day Freight","1 день доставки"
"2 Day Freight","2 день доставки"
"3 Day Freight","3 день доставки"
"Access ID","ID доступу"
"Account ID","ID облікового запису"
"Account Number","Номер акаунту"
"Adult","Для дорослих"
"Calculate Handling Fee","Комісія за оформлення"
"Cannot retrieve shipping rates","Неможливо найти розцінки для доставки"
"Centimeters","Сантиметрів"
"Configuration","Налаштування"
"Container","Котейнер"
"Debug","Відладка"
"Delivered","Доставлено"
"Depth","Глибина"
"Displayed Error Message","Повідомлення про помилку"
"Error #%s : %s (%s)","Помилка #%s : %s (%s)"
"Error #%s: %s","Помилка #%s: %s"
"FedEx 10kg Box","FedEx коробка 10 кг."
"FedEx 25kg Box","FedEx коробка 10 кг."""
"FedEx Box","FedEx коробка"
"FedEx Envelope","FedEx конверт"
"FedEx Pak","FedEx пакет"
"Gateway URL","URL-адреса шлюзу"
"Gift","Подарунок"
"Handling Applied","Комісія за оформлення врахована"
"Handling Fee","Розмір комісії"
"Home Delivery","Доставка додому"
"Key","Ключ"
"Large","Великий"
"Letter","Лист"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимальна вага пакунку (Будь-ласка, прокосультуйтесь з Вашм перевізником для щодо максимально дозволеної ваги доставки)"
"Mode","Режим"
"Next Afternoon","На наступний день"
"No","Ні"
"Non-rectangular","Не прямокутної форми"
"None","Жоден"
"Order","Замовлення"
"Order #%s","Замовлення #%s"
"Other","Інше"
"Package","Пакет"
"Package Description","Опис пакету"
"Packaging","Упаковка"
"Parcel","Пакунок"
"Password","Пароль"
"Receiver","Одержувач"
"Rectangular","Прямокутна форма"
"Regular","Звичайний"
"Request Courier","Знайти перевізника"
"Required","Обов'язкове"
"Response is in the wrong format","Відповідь невірного формату"
"Sender","Відправник"
"Shipment Dutiable","Доставка, що підлягає сплаті мита"
"Shipment Duty Payment Type","Тип митного платежу на доставку"
"Shipment is not available.","Доставка неможлива."
"Size","Розмір"
"Sort Order","Порядок Сортування"
"Station","Станція"
"Subtotal","Проміжні підсумки"
"There is no available method for selected shipping address.","Немає жодного доступного методу доставки за вказаною адресою."
"Third Party","Третя сторона"
"Title","Назва"
"Tracking XML URL","Відслідковується XML URL"
"Unable to retrieve tracking","Неможливо отримати інформацію про доставку"
"Unknown error","Невідома помилка"
"User ID","ID користувача"
"Variable","Змінна"
"Weight Unit","Одиниці ваги"
"Width","Ширина"
"Yes","Так"
"Your Packaging","Ваша упаковка"
"cm","см"
