"* Required Fields","* Обов'язкові поля"
"ALL GROUPS","УСІ ГРУПИ"
"Account Dashboard","Загальна інформація"
"Account Information","Інформація про обліковий запис"
"Account Sharing Options","Дійсність облікового запису клієнта"
"Action","Дія"
"Add New Address","Додати нову адресу"
"Add New Customer","Додати нового клієнта"
"Add New Customer Group","Додати нову групу покупців"
"Added From","Додано"
"Additional Address Entries","Додаткові адреси"
"Address","Адреса"
"Address Book","Адресна книга"
"Address Information","Інформація про адресу"
"Addresses","Адреси"
"Admin","Адміністратор"
"All","Всі"
"All Store Views","Усі Види Магазинів"
"All countries","Всі країни"
"Amount","Сума"
"Approved","Підтверджено"
"Are you sure that you want to remove this item?","Ви впевнені, що бажаєте видалити цей товар?"
"Are you sure you want to cancel adding of this address?","Ви впевнені, що бажаєте відмінити додавання цієї адреси?"
"Are you sure you want to delete this address?","Ви впевнені, що хочете видалити цю адресу?"
"Are you sure?","Ви впевнені?"
"Assign a Customer Group","Назначити групу покупців"
"Average Sale","Середній рівень продаж"
"Back","Назад"
"Back to Login","Назад до входу в систему"
"Bought From","Куплено з"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Зареєстровані клієнти нашого магазину мають можливість пришвидшити процес оформлення замовлення, зберігати кілька адрес для доставки, переглядати та відслідковувати свої замовлення, тощо."
"Cancel","Скасувати"
"Change Account Password","Зміна паролю для користувача"
"Change Billing Address","Змінити адресу виставлення рахунка"
"Change Password","Змінити пароль"
"Change Shipping Address","Змінити адресу доставки"
"City","Місто"
"Company","Компанія"
"Config","Налаштування"
"Configure","Налаштувати"
"Confirm New Password","Підтвердьте новий пароль"
"Confirm Password","Підтвердьте пароль"
"Contact Information","Контактна інформація"
"Continue Shopping","Продовжити покупки"
"Country","Країна"
"Create","Створити"
"Create New Account Options","Створити варіанти нового облікового запису"
"Create New Customer Account","Створити нового клієнта"
"Create Order","Створити Замовлення"
"Create an Account","Створити обліковий запис"
"Current Password","Поточний пароль"
"Customer","Покупець"
"Customer Addresses","Адреса клієнта"
"Customer Configuration","Налаштування клієнта"
"Customer Group","Група покупців"
"Customer Groups","Групи Покупців"
"Customer Information","Інформація про клієнта"
"Customer Login","Вхід для клієнта"
"Customer Since","Є клієнтом з"
"Customer View","Очима Покупця"
"Customers","Покупці"
"Customers Only","Виключно клієнти"
"Date","Дата"
"Date Added","Дата додавання"
"Date of Birth","Дата народження"
"Day","День"
"Days in Wishlist","Днів у списку бажань"
"Default Addresses","Адреси за промовчанням"
"Default Billing Address","Адреса виставлення рахунка за промовчанням"
"Default Email Domain","Email домен за замовчуванням"
"Default Group","Група за замовчуванням"
