" Copy"," Копіювати"
"Action","Дія"
"Add New Template","Додати новий шаблон"
"Add to Queue","Додати в чергу"
"Allow Guest Subscription","Дозволити гостям підписуватись на розсилку"
"Are you sure that you want to delete this template?","Ви впевнені, що бажаєте видалити цей шаблон?"
"Are you sure that you want to strip all tags?","Ви впевнені, що бажаєте скинути всі теги?"
"Back","Назад"
"Cancel","Скасувати"
"Cancelled","Скасовано"
"Confirmation Email Sender","Відправник листа підтвердження"
"Confirmation Email Template","Шаблн листа підтвердження"
"Convert to Plain Text","Перетворити на звичайний текст"
"Create Newsletter Template","Створити шаблон інформаційного листа"
"Customer","Покупець"
"Date Added","Дата додавання"
"Date Updated","Оновлено"
"Delete","Видалити"
"Delete Selected Problems","Видалити вибрані пробелми"
"Delete Template","Видалити шаблон"
"Do you really want to cancel the queue?","Ви дійсно хочете скасувати чергу?"
"Edit Newsletter","Редагувати Розсилку Новин"
"Edit Newsletter Template","Редагувати шаблон інформаційного листа"
"Edit Queue","Редагувати чергу"
"Edit Template","Редагувати шаблон"
"Email","Електронна пошта"
"Enter your email address","Введіть адресу електронної пошти"
"Error Code","Код помилки"
"Error Text","Текст помилки"
"Guest","Гість"
"ID","Ідентифікатор"
"Message","Повідомлення"
"Need to Confirm","Необхідно підтвердження"
"New Newsletter Template","Новий шаблон інформаційного листа"
"New Template","Новий шаблон"
"Newsletter","Розсилка новин"
"Newsletter Message Preview","Перегляд повідомлення інформаційного листа"
"Newsletter Problem Reports","Недоставлені інфомаційні листи"
"Newsletter Queue","Черга"
"Newsletter Subscribers","Клієнти, підписані на інформаційні листи"
"Newsletter Subscription","Підписка на розсилку новин"
"Newsletter Subscriptions","Підписки на розсилку новин"
"Newsletter Templates","Шаблони"
"Newsletter subscription confirmation","Підтвердження підписки на інформаційний лист"
"No Templates Found","Жодного шаблону не знайдено"
"Not Sent","Не надіслано"
"Pause","Пауза"
"Paused","Призупинено"
"Please enter a valid email address.","Будь ласка, введіть коректну адресу електронної пошти."
"Please enter new template name","Будь-ласка, введіть нову назву шаблону"
"Please select subscriber(s)","Будь-ласка, виберіть підписаних клієнтів"
"Preview","Перегляд"
"Preview Template","Попередній перегляд шаблону"
"Processed","Оброблено"
"Queue Date Start","Дата запуску черги"
"Queue Finish","Зупинка черги"
"Queue Information","Інформація про чергу"
"Queue Start","Запуск черги"
"Queue Subject","Тема черги"
"Recipients","Одержувачі"
"Reset","Очистити"
"Resume","Відновити"
"Return HTML Version","Повернути HTML-версію"
"Save As","Зберегти як..."
"Save Newsletter","Зберегти Розсилку Новин"
"Save Template","Зберегти шаблон"
"Sender","Відправник"
"Sender Email","Електронна Пошта Відправника"
"Sender Name","Ім'я Відправника"
"Sending","Надсилається"
"Sent","Надіслано"
"Sign Up for Our Newsletter:","Підпишіться на нашу розсилку новин:"
"Sign up for our newsletter","Підписатись на наш інформаційний лист"
"Start","Початок"
"Status","Статус"
"Store","Магазин"
"Store View","Вид Магазину"
"Subject","Тема"
"Submit","Підтвердити"
"Subscribe","Підписатися"
"Subscribed","Підписаний"
"Subscriber","Підписаний клієнт"
"Subscribers","Підписники"
"Subscribers From","Підписані клієнти від"
"Subscription Options","Варіанти підписки"
"Template Content","Вміст шаблону"
"Template Information","Інформація про шаблон"
"Template Name","Назва шаблону"
"Template Styles","Стилі шаблону"
"Template Subject","Тема шаблону"
"Template Type","Тип шаблону"
"Thank you for your subscription.","Дякуємо що підписались."
"There was a problem with the subscription: %s","Відбулась помилка в процесі стоврення підписки: %s"
"There was a problem with the un-subscription.","Відбулась помилка в процесі відміни підписки."
"Type","Тип"
"Unsubscribe","Відписатися"
"Unsubscribe Selected","Відмінити підписку для вибраних клієнтів"
"View Newsletter","Переглянути Розсилку Новин"
"Website","Веб-сайт"
