"%s's Wishlist","Список бажань %s"
"* Required Fields","* Обов'язкові поля"
"Add All to Cart","Додати все до кошика"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати до порівняння"
"Add to Wishlist","Додати до списку бажань"
"Added From","Додано"
"Are you sure you want to remove this product from your wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are you sure you would like to remove this item from the wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Back","Назад"
"Can't save description %s","Неможливо зберегти опис %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Позначте галочку, якщо бажаєте додати лінк до стрічки новин rss до вашого списку бажань."
"Click for price","Клацніть, щоб дізнатись ціну"
"Comment","Коментар"
"Date Added","Дата додавання"
"Days in Wishlist","Днів у списку бажань"
"Edit","Редагувати"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Email address can't be empty.","Поле Email адреси не може бути пустим."
"Email addresses, separated by commas","Email адреси,задані через кому"
"Enabled","Ввімкнено"
"General Options","Загальні налаштування"
"Go to Wishlist","Перейти до списку бажань"
"In stock","В наявності"
"Last Added Items","Останні додані товари"
"Message","Повідомлення"
"My Wishlist","Мій список бажань"
"My Wishlist (%d item)","Список бажань (%d шт.)"
"My Wishlist (%d items)","Список бажань(%d шт.)"
"Options Details","Параметри деталей"
"Out of stock","Немає у наявності"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Будь-ласка, введіть дійсні email адреси через кому. Наприклад Ivandoe@domain.com, Ivansmith@domain.com."
"Please, enter your comments...","Будь-ласка, введіть Вашу нотатку..."
"Price","Ціна"
"Product","Продукт"
"Qty","Кіл-ть"
"RSS Feed","Стрічка новин RSS"
"RSS link to %s's wishlist","RSS лінк на список бажань %s"
"Remove Item","Видалити елемент"
"Remove This Item","Видалити Цей Елемент"
"Remove item","Видалити елемент"
"SKU","Артикул"
"Share Wishlist","Надіслати список бажань"
"Share Your Wishlist","Надішліть Ваш список бажань"
"Update Wishlist","Оновити список бажань"
"View Details","Переглянути подробиці"
"View Product","Переглянути продукт"
"What's this?","Що це?"
"Wishlist","Список бажань"
"Wishlist Sharing","Надсилання списку бажань"
"Wishlist is empty now.","Список бажань порожній."
"You have no items in your wishlist.","Ваш список бажань пустий."
