"Alert Email Sender","Ειδοποίηση Αποστολέα Email"
"Alert subscription has been saved.","Αποθηκέυσατε τη συνδρομή ειδοποίησης."
"Allow Alert When Product Comes Back in Stock","Επιτρέψτε Ειδοποίηση Όταν το Προϊόν είναι Ξανά σε Απόθεμα"
"Allow Alert When Product Price Changes","Επιτρέψτε Ειδοποίηση όταν Αλλάξει η Τιμή του Προϊόντος"
"Click here not to receive alerts for this product","Κάντε κλικ εδώ αν δεν θέλετε να λαμβάνετε ειδοποιήσεις για αυτό το προϊόν"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"Frequency","Συχνότητα"
"Price Alert Email Template","Πρότυπο Email Ειδοποίησης Τιμής"
"Price:","Τιμή:"
"Product Alerts","Ειδοποιήσεις Προϊόντος(ων)"
"Product Alerts Run Settings","Ρυθμίσεις Εκτέλεσης Ειδοποιήσεων Προϊόντων"
"Product alerts Cron error","Σφάλμα cron ειδοποιήσεων προϊόντων"
"Product price alert","Ειδοποιήση τιμής προϊόντος"
"Product stock alert","Ειδοποιήση διαθεσιμότητας προϊόντος"
"Regular Price:","Κανονική Τιμή:"
"Sign up for price alert","Εγγραφείτε για ειδοποιήσεις τιμών"
"Sign up to get notified when this product is back in stock","Εγγραφείτε για να ειδοποιηθείτε όταν το προϊόν είναι ξανα διαθέσιμο"
"Special price:","Ειδική τιμή:"
"Start Time","Ώρα Έναρξης"
"Stock Alert Email Template","Πρότυπο Email για Ειδοποίησεις Αποθέματος"
"You will no longer receive price alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις τιμών για αυτό το προϊόν."
"The product was not found.","Το προϊόν δεν βρέθηκε."
"Unable to update the alert subscription.","Δεν είναι δυνατή η ενημέρωση της συνδρομής ειδοποιήσεων."
"Unsubscribe from all price alerts","Διαγραφή από όλες τις ειδοποιήσεις τιμών"
"Unsubscribe from all stock alerts","Διαγραφή από όλες τις ειδοποιήσεις αποθέματος"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν τα παρακάτω προϊόντα γίνουν πάλι διαθέσιμα:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν αλλάζει η τιμή των παρακάτω προϊόντων:"
"You will no longer receive stock alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις αποθέματος για αυτό το προϊόν."
"You will no longer receive stock alerts.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις αποθέματος."
