"* Select shipping method","* Επιλέξτε Μέθοδο Αποστολής"
"2Day","2Μέρες"
"2nd Day Air","2η Μέρα Αέρας"
"2nd Day Air AM","2η Μέρα Αέρας ΠΜ"
"3 Day Select","3 Μέρες Επιλογή"
"AVS Status: %s","Κατάσταση AVS: %s"
"Allowed Methods","Επιτρεπόμενες Μέθοδοι"
"Amount: %s","Ποσό: %s"
"Auto-generated from GoogleCheckout Charge","Αυτόματα δημιουργημένη από το GoogleCheckout Χρέωση"
"CID Status: %s","Κατάσταση CID: %s"
"Cart Discount","Έκπτωση Καλαθιού"
"Checkout Image Style","Στυλ Εικόνας Αγοράς"
"Commercial","Εμπορική"
"Continue Shopping URL","URL Συνέχισης Αγορών"
"Debug","Αποσφαλμάτωση"
"Default price:","Προκαθορισμένη τιμή:"
"Enable","Ενεργοποίηση"
"Expiration: %s","Λήξη: %s"
"Financial: %s -> %s","Οικονομικά: %s -> %s"
"First Overnight","Προτεραιότητα σε Μία Νύχτα"
"Free Shipping","Δωρεάν Αποστολή"
"Fulfillment: %s -> %s","Εκπλήρωση: %s -> %s"
"Google Charge:","Χρέωση Google:"
"Google Checkout Shipping - Carrier Calculated","Αποστολή Google Checkout - Carrier Calculated"
"Google Checkout Shipping - Flat Rate","Αποστολή Google Checkout - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Αποστολή Google Checkout - Merchant Calculated"
"Google Order Number: %s","Αριθμός Παραγγελίας Google: %s"
"Google Refund:","Google Επιστροφή Χρημάτων:"
"Google Risk Information:","Google Πληροφορίες Ρίσκου:"
"Ground","Έδαφος"
"Home Delivery","Αποστολή στο σπίτι"
"IP Address: %s","Διεύθυνση IP: %s"
"Inches","Ίντσες"
"Latest Charge: %s","Τελευταία Χρέωση: %s"
"Latest Refund: %s","Τελευταία Επιστροφή Χρημάτων: %s"
"Location","Τοποθεσία"
"Media Mail","Αλληλογραφίας Πολυμέσων"
"Merchant ID","ID Εμπόρου"
"Merchant Key","Εμπορικό Κλειδί"
"Method","Μέθοδος"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Next Day Air","Επόμενη Ημέρα Αέρα"
"Next Day Air Early AM","Επόμενη Ημέρα Αέρα Νωρίς ΠΜ"
"Next Day Air Saver","Επόμενη Ημέρα Αέρας Saver"
"No","Όχι"
"Optional, leave empty for home page.","Προαιρετικό, αφήστε κενό για αρχική σελίδα."
"Parcel Post","Υπηρεσία Αποστολής Δεμάτων"
"Priority Mail","Ταχυδρομική Αποστολή Προτεραιότητας"
"Priority Overnight","Προτεραιότητα σε μία νύχτα"
"Residential","Κατοικίας"
"Standard Overnight","Πρότυπο σε μία νύχτα"
"Title","Τίτλος"
"Total Charged: %s","Σύνολο Χρέωσης: %s"
"Total Refunded: %s","Σύνολο Επιστρεφόμενων Χρημάτων: %s"
"Yes","Ναί"
