"1 star","1 αστέρι"
"2 stars","2 αστέρια"
"3 stars","3 αστέρια"
"4 stars","4 αστέρια"
"5 stars","5 αστέρια"
"Add New Rating","Προσθέστε Νέα Βαθμολόγηση"
"Assigned Options","Ανατεθειμένες Επιλογές"
"Be the first to review this product","Γίνετε ο πρώτος που θα αξιολογήσει το προϊόν"
"Default Value","Προεπιλεγμένη τιμή"
"Delete Rating","Διαγραφή Βαθμολογίας"
"Edit Rating","Επεξεργασία Βαθμολογίας"
"If you do not specify a rating title for a store, the default value will be used.","Εάν δεν προσδιορίσετε έναν τίτλο βαθμολογίας για ένα κατάστημα, θα χρησιμοποιηθεί η προκαθορισμένη τιμή"
"New Rating","Νέα Βαθμολόγηση"
"Option Label","Ετικέτα Επιλογής"
"Option Title","Τίτλος Επιλογής"
"Option Title:","Τίτλος Επιλογής:"
"Please select one of each ratings above","Παρακαλώ επιλέξτε μία από τις κάθε παραπάνω βαθμολογίες"
"Rating Information","Πληροφορίες Βαθμολογίας"
"Rating Name","Όνομα Βαθμολογίας"
"Rating Options","Επιλογές Βαθμολογίας"
"Rating Title","Τίτλος Βαθμολογίας"
"Rating Visibility","Ορατότητα Βαθμολογίας"
"Rating isn't Available","Η βαθμολογία δεν είναι διαθέσιμη"
"Rating with the same title","Βαθμολογία με τον ίδιο τίτλο"
"Save Rating","Αποθήκευση Βαθμολογίας"
"Sort Order","Σειρά Ταξινόμησης"
"Visible In","Ορατό Στο"
