"* Required Fields","* Απαιτούμενα πεδία"
"-- Select --","--Επιλέξτε--"
"Add New Option","Προσθήκη νέας επιλογής"
"As Low as","Τόσο χαμηλά όσο"
"As low as","Τόσο χαμηλά όσο"
"Bundle Items","Δέσμη στοιχείων"
"Checkbox","Πλαίσιο ελέγχου"
"Choose a selection...","Επιλέξτε μια επιλογή..."
"Click for price","Κάντε κλικ για την τιμή"
"Close","Κλείσιμο"
"Default","Προεπιλογή"
"Default Qty","Προεπιλεγμένη Ποσότητα"
"Default Title","Προεπιλεγμένος Τίτλος"
"Drop-down","Αναπτυσσόμενη λίστα"
"Dynamic","Δυναμική"
"Excl. Tax","Χωρίς ΦΠΑ"
"Fixed","Σταθερή"
"From","Από"
"From:","Από:"
"Gift Message","Mήνυμα Δώρου"
"Incl. Tax","Με ΦΠΑ"
"Input Type","Τύπος εισόδου"
"Is Required","Απαιτείται"
"Message:","Μήνυμα:"
"Multiple Select","Πολλαπλή Επιλογή"
"N/A","Μ/Δ Μή Διαθέσιμο"
"No options of this product are available.","Δεν υπάρχουν διαθέσιμες επιλογές για αυτό το προϊόν."
"None","Κανένα"
"Percent","Ποσοστό"
"Percent Discount","Ποσοστό Έκπτωσης"
"Please Select Products to Add","Παρακαλώ Επιλέξτε Προϊόντα για Προσθήκη"
"Please enter a number greater 0 in this field.","Παρακαλούμε εισάγετε έναν αριθμό μεγαλύτερο του 0 για αυτό το πεδίο."
"Please specify product option(s).","Παρακαλούμε προσδιορίστε την επιλογή(ες) του προϊόντος."
"Position","Θέσης"
"Price Range","Εύρος Τιμής"
"Price Type","Τύπος Τιμής"
"Qty:","Ποσότητα:"
"Radio Buttons","Κουμπιά επιλογών"
"SKU","Κωδικός"
"Separately","Χωριστά"
"Ship Bundle Items","Σποστολή δέσμης στοιχείων"
"Shipment","Αποστολή"
"Store View Title","Τίτλος Προβολής Καταστήματος"
"To","Έως"
"To:","Προς:"
"Together","Μαζί"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"and","και"
"save","αποθήκευση"
