"* Required Fields","* Απαιτούμενα πεδία"
"Comment","Σχόλιο"
"Contact Form","Φόρμα Επικοινωνίας"
"Contact Information","Στοιχεία Επικοινωνίας"
"Contact Us","Επικοινωνείστε μαζί μας"
"Contacts","Επαφές"
"Email Options","Επιλογές ηλεκτρονικού ταχυδρομείου"
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Email Template","Πρότυπο Email"
"Enable Contact Us","Ενεργοποίηση του επικοινωνήστε μαζί μας"
"Name","Όνομα"
"Send Emails To","Αποστολή Email Σε"
"Submit","Υποβολή"
"Telephone","Τηλέφωνο"
"Unable to submit your request. Please, try again later","Αδύνατη η υποβολή του αιτήματος σας. Παρακαλούμε προσπαθήστε ξανά αργότερα"
