"%d Review(s)","%d Αξιολόγηση(εις)"
"%s Review(s)","%s Αξιολόγηση(εις)"
"(Posted on %s)","(Αναρτήθηκε στις %s)"
"1 star","1 αστέρι"
"2 stars","2 αστέρια"
"3 stars","3 αστέρια"
"4 stars","4 αστέρια"
"5 stars","5 αστέρια"
"Add New Review","Προσθήκη Νέας Αξιολόγησης"
"Add Your Review","Προσθέστε την Αξιολόγηση σας"
"Administrator","Διαχειριστής"
"All Reviews","Όλες οι Αξιολογήσεις"
"Allow Guests to Write Reviews","Επιτρέψτε στους Επισκέπτες να Γράψουν Κριτικές"
"Approved","Εγκρίθηκε"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Are you sure?","Είσαι σίγουρος;"
"Average Customer Rating","Μέσος Όρος Βαθμολογίας"
"Average Customer Rating:","Μέσος Όρος Βαθμολογίας:"
"Back","Πίσω"
"Back to Main Product Info","Πίσω στις Πληροφορίες Κύριου Προϊοντος"
"Back to My Reviews","Πίσω στις Αξιολογήσεις μου"
"Back to Product Reviews","Πίσω στις Αξιολογήσεις Προϊόντος"
"Be the first to review this product","Γίνετε ο πρώτος που θα αξιολογήσει το προϊόν"
"Created On","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Delete","Διαγραφή"
"Delete Review","Διαγραφή Αξιολόγησης"
"Detailed Rating","Αναλυτική Βαθμολογία"
"Edit Review '%s'","Επεξεργασία Αξιολόγησης '%s'"
"Guest","Επισκέπτης"
"How do you rate this product?","Πως βαθμολογείτε αυτό το προϊόν;"
"Manage Ratings","Διαχείριση Βαθμολογιών"
"My Product Reviews","Οι Αξιολογήσεις μου"
"My Recent Reviews","Οι Πρόσφατες Αξιολογήσεις μου"
"Name","Όνομα"
"New Review","Νεά Αξιολόγηση"
"Nickname","Ψευδώνυμο"
"Not Approved","Δεν Εγκρίθηκε"
"Pending","Προς έγκριση"
"Pending Reviews","Αξιολογήσεις σε Εκκρεμότητα"
"Please select a product","Παρακαλούμε επιλέξτε ένα προϊόν"
"Please select one of each of the ratings above","Παρακαλώ επιλέξτε ένα από το καθένα από τις παραπάνω βαθμολογίες"
"Posted By","Αναρτήθηκε από"
"Price","Τιμή"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product Rating","Βαθμολογία Προϊόντος"
"Product Rating:","Βαθμολογία Προϊόντος:"
"Product Review (submitted on %s):","Αξιολόγηση Προϊόντος (υποβλήθηκε στις %s):"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","SKU Προϊόντος"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Qty","Ποσότητα"
"Rating:","Βαθμολογία:"
"Review","Αξιολόγηση"
"Review Details","Λεπτομέρειες Αξιολόγησης"
"Review by %s","Αξιολόγηση από %s"
"Reviews","Αξιολογήσεις"
"SKU","Κωδικός"
"Save Review","Αποθήκευση Αξιολόγησης"
"Status","Κατάσταση"
"Submit Review","Υποβολή Αξιολόγησης"
"Summary Rating","Περίληψη Βαθμολογίας"
"Summary of Review","Περίληψη της Αξιολόγησης"
"Summary of Your Review","Περίληψη της Αξιολόγησης σας"
"Title","Τίτλος"
"Type","Τύπος"
"Update Status","Ενημέρωση Κατάστασης"
"View All Reviews","Προβολή Όλων των Αξιολογήσεων"
"View Details","Προβολή Λεπτομερειών"
"Visible In","Ορατό Στο"
"Websites","Ιστοσελίδες"
"Write Your Own Review","Γράψτε τη Δική σας Αξιολόγηση"
"You have submitted no reviews.","Δεν έχετε υποβάλει κάποια αξιολόγηση."
"You're reviewing:","Αξιολογείτε:"
"Your Rating:","Η Βαθμολογία σας:"
"Your Review (submitted on %s):","Η Αξιολόγηση σας (υποβλήθηκε στις %s):"
