"Access Key","Κλειδί Πρόσβασης"
"Authorize Only","Εξουσιοδότηση Μόνο"
"Authorize and Capture","Εξουσιοδότηση και Δέσμευση"
"Continue Shopping","Συνέχεια Αγορών"
"Debug","Αποσφαλμάτωση"
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Enable","Ενεργοποίηση"
"Merchant ID","ID Εμπόρου"
"Merchant Login","Είσοδος Εμπόρου"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Payment Action","Ενέργεια Πληρωμής"
"Secret Key","Μυστικό Κλειδί"
"Thank you for your purchase!","Σας ευχαριστούμε για την αγορά σας!"
"Title","Τίτλος"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Θα λάβετε ένα email για επιβεβαίωση της παραγγελίας σας με λεπτομέρειες τής και με έναν σύνδεσμο για να παρακολουθείτε τη πρόοδό της."
