"%s - Discounts and Coupons","%s - Εκπτώσεις Και Κουπόνια"
"%s has reached a quantity of %s.","%s έχει φτάσει τη ποσότητα των %s."
"%s's Wishlist","Λίστα Επιθυμητών του %s"
"Cannot retrieve the wishlist","Δεν είναι δυνατή η ανάκτηση της λίστας επιθυμητών"
"Catalog","Κατάλογος"
"Click for price","Κάντε κλικ για την τιμή"
"Comment: %s<br/>","Σχόλιο: %s<br/>"
"Coupons/Discounts","Κουπόνια/Εκπτώσεις"
"Current Status: %s<br/>","Τωρινή Κατάσταση: %s<br/>"
"Customer Name: %s","Όνομα Πελάτη: %s"
"Customer Order Status Notification","Ειδοποίηση Κατάστασης Παραγγελίας Πελάτη"
"Details for %s #%s","Λεπτομέρειες για %s #%s"
"Discount","Έκπτωση"
"Discount (%s)","Έκπτωση (%s)"
"Enable RSS","Ενεργοποιήση RSS"
"Error in processing xml. %s","Πρόβλημα στην επεξεργασια της xml. %s"
"From:","Από:"
"Get Feed","Λήψη Ροής"
"Gift Message","Mήνυμα Δώρου"
"Grand Total","Γενικό Σύνολο"
"Low Stock Products","Προϊόντα Χαμηλού Αποθέματος"
"Message:","Μήνυμα:"
"Miscellaneous Feeds","Διάφορες Ροές"
"New Orders","Νέες Παραγγελίες"
"New Products","Νέα Προϊόντα"
"New Products from %s","Νέα Προϊόντα Από %s"
"Notified Date: %s<br/>","Ημερομηνία Ειδοποιήσης: %s<br/>"
"Order","Παραγγελία"
"Order # %s Notification(s)","Ειδοποιήση(εις) Παραγελλίας # %s"
"Order #%s created at %s","Παραγγελία #%s δημιουργήθηκε στο %s"
"Pending product review(s)","Αξιολόγηση(εις) Προϊόντος σε Εκκρεμότητα"
"Product: ""%s"" review By: %s","Προϊόν: ""%s"" αξιολόγηση από :%s"
"Product: <a href=""%s"">%s</a> <br/>","Προϊόν: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Προϊόντα που έχουν ετικέτες %s"
"Purchased From: %s","Αγοράστηκε Από: %s"
"RSS Feeds","Τροφοδοσίες RSS"
"Review: %s <br/>","Αξιολόγηση: %s <br/>"
"Rss Config","Ρυθμίσεις Rss"
"Shipping &amp; Handling","Μεταφορικά &amp; Διεκπεραιωτικά"
"Special Products","Ειδικά Προϊόντα"
"Store: %s <br/>","Κατάστημα: %s <br/>"
"Subtotal","Υποσύνολο"
"Summary of review: %s <br/>","Περίληψη αξιολόγησης: %s <br/>"
"Tags Products","Ετικέτες Προϊόντα"
"Tax","Φόροι"
"To:","Προς:"
"Top Level Category","Κορυφαίο Επιπέδο Κατηγορίας"
"Total: %s<br/>","Σύνολο: %s<br/>"
"Wishlist","Λίστα Επιθυμιών"
"click <a href=""%s"">here</a> to view the review","Κάντε κλικ <a href=""%s"">εδώ</a> για να δείτε την αξιολόγηση"
