"Actions","Ενέργειες"
"Active","Ενεργό"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Alphabetical","Αλφαβητικά"
"Alphanumeric","Αλφαριθμητικό"
"Apply","Εφαρμογή"
"Apply To","Εφαρμογή Σε"
"Apply the rule only if the following conditions are met (leave blank for all products)","Εφαρμογή κανόνα μόνο εάν ισχύουν οι ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Εφαρμογή κανόνα μόνο στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule to cart items matching the following conditions","Εφαρμογή κανόνα στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες"
"Apply to Shipping Amount","Εφαρμογή στο Ποσό Αποστολής"
"Are you sure you want to delete the selected coupon(s)?","Είστε βέβαιοι ότι θέλετε να διαγράψετε το(α) επιλεγμένο(α) κουπόνι(α);"
"Auto","Αυτόματο"
"Auto Generated Specific Coupon Codes","Αυτο Δημιουργούμενοι Συγκεκριμένοι Κωδικοί Κουπονιών"
"Buy X get Y free (discount amount is Y)","Αγοράστε X πάρετε δωρεάν Y (Y είναι το ποσό της έκπτωσης)"
"By Fixed value","Κατά σταθερή τιμή"
"By Percentage","Κατά ποσοστό"
"Can't acquire coupon.","Δεν είναι δυνατή η απόκτηση κουπονιού."
"Cart Attribute","Χαρακτηριστικό Καλαθιού"
"Catalog","Κατάλογος"
"Code Format","Μορφή κωδικού"
"Code Length","Μήκος Κωδικού"
"Code Prefix","Πρόθεμα κωδικού"
"Code Suffix","Επίθεμα κωδικού"
"Conditions","Συνθήκες"
"Conditions combination","Συνδυασμός συνθηκών"
"Coupon","Κουπόνι"
"Coupon Code","Κωδικός Κουπονιού"
"Coupon Qty","Ποσ. Κουπονιού"
"Coupon with the same code","Κουπόνι με τον ίδιο κωδικό"
"Created On","Δημιουργήθηκε στις"
"Customer Groups","Ομάδες Πελατών"
"Dash Every X Characters","Παύλα Κάθε X Χαρακτήρες"
"Date Expire","Ημερομηνία λήξης"
"Date Start","Έναρξη την ημερομηνία"
"Default Label","Προεπιλεγμένη ετικέτα"
"Default Rule Label for All Store Views","Προεπιλεγμένος Κανόνας Ετικέτα για Όλες Προβολές Καταστήματος"
"Description","Περιγραφή"
"Discount Amount","Ποσό Έκπτωσης"
"Discount Qty Step (Buy X)","Βήμα Έκπτωσης Ποσ. (Αγορά X)"
"Edit Rule","Επεξεργασία Ρόλου"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Excluding prefix, suffix and separators.","Εκτός από πρόθεμα, κατάληξη και διαχωριστικά."
"FOUND","ΒΡΕΘΗΚΕ"
"Fixed amount discount","Σταθερό ποσό έκπτωσης"
"Fixed amount discount for whole cart","Σταθερό ποσό έκπτωσης για ολόκληρο το καλάθι"
"For matching items only","Για στοιχεία που ταιριάζουν μόνο"
"For shipment with matching items","Για αποστολή με αντικείμενα που ταιριάζουν"
"Free Shipping","Δωρεάν Αποστολή"
"From Date","Από Ημερομηνία"
"General Information","Γενικές Πληροφορίες"
"Generate","Δημιουργία"
"If empty no separation.","Αν είναι κενό χωρίς διαχωριστικό."
"Inactive","Ανενεργό"
"Labels","Ετικέτες"
"Maximum Qty Discount is Applied To","Μέγιστη Ποσ. Έκπτωσης είναι εφαρμόσιμη σε"
"NOT FOUND","ΔΕΝ ΒΡΕΘΗΚΕ"
"NOT LOGGED IN","ΔΕΝ ΕΙΣΤΕ ΣΥΝΔΕΔΕΜΕΝΟΙ"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"No Coupon","Κανένα κουπόνι"
"Number of Uses","Αριθμός Χρήσεων"
"Numeric","Αριθμητικό"
"Payment Method","Μέθοδος Πληρωμής"
"Percent of product price discount","Τοις εκατό του προϊόντος έκπτωση τιμής"
"Period","Περίοδος"
"Price in cart","Τιμή στο καλάθι"
"Priority","Προτεραιότητα"
