"# of Uses","# Χρήσεων"
"Action","Ενέργεια"
"Add","Προσθήκη"
"Add New Tag","Προσθήκη Νέας Ετικέτας"
"Add Tags","Προσθήκη Ετικετών"
"Add Your Tags:","Προσθήκη Των Ετικετών Σας"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"All Tags","Όλες οι Ετικέτες"
"Approved","Εγκρίθηκε"
"Are you sure you want to delete this tag?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτή την Ετικέτα"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Are you sure?","Είσαι σίγουρος;"
"Back","Πίσω"
"Back to Tags List","Πίσω Στην Λίστα Ετικετών"
"Block Information","Πληροφορίες Μπλοκ"
"Change status","Αλλαγή κατάστασης"
"Click on a tag to view your corresponding products.","Κάντε κλικ σε μία ετικέτα για να δείτε τα αντίστοιχα προϊόντα σας"
"Country","Χώρα"
"Customer Since","Πελάτης Από"
"Customers","Πελάτες"
"Customers Tagged '%s'","Πελάτες Με Ετικέτες '%s'"
"Delete","Διαγραφή"
"Delete Tag","Διαγραφή Ετικέτας"
"Disabled","Απενεργοποιημένο"
"Edit Tag '%s'","Επεξεργασία Ετικέτας '%s'"
"First Name","Όνομα"
"General Information","Γενικές Πληροφορίες"
"Grid","Πλέγμα"
"Last Name","Επώνυμο"
"List","Λίστα"
"My Recent Tags","Οι Προσφατες Ετικετες μου"
"My Tags","Οι Ετικέτες μου"
"Name","Όνομα"
"New Tag","Νέα Ετικέτα"
"No matches found.","Δεν βρέθηκαν αποτελέσματα"
"Other people marked this product with these tags:","Άλλοι πελάτες σημείωσαν το προϊον με αυτές τις ετικέτες:"
"Pending","Προς έγκριση"
"Pending Tags","Εκκρεμής Ετικέτες"
"Popular","Δημοφιλείς"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product SKU","SKU Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Products tagged with '%s'","Προϊόντα Με Ετικέτα '%s'"
"Remove","Αφαίρεση"
"SKU","Κωδικός"
"Save Tag","Αποθήκευση Ετικέτας"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Status","Κατάσταση"
"Store View","Προβολή Καταστήματος"
"Tag","Ετικέτα"
"Tag Name","Όνομα ετικέτας"
"Tags","Ετικέτες"
"Tags:","Ετικέτες:"
"Telephone","Τηλέφωνο"
"Unable to find any products tagged with '%s' in the current store","Αδύνατον να βρεθούν προϊόντα με την ετικέτα '%s' στο τρέχων κατάστημα"
"Unable to remove tag. Please, try again later.","Αδύνατο να αφαιρεθεί η ετικέτα. Παρακαλούμε δοκιμάστε αργότερα"
"Update","Ενημέρωση"
"Use spaces to separate tags. Use single quotes (') for phrases.","Χρησιμοποιήστε κενά για να διαχωρίσετε ετικέτες, Χρησιμοποιήστε μονά εισαγωγικά (') για φράσεις."
"View All Tags","Προβολή Όλων Των Ετικετών"
"View Customers","Προβολή Πελατών"
"View Products","Προβολή Προϊόντων"
"You have not tagged any products yet.","Δεν έχετε βάλει ετικέτες σε κανένα προϊόν ακόμα"
"ZIP/Post Code","Ταχυδρομικός Κώδικας"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
