"-- Please select --","--Παρακαλώ επιλέξτε--"
"API Key","Kλειδί API"
"Allowed Currencies","Επιτρεπόμενα Νομίσματα"
"An invalid base currency has been entered.","Έχει εισαχθεί μη έγκυρο νόμισμα βάσης."
"Base Currency","Βασικό Νόμισμα"
"Connection Timeout in Seconds","Χρονικό όριο σύνδεσης σε δευτερόλεπτα"
"Continue &raquo;","Συνέχεια &raquo;"
"Country","Χώρα"
"Country and Format Type combination should be unique","Συνδυασμός χώρας και τύπου μορφής πρέπει να είναι μοναδικός"
"Currency","Νόμισμα"
"Currency Options","Επιλογές Νομίσματος"
"Currency Setup","Εγκατάσταση Νομίσματος"
"Currency Update Warnings","Προειδοποιήσεις ενημέρωσης νομίσματος"
"Currency rates can't be retrieved.","Οι τιμές συναλλάγματος δεν μπορούν να ανακτηθούν."
"Default Display Currency","Προεπιλεγμένη Προβολή Νομίσματος"
"Enabled","Ενεργό"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"FATAL ERROR:","ΜΟΙΡΑΙΟ ΛΑΘΟΣ:"
"Frequency","Συχνότητα"
"Installed Currencies","Εγκατεστημένα Νομίσματα"
"Invalid country code: %s","Άκυρος κωδικός χώρας: %s"
"Invalid rates received","Παρελήφθησαν άκυροι συντελεστές"
"No API Key was specified or an invalid API Key was specified.","Δεν έχει οριστεί κανένα κλειδί API ή έχει οριστεί μη έγκυρο κλειδί API."
"Scheduled Import Settings","Προγραμματισμένη εισαγωγή ρυθμίσεων"
"Select Your Currency","Επιλέξτε Το Νόμισμά Σας"
"Service","Υπηρεσία"
"Start Time","Ώρα Έναρξης"
"State/Province","Νομός/επαρχία"
"The account this API request is coming from is inactive.","Ο λογαριασμός που προέρχεται από αυτό το αίτημα API είναι ανενεργός."
"WARNING:","ΠΡΟΕΙΔΟΠΟΙΗΣΗ:"
"Your current currency is: %s","Το τρέχον νομισμά σας είναι: %s"
