" [deleted]"," [διεγράφη]"
"(For US 2-letter state names)","(Για ονόματα πολιτείας ΗΠΑ 2-γράμματα)"
"(If left empty will be auto-generated)","(Αν μείνει κενό θα δημιουργηθεί αυτόματα)"
"(Leave empty for first spreadsheet)","(Αφήστε κενό για το πρώτο λογιστικό φύλλο)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Τα προϊόντα θα εισάγονται/ενημερώνονται σε αυτό το κατάστημα αν η στήλη 'κατάστημα' είναι κενή ή λείπει από το αρχείο εισαγωγής)"
"(Starting with)","(Αρχίζει με)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Όταν είναι 'Όχι', τότε μόνο τα αντιστοιχισμένα πεδία θα εισαχθούν. Όταν κάνετε αντιστοίχιση, χρησιμοποιήστε 'column1', 'column2', κτλ.)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Απαιτούμενα πεδία"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"-- Please Select Billing Agreement--","--Παρακαλώ Επιλέξτε Συμφωνία Χρέωσης--"
"-- Please Select a Category --","--Παρακαλώ Επιλέξτε μια Κατηγορία--"
"-- Please select --","--Παρακαλώ επιλέξτε--"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"1 Hour","1 ώρα"
"12 Hours","12 ώρες"
"12h AM/PM","12h πμ/μμ"
"2 Hours","2 ώρες"
"24 Hours","24 ώρες"
"24h","24ωρο"
"2YTD","2ΧΜΣ"
"6 Hours","6 ώρες"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Σφάλμα 404</h1><p>Η σελίδα δεν βρέθηκε.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Προσοχή</strong>: Η επιβεβαίωση Captcha κάνει διάκριση πεζών-κεφαλαίων."
"A user with the same user name or email already exists.","Υπάρχει ήδη ένας χρήστης με το ίδιο όνομα χρήστη ή email."
"API Key","Kλειδί API"
"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"About the calendar","Σχετικά με το ημερολόγιο"
"Account Created in:","Ο Λογαριασμός Δημιουργήθηκε Στις:"
"Account Created on:","Ο Λογαριασμός Δημιουργήθηκε την:"
"Account Information","Πληροφορίες Λογαριασμού"
"Account Status","Κατάσταση Λογαριασμού"
"Account status","Κατάσταση Λογαριασμού"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Actions XML","XML Ενεργειών"
"Active","Ενεργό"
"Add","Προσθήκη"
"Add Field Mapping","Εισαγωγή Αντιστοίχισης Πεδίου"
"Add New","Προσθήκη Νέου"
"Add New Block","Προσθήκη Νέου Μπλοκ"
"Add New Image","Προσθήκη νέας εικόνας"
"Add New Profile","Εισωγωγή Νέου Προφίλ"
"Add New Role","Προσθήκη νέου ρόλου"
"Add New Template","Προσθήκη Νέου Πρότυπου"
"Add New URL Rewrite","Προσθέστε νέα διεύθυνση επανεγγραφής URL"
"Add New User","Προσθήκη Νέου Χρήστη"
"Add New Variable","Προσθήκη Νέας Μεταβλητής"
"Add Products","Προσθέστε προϊόντα"
"Add URL Rewrite","Προσθέστε διεύθυνση επανεγγραφής URL"
"Add URL Rewrite for a Category","Προσθέστε τη επανεγγραφή διεύθυνσης URL για μια κατηγορία"
"Add URL Rewrite for a Product","Προσθέστε τη επανεγγραφή διεύθυνσης URL για ένα προϊόν"
"Add after","Προσθήκη μετά"
"Additional Cache Management","Πρόσθετη Διαχείριση της μνήμης Cache"
"Address Type:","Τύπος Διεύθυνσης:"
"Admin","Διαχείριση"
"Advanced Profiles","Προχωρημένα Προφίλ"
"All","Όλα"
"All Allowed Countries","Όλες οι Επιτρεπόμενες Χώρες"
"All Cache","Όλες οι Μνήμες Cache"
"All Files","Όλα τα αρχεία"
"All Reviews","Όλες οι Αξιολογήσεις"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"All Tags","Όλες οι Ετικέτες"
"All Websites","Όλες οι Ιστοσελίδες"
"All countries","Όλες οι χώρες"
"All fields","Όλα τα πεδία"
"All valid rates have been saved.","Όλες οι έγκυρες τιμές είναι αποθηκευμένες."
"Always (during development)","Πάντα (κατά τη διάρκεια της ανάπτυξης)"
"Amounts","Ποσά"
"An error occurred while clearing the JavaScript/CSS cache.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση της cache JavaScript/CSS."
"An error occurred while clearing the image cache.","Παρουσιάστηκε σφάλμα κατά την εκκαθάριση της προσωρινής μνήμης των εικόνων."
"An error occurred while deleting this role.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτού του ρόλου."
"An error occurred while saving account.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση του λογαριασμού."
"An error occurred while saving this role.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτού του ρόλου."
"Any","Κάθε"
"Any Attribute Set","Κάθε Σύνολο Χαρακτηριστικών"
"Any Group","Κάθε Ομάδα"
"Any Status","Κάθε Κατάσταση"
"Any Store","Κάθε Κατάστημα"
"Any Type","Κάθε Τύπο"
"Any Visibility","Κάθε Ορατότητα"
"Archive file name:","Αρχείο - Όνομα αρχείου:"
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το πρότυπο(template);"
"Are you sure that you want to strip tags?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε ετικέτες;"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"As low as:","Φτάνει μέχρι:"
"Assigned","Ανατεθειμένο"
"Attribute Set Name:","Όνομα Συνόλου Χαρακτηριστικών:"
"Attributes","Χαρακτηριστικά"
"Authorize","Εξουσιοδότηση"
"Automatic (equalize price ranges)","Αυτόματη (εξισώνει εύρη τιμών)"
"Automatic (equalize product counts)","Αυτόματη (εξισώνει καταμέτρηση τιμών)"
"Average Order Amount","Μέσο Ποσό Παραγγελίας"
"Average Orders","Μέσο Ποσό Παραγγελιών"
"Back","Πίσω"
"Back to Login","Πίσω στην Σύνδεση Χρήστη"
"Backup","Δημιουργία αντιγράφων ασφαλείας"
"Backup Name","Όνομα Αντιγράφου Ασφαλείας"
"Backup options","Επιλογές Αντιγράφων Ασφαλείας"
"Backups","Αντίγραφα Ασφαλείας"
"Base currency","Βασικό νόμισμα"
"Bcc","""Ιδιαίτ."""
"Bestsellers","Δημοφιλέστερα"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Address: ","Διεύθυνση Χρέωσης: "
"Billing Agreement","Συμφωνία Χρέωσης"
"Billing Agreements","Συμφωνίες Χρέωσης"
"Block Information","Πληροφορίες Μπλοκ"
"Blocks","Μπλοκ"
"Both (without and with tax)","Και τα δύο (χωρίς και με ΦΠΑ)"
"Browse Files...","Αναζήτηση Αρχείων..."
"By Email","Μέσω Email"
"By IP","Από IP"
"By IP and Email","Από την IP και Email"
"CSV / Tab separated","CSV / Διαχωρισμός με Tab"
"Cache Control","Έλεγχος Cache"
"Cache Management","Διαχείριση της μνήμης cache"
"Cache Type","Τύπος Προσωρινής Μνήμης cache"
"Cancel","Άκυρο"
"Cannot add new comment.","Δεν είναι δυνατό να προσθέσετε νέο σχόλιο."
"Cannot add tracking number.","Δεν είναι δυνατό να προσθέσετε αριθμό εντοπισμού."
"Cannot do shipment for the order separately from invoice.","Δεν μπορούμε να κάνουμε αποστολή για την παραγγελία ξεχωριστά από τιμολόγιο."
"Cannot do shipment for the order.","Δεν μπορούμε να κάνουμε αποστολή για την παραγγελία."
"Cannot save shipment.","Δεν ήταν δυνατή η αποθήκευση της αποστολής."
"Cannot send shipment information.","Δεν μπορούμε να στείλουμε πληροφορίες αποστολής."
"Cannot update item quantity.","Δεν μπορεί να ενημερωθεί η ποσότητα είδους."
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Catalog","Κατάλογος"
"Catalog Price Rules","Κανόνες Τιμών Καταλόγου"
"Catalog Rewrites","Επαναγραφές Καταλόγου"
"Categories","Kατηγορίες"
"Category","Κατηγορία"
"Category:","Κατηγορία:"
"Checkbox","Πλαίσιο ελέγχου"
"Child Transactions","Συναλλαγές Παιδί"
"Choose Store View:","Επιλέξτε Προβολή Καταστήματος:"
"Choose an attribute","Επιλέξτε ένα χαρακτηριστικό"
"Clear","Καθαρισμός"
"Close","Κλείσιμο"
"Code","Κωδικός"
"Complete","Ολοκληρώθηκε"
"Config form fieldset clone model required to be able to clone fields","Το μοντέλο κλόνου συνόλου πεδίων ρυθμίσεων απαιτείται για να κλωνοποιήσετε τα πεδία"
"Configuration","Ρύθμιση παραμέτρων"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού Πρόσβασης"
"Confirmed email:","Επιβεβαιωμένο email:"
"Continue","Συνέχεια"
"Convert to Plain Text","Μετατροπή σε απλό κείμενο"
"Cookie (unsafe)","Cookie (μη ασφαλές)"
"Country","Χώρα"
"Country:","Χώρα:"
"Coupons","Κουπόνια"
"Create","Δημιουργία"
"Create DB Backup","Δημιουργία Αντίγραφου Ασφαλείας της Βάσης Δεδομένων"
"Create New Attribute","Δημιουργήστε νέο χαρακτηριστικό"
"Created At","Δημιουργήθηκε στις"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας: xxxx-%s"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Credit Memo History","Ιστορικό Πιστωτικού Σημειώματος"
"Credit Memo Totals","Σύνολα Πιστωτικών Τιμολογίων"
"Credit Memos","Πιστωτικά Υπομνήματα"
"Currency","Νόμισμα"
"Currency Information","Πληροφορίες Νομίσματος"
"Current Configuration Scope:","Τρέχον πεδίο ρύθμισης παραμέτρων:"
"Current Month","Τρέχων μήνας"
"Custom","Προσαρμοσμένο"
"Custom Variables","Προσαρμοσμένες Μεταβλητές"
"Customer","Πελάτης"
"Customer Group:","Ομάδα Πελατών:"
"Customer Groups","Ομάδες Πελατών"
"Customer Name","Όνομα Πελάτη"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customer Shopping Carts","Καλάθια Αγορών Πελάτη"
"Customer Since:","Πελάτης Από:"
"Customer Tax Classes","Φορολογικές Κατηγορίες Πελατών"
"Customer with the same email already exists.","Υπάρχει ήδη Πελάτης με το ίδιο email."
"Customers","Πελάτες"
"Customers by Number of Orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by Orders Total","Πελάτες ανα Συνολο Παραγγελιών"
"Dashboard","Πίνακας Ελέγχου"
"Data Format","Μορφοποίηση Δεδομένων"
"Data transfer:","Μεταφορά δεδομένων:"
"Database","Βάση δεδομένων"
"Date","Ημερομηνία"
"Date & Time","Ημερομηνία & Ώρα"
"Date Added","Ημερομηνίας Προσθήκης"
"Date Updated","Ημερομηνία που Ενημερώθηκε"
"Date selector","Επιλογέας ημερομηνίας"
"Day","Ημέρα"
"Debug","Αποσφαλμάτωση"
