"%s's Wishlist","Λίστα Επιθυμητών του %s"
"* Required Fields","* Απαιτούμενα πεδία"
"Add All to Cart","Προσθήκη όλων στο καλάθι"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη για Σύγκριση"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Added From","Προστέθηκε Από"
"Are you sure you want to remove this product from your wishlist?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το προϊόν από τα επιθυμητά σας;"
"Are you sure you would like to remove this item from the wishlist?","Είστε βέβαιοι πως θα θέλατε να αφαιρέσετε αυτό το είδος από τα επιθυμητά;"
"Back","Πίσω"
"Can't save description %s","Δεν είναι δυνατή η αποθήκευσης της περιγραφής %s"
"Cannot specify product.","Δεν μπορούμε να καθορίσουμε προϊόν."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Κάντε τσεκ εδώ εάν επιθυμείτε να προσθέσετε ένα σύνδεσμο rss προς τα επιθυμητά σας."
"Click for price","Κάντε κλικ για την τιμή"
"Comment","Σχόλιο"
"Comment:","Σχόλιο:"
"Date Added","Ημερομηνίας Προσθήκης"
"Days in Wishlist","Ημέρες στα Επιθυμητά"
"Edit","Επεξεργασία"
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Email Template","Πρότυπο Email"
"Email address can't be empty.","Η διεύθυνση Email δεν μπορεί να είναι κενή."
"Email addresses, separated by commas","Διευθύνσεις ηλεκτρονικού ταχυδρομείου, διαχωρισμένες με κόμμα"
"Enabled","Ενεργό"
"General Options","Γενικές Επιλογές"
"Go to Wishlist","Μετάβαση στα Επιθυμητά"
"In stock","Σε απόθεμα"
"Last Added Items","Είδη που Προστέθηκαν Τελευταία"
"Message","Μήνυμα"
"My Wishlist","Τα Επιθυμητά μου"
"My Wishlist (%d item)","Τα Επιθυμητά μου (%d είδος)"
"My Wishlist (%d items)","Τα Επιθυμητά μου (%d είδη)"
"Options Details","Λεπτομέρειες Επιλογών"
"Out of stock","Εξαντλημένο"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Παρακαλούμε εισάγετε έγκυρες διευθύνσεις email, χωρισμένες με κόμματα. Για παράδειγμα johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Παρακαλούμε, εισάγετε τα σχόλιά σας..."
"Price","Τιμή"
"Product","Προϊόν"
"Product Details and Comment","Λεπτομέρειες και Σχόλια Προϊόντος"
"Qty","Ποσότητα"
"RSS Feed","Τροφοδοσίες RSS"
"RSS link to %s's wishlist","RSS σύνδεσμος για τα Επιθυμητά του %s"
"Remove Item","Αφαίρεση είδους"
"Remove This Item","Διαγραφή Αυτού του Είδους"
"Remove item","Αφαίρεση είδους"
"SKU","Κωδικός"
"Share Options","Επιλογές κοινοποίησης"
"Share Wishlist","Διαμοιρασμός Των Επιθυμητών"
"Share Your Wishlist","Διαμοιρασμός Των Επιθυμητών Σας"
"Sharing Information","Πληροφορίες Διαμοιρασμού"
"Update Wishlist","Ενημέρωση Επιθυμητών"
"User Description","Περιγραφή του χρήστη"
"View Details","Προβολή Λεπτομερειών"
"View Product","Προβολή Προϊόντος"
"What's this?","Τι είναι αυτό;"
"Wishlist","Λίστα Επιθυμιών"
"Wishlist Sharing","Διαμοιρασμός Λίστας Επιθυμητών"
"Wishlist is empty now.","Η Λίστα Επιθυμητών είναι τώρα κενή."
"You have no items in your wishlist.","Δεν έχετε είδη στα Επιθυμητά σας."
