"Actions","Ενέργειες"
"Add Answer","Προσθήκη Απάντησης"
"Add New Answer","Προσθήκη Νέας Απάντησης"
"Add New Poll","Προσθήκη Νέας Δημοσκόπησης"
"Answer Title","Τίτλος Απάντησης"
"Answer Title:","Τίτλος Απάντησης:"
"Answer with the same title in this poll","Απάντηση με τον ίδιο τίτλο σε αυτήν τη ψηφοφορία"
"Are you sure you want to delete it?","Είστε βέβαιοι ότι θέλετε να το διαγράψετε;"
"Assigned Answers","Εκχωρημένες Απαντήσεις"
"Closed","Κλειστό"
"Community Poll","Δημοσκοπηση Κοινοτητας"
"Date Closed","Ημ/μηνία Λήξης"
"Date Posted","Ημ/μηνία Ανάρτησης"
"Delete","Διαγραφή"
"Delete Answer","Διαγραφή Απάντησης"
"Delete Poll","Διαγραφή Δημοσκόπησης"
"Edit Answer '%s'","Επεξεργασία Απάντησης '%s'"
"Edit Poll '%s'","Επεξεργασία Δημοσκόπησης '%s'"
"Edit Poll Answer","Επεξεργασία Απάντησης Δημοσκόπησης"
"New Poll","Νέα Δημοσκόπηση"
"Number of Responses","Αριθμός Απαντήσεων"
"Open","Άνοιγμα"
"Poll Answers","Απαντήσεις Δημοσκόπησης"
"Poll Information","Πληροφορίες Δημοσκόπησης"
"Poll Manager","Διαχείριση Δημοψηφισμάτων"
"Poll Question","Ερώτηση Δημοσκόπησης"
"Poll information","Πληροφορίες δημοσκόπησης"
"Poll with the same question","Δημοσκόπηση με την ίδια ερώτηση"
"Save Answer","Αποθήκευση Απάντησης"
"Save Poll","Αποθήκευση Δημοσκόπησης"
"Status","Κατάσταση"
"Visible In","Ορατό Στο"
"Vote","Ψήφος"
"Votes Count","Αριθμός Ψήφων"
"Votes Count:","Αριθμός Ψήφων:"
