"-- Please Select --","--Παρακαλώ επιλέξτε--"
"Add Secret Key to URLs","Προσθέστε το μυστικό κλειδί σε διευθύνσεις URL"
"Add Store Code to Urls","Προσθέστε Κώδικα Καταστήματος στις Διευθύνσεις Url"
"Admin","Διαχείριση"
"Admin Base URL","Βασική Διεύθυνση Admin"
"Admin User Emails","Τα μηνύματα Email του Διαχειριστή"
"Advanced","Προηγμένες"
"Allow Countries","Επιτρεπόμενες Χώρες"
"Allow Symlinks","Επιτρέψτε Symlinks"
"Allowed IPs (comma separated)","Επιτρεπόμενες IPs (χωρισμένες με κόμμα)"
"Anchor Text for Next","Κείμενο Σημείου Αγκύρωσης για Επόμενο"
"Anchor Text for Previous","Κείμενο Σημείου Αγκύρωσης για Προηγούμενο"
"Are you sure?","Είσαι σίγουρος;"
"Auto-redirect to Base URL","Αυτόματη-ανακατεύθυνση σε διεύθυνση URL βάσης"
"Back","Πίσω"
"Backup Options","Επιλογές Αντιγράφων Ασφαλείας"
"Base JavaScript URL","Βασικό URL JavaScript"
"Base Link URL","Σύνδεσμος URL Βάσης"
"Base Media URL","Βασικό URL Πολυμέσων"
"Base Skin URL","Βασικό URL Προτύπου(Skin)"
"Base URL","Διευθύνση URL βάσης"
"Block with name ""%s"" already exists","Ένα Τμήμα με το όνομα ""%s"" υπάρχει ήδη"
"Browser Capabilities Detection","Ανίχνευση Δυνατοτήτων Προγράμματος Περιήγησης"
"CSS Settings","Ρυθμίσεις CSS"
"Cache Storage Management","Διαχείριση αποθήκευσης της μνήμης cache"
"Can't retrieve request object","Δε μπορεί να ανακτηθεί το αντικείμενο που αιτήθηκε"
"Can't retrieve entity config: %s","Δε μπορούν να ανακτηθούν οι ρυθμίσεις της οντότητας: %s"
"Cancel","Άκυρο"
"Card type does not match credit card number.","Ο τύπος κάρτας δεν ταιριάζει με τον αριθμό πιστωτικής κάρτας."
"Code","Κωδικός"
"Controller file was loaded but class does not exist","Το αρχείο ελέγχου φορτώθηκε αλλά η κλάση δεν υπάρχει"
"Cookie Domain","Όνομα Τομέα cookie"
"Cookie Lifetime","Διάρκειας Ζωής Cookie"
"Cookie Path","Διαδρομή Cookie"
"Cookie Restriction Mode","Λειτουργία περιορισμού cookie"
"Copyright","Πνευματικά δικαιώματα"
"Country","Χώρα"
"Create Store","Δημιουργία Καταστήματος"
"Create Store View","Δημιουργία Προβολής Καταστήματος"
"Create Website","Δημιουργία Ιστοχώρου"
"Credit card number does not match credit card type.","Ο αριθμός της πιστωτικής κάρτας δεν ταιριάζει με τον τύπο της πιστωτικής κάρτας."
"Custom Admin Path","Προσαρμοσμένη Διεύθυνση Διαχειριστή"
"Custom Admin URL","Προσαρμοσμένη Διεύθυνση Admin"
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Custom Email 1","Προσαρμοσμένο Email 1"
"Custom Email 2","Προσαρμοσμένο Email 2"
"Custom Variables","Προσαρμοσμένες Μεταβλητές"
"Customer Support","Υποστήριξη Πελατών"
"Dashboard","Πίνακας Ελέγχου"
"Date From","Ημερομηνία από"
"Date To","Ημερομηνία έως"
"Debug","Αποσφαλμάτωση"
"Default","Προεπιλογή"
"Default Country","Προεπιλεγμένη Χώρα"
"Default No-route URL","Προεπιλεγμένο No-route URL"
"Default Pages","Προεπιλεγμένες Σελίδες"
"Default Robots","Προεπιλεγμένα Ρομπότ"
"Default Store","Προεπιλεγμένο Κατάστημα"
"Default Store View","Προεπιλεγμένη Προβολή Καταστήματος"
"Default Title","Προεπιλεγμένος Τίτλος"
"Default Web URL","Προεπιλεγμένη Διαδικτυακή Διεύθυνση URL"
"Delete","Διαγραφή"
"Delete Store","Διαγραφή Κατάστηματος"
"Delete Store View","Διαγραφή Προβολής Καταστήματος"
"Delete Website","Διαγραφή Ιστότοπου"
"Design","Σχεδίαση"
"Design Change","Αλλαγή Σχεδίασης"
"Developer","Προγραμματιστής"
"Developer Client Restrictions","Περιορισμοί προγραμματιστή προγράμματος-πελάτη"
"Disable Email Communications","Απενεργοποιήστε την επικοινωνία με ηλεκτρονικό ταχυδρομείο"
"Disable Modules Output","Απενεργοποιήση Έξοδο Ενοτήτων"
"Display Demo Store Notice","Ειδοποίηση επίδειξης Καταστήματος Δοκιμής"
"Duplicate Of Template Name","Διπλότυπο ονόματος προτύπου"
"Edit Design Change","Επεξεργασία Αλλαγής της Σχεδίασης"
"Edit Store","Επεξεργασία Καταστήματος"
"Edit Store View","Επεξεργασία Προβολής Καταστήματος"
"Edit Website","Επεξεργασία Ιστότοπου"
"Empty identifier field name","Κενό όνομα αναγνωριστικού πεδίου"
"Empty main table name","Κενό όνομα κύριου πίνακα"
"Enable Charts","Ενεργοποίηση Διαγραμμάτων"
"Enabled","Ενεργό"
"Enabled for Admin","Ενεργοποιημένη για Διαχειριστή"
"Enabled for Frontend","Ενεργοποιημένο για το Frontend"
"Environment Update Time","Χρόνος ενημέρωσης του περιβάλλοντος"
"Error in file: ""%s"" - %s","Σφάλμα στο αρχείο: ""%s"" - %s"
"European Union Countries","Χώρες της Ευρωπαϊκής Ένωσης"
"Favicon Icon","Εικονίδιο favicon"
"File not found","Το αρχείο δεν βρέθηκε"
"File system","Σύστημα Αρχείων"
"File with an extension ""%value%"" is protected and cannot be uploaded","Αρχεία με την επέκταση ""%value%"" είναι προστατευμένα και δεν μπορούν να μεταφορτωθούν"
"First Day of Week","Πρώτη Ημέρα της Εβδομάδας"
"Flush Cache Storage","Εκκαθάριση προσωρινής μνήμης αποθήκευσης"
"Footer","Υποσέλιδο"
"Forgot Password Email Sender","Αποστολέας Email για Χαμένο Κωδικό"
"Forgot Password Email Template","Πρότυπο Email του Ξεχάσατε τον κωδικό πρόσβασης"
"General","Γενικά"
"General Contact","Γενική Επικοινωνία"
"General Settings","Γενικές Ρυθμίσεις"
"Global","Παγκόσμια"
"HTML Head","HTML κεφαλίδα"
"Header","Κεφαλίδα"
"Host","Εξυπηρετητής"
"How many links to display at once.","Πόσοι σύνδεσμοι να προβάλλονται ταυτόχρονα."
"Incorrect credit card expiration date.","Εσφαλμένη ημερομηνία λήξης πιστωτικής κάρτας."
"Input type ""%value%"" not found in the input types list.","Τύπος εισόδου ""%value%"" δεν βρέθηκε στη λίστα τύποι εισόδου."
"Invalid base url type","Άκυρος τύπος βασικού url"
"Invalid block type: %s","Άκυρος τύπος τμήματος: %s"
"Invalid block: %s","Άκυρο τμήμα: %s"
"Invalid date","Μη έγκυρη ημερομηνία"
"Invalid layout update handle","Άκυρη λαβή ανανέωσης διάταξης"
"Invalid messages storage ""%s"" for layout messages initialization","Άκυρη αποθήκη μηνυμάτων ""%s"" για αρχικοποίηση μηνυμάτων διάταξης"
"JavaScript Settings","Ρυθμίσεις JavaScript"
"Layout","Διάταξη"
"Leave empty for access from any location.","Αφήστε κενό για πρόσβαση από οποιαδήποτε θέση."
"Locale","Τοπική ρύθμιση"
"Locale Options","Επιλογές τοπικών ρυθμίσεων"
"Login is Case Sensitive","Η Σύνδεση κάνει διάκριση Πεζών-Κεφαλαίων"
"Logo Image","Εικόνα λογότυπου"
"Logo Image Alt","Εναλλακτικό Κείμενο εικόνας Λογότυπου"
"Mail Sending Settings","Ρυθμίσεις Αποστολής Αλληλογραφίας"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Βεβαιωθείτε ότι βασική διεύθυνση URL τελειώνει με '/' (κάθετο), π.χ. http://yourdomain/magento/"
"Media Storage","Μέσα αποθήκευσης"
"Merge CSS Files","Συγχώνευση Αρχείων CSS"
"Merge JavaScript Files","Συγχώνευση Αρχείων JavaScript"
"Miscellaneous HTML","Διάφορα HTML"
"Name","Όνομα"
"New Design Change","Νέα Αλλαγή Design"
"New Store","Νέο Κατάστημα"
"New Store View","Νέα Προβολή Καταστήματος"
"New Website","Νέος Ιστότοπος"
"No","Όχι"
"Offloader header","Offloader κεφαλίδα"
"PHP SOAP extension is required.","Απαιτείται η επέκταση PHP SOAP."
"Package","Πακέτο"
"Pagination","Σελιδοποίηση"
"Pagination Frame","Πλαίσιο Σελιδοποίησης"
"Pagination Frame Skip","Παράληψη Πλαίσιου Σελιδοποίησης"
"Path ""%value%"" is not available and cannot be used.","Η Διαδρομή ""%value%"" δεν είναι διαθέσιμη και δεν μπορεί να χρησιμοποιηθεί."
"Path ""%value%"" is protected and cannot be used.","Η Διαδρομή ""%value%"" είναι προστατευμένη και δεν μπορεί να χρησιμοποιηθεί."
"Please enter a number 0 or greater in this field.","Σε αυτό το πεδίο εισαγάγετε αριθμό 0 ή μεγαλύτερο."
"Please enter a number 1 or greater in this field.","Σε αυτό το πεδίο εισαγάγετε αριθμό 1 ή μεγαλύτερο."
"Please enter a number greater than 0 in this field.","Παρακαλούμε εισάγετε έναν αριθμό μεγαλύτερο του 0 για αυτό το πεδίο."
"Please enter a valid $ amount. For example $100.00.","Παρακαλούμε εισάγετε ένα έγκυρο ποσό $. Για παράδειγμα $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση URL. Για παράδειγμα http://www.example.com ή www.example.com"
"Please enter a valid credit card number.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό πιστωτικής κάρτας."
"Please enter a valid credit card verification number.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό επικύρωσης πιστωτικής κάρτας."
"Please enter a valid date.","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία."
"Please enter a valid email address. For example johndoe@domain.com.","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση email. Για παράδειγμα johndoe@domain.com."
"Please enter a valid month (1-12).","Παρακαλώ εισάγετε έναν έγκυρο μήνα (1-12)."
"Please enter a valid number in this field.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό σε αυτό το πεδίο."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό τηλεφώνου. Για παράδειγμα (123) 456-7890 ή 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό κοινωνικής ασφάλισης. Για παράδειγμα 123-45-6789."
"Please enter a valid zip code.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό Κωδικό."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό Κωδικό. Για παράδειγμα 90602 ή 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Παρακαλώ εισάγετε τον αριθμό έκδοσης ή την ημερομηνία έναρξης για τύπο κάρτας switch/solo."
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί σας είναι ίδιοι."
"Please select State/Province.","Παρακαλούμε επιλέξτε Νομό/Δήμο."
"Please select an option.","Παρακαλούμε κάντε μια επιλογή."
"Please select one of the above options.","Παρακαλούμε επιλέξτε μία από τις παραπάνω επιλογές."
"Please select one of the options.","Παρακαλούμε επιλέξτε μία από τις επιλογές."
"Please set available and/or protected paths list(s) before validation.","Παρακαλώ ορίστε διαθέσιμα ή/και προστατευόμενα μονοπάτια ή καταλόγους πριν από την επικύρωση."
"Please use letters only (a-z or A-Z) in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (α-ω ή Α-Ω) σε αυτόν τον τομέα."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aα-zω), νούμερα (0-9) ή τη κάτω παύλα (_) στο πεδίο αυτό, ο πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Παρακαλούμε χρησιμοποιήστε αυτή τη μορφή ημερομηνίας: ηη/μμ/χχχχ. Για παράδειγμα 17/03/2006 για τη 17η Μαρτίου, 2006."
"Please wait, loading...","Παρακαλούμε περιμένετε, γίνετε φόρτωση..."
"Port (25)","Θύρα (25)"
"Recovery Link Expiration Period (hours)","Λήξη περιόδου Σύνδεσμου Ανάκτησης (ώρες)"
"Request Path for Specified Store","Αιτούμενη Διαδρομή για Καθορισμένο Κατάστημα"
"Return-Path Email","Email Διαδρομής επιστροφής"
"Root Category","Κύρια Κατηγορία"
"Sales Representative","Αντιπρόσωπος Πωλήσεων"
"Save","Αποθήκευση"
"Save Store","Αποθήκευση Καταστήματος"
"Save Store View","Αποθήκευση Προβολής Καταστήματος"
"Save Website","Αποθήκευση Ιστότοπου"
"Search Engines Optimization","Βελτιστοποίηση Μηχανών Αναζήτησης"
"Secure","Ασφαλής"
"Security","Ασφάλεια"
"Select Date","Επιλέξτε Ημερομηνία"
"Select Media Database","Επιλέξτε βάση δεδομένων για τα πολυμέσα"
"Sender Email","Email αποστολέα"
"Sender Name","Όνομα αποστολέα"
"Services","Υπηρεσίες"
"Session Validation Settings","Ρυθμίσεις επικύρωσης περιόδου λειτουργίας"
"Set Return-Path","Ορίστε τη διαδρομή επιστροφής"
"Set as Default","Ορισμός ως προεπιλογής"
"Skin (Images / CSS)","Skin (Εικόνες / CSS)"
"Sort Order","Σειρά Ταξινόμησης"
"Startup Page","Σελίδα εκκίνησης"
"Status","Κατάσταση"
"Storage Configuration for Media","Ρύθμιση παραμέτρων αποθήκευσης για τα πολυμέσα"
"Store","Κατάστημα"
"Store Email Addresses","Email Διευθύνσεις Καταστήματος"
"Store Hours of Operation","Ωράριο Λειτουργίας Καταστήματος"
"Store Information","Πληροφορίες Καταστήματος"
"Store Name","Όνομα Καταστήματος"
"Store View","Προβολή Καταστήματος"
"Store View Information","Πληροφορίες Προβολών Καταστήματος"
"Store View Name","Όνομα Όψης Καταστήματος"
"Store view doesn't exist","Η προβολή καταστήματος δεν υπάρχει"
"Store with the same code","Κατάστημα με τον ίδιο κωδικό"
"System","Σύστημα"
"Template Path Hints","Υπονοιες Διαδρομής Προτύπου(Template)"
"Template Settings","Παραμέτροι Προτύπου"
"Template Variables","Μεταβλητές Προτύπου"
"Templates","Πρότυπα(Templates)"
"The store does not exist","Το κατάστημα δεν υπάρχει"
"The value is not within the specified range.","Η τιμή δεν είναι μέσα στην καθορισμένη περιοχή."
"The website does not exist.","Αυτή η ιστοσελίδα δεν υπάρχει."
"Themes","Θέματα"
"This category only","Αυτή τη κατηγορία μόνο"
"This is a required field.","Αυτό είναι ένα υποχρεωτικό πεδίο."
"This store cannot be deleted.","Το κατάστημα δεν μπορεί να διαγραφεί."
"This store view cannot be deleted.","Αυτή η προβολή καταστήματος δεν μπορεί να διαγραφεί."
"This website cannot be deleted.","Αυτή η ιστοσελίδα δεν μπορεί να διαγραφεί."
"This will be included before head closing tag in page HTML.","Αυτό θα συμπεριληφθεί πριν από το κλείσιμο ετικέτας κεφαλίδας στη σελίδα HTML."
"Timezone","Ζώνη ώρας"
"Transactional Emails","Emails Συναλλαγών"
"Translate Inline","Ενσωματωμένη Μετάφραση"
"Translations","Μεταφράσεις"
"Unsecure","Επισφαλές"
"Url Options","Επιλογές URL"
"Use Custom Admin Path","Χρήση Προσαρμοσμένης Διαδρομής Διαχειριστή"
"Use Custom Admin URL","Χρησιμοποίηση Προσαρμοσμένης Διεύθυνσης Admin"
"Use HTTP Only","Χρήση HTTP μόνο"
"None","Κανένα"
"Use Secure URLs in Admin","Χρήση Ασφαλών URL στο Admin"
"Use Secure URLs in Frontend","Χρήση Ασφαλών URLs στο Frontend"
"Use Web Server Rewrites","Χρήση Web Server Rewrites"
"VAT Number","Α.Φ.Μ."
"Validate HTTP_USER_AGENT","Επικύρωση HTTP_USER_AGENT"
"Validate HTTP_VIA","Επικύρωση HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Επικύρωση HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Επικύρωση REMOTE_ADDR"
"Validation has failed.","Η επικύρωση απέτυχε."
"Variable Code must be unique.","Ο Κώδικας Μεταβλητής πρέπει να είναι μοναδικός."
"Website","Ιστοσελίδα"
"Website Information","Πληροφορίες Ιστότοπου"
"Website Name","Όνομα Ιστότοπου"
"Website with the same code","Ιστοσελίδα με τον ίδιο κωδικό"
"Weekend Days","Ημέρες του Σαββατοκύριακου"
"Welcome Text","Κείμενο καλωσορίσματος"
"Wrong file info format","Λάθος μορφή πληροφοριών αρχείου"
"Wrong number of arguments for %s","Εσφαλμένος αριθμός ορισμάτων για %s"
"Yes","Ναί"
