" for more information or "," για περισσότερες πληροφορίες ή "
"# of Items (and above)","# Στοιχεία (και άνω)"
"# of Items vs. Destination","# Στοιχείων εναντίον Προορισμού"
"Allow Shipping to Multiple Addresses","Επιτρέπεται η Αποστολή σε Πολλαπλές Διευθύνσεις"
"Calculate Handling Fee","Υπολογισμός Διεκπεραιωτικού Τέλους"
"Carrier:","Πάροχος:"
"City","Πόλη"
"Close Window","Κλείσιμο Παραθύρου"
"Condition","Συνθήκη"
"Country","Χώρα"
"Custom Value","Προσαρμοσμένη τιμή"
"Date","Ημερομηνία"
"Delivered on:","Παραδόθηκε σε:"
"Delivered to:","Παράδοση Στο:"
"Description","Περιγραφή"
"Displayed Error Message","Προβεβλημένο Μήνυμα Σφάλματος"
"Divide to equal weight (one request)","Διαιρέστε σε ίσο βάρος (μία αίτηση)"
"Enabled","Ενεργό"
"Error:","Σφάλμα:"
"Export","Εξαγωγή"
"Fixed","Σταθερή"
"Flat Rate","Επίπεδο Ποσοστό"
"Free Shipping","Δωρεάν Αποστολή"
"Handling Fee","Διεκπεραιωτικό Τέλος"
"Import","Εισαγωγή"
"Include Virtual Products in Price Calculation","Περιλαμβάνουν εικονικά προϊόντα κατά τον υπολογισμό τιμής"
"Info:","Πληροφορίες:"
"Local Time","Τοπική ώρα"
"Location","Τοποθεσία"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Μέγιστη Ποσότητα που Επιτρέπεται για τη Αποστολή σε Πολλαπλές Διευθύνσεις"
"Method Name","Όνομα Μεθόδου"
"Minimum Order Amount","Ελάχιστο Ποσό Παραγγελίας"
"N/A","Μ/Δ Μή Διαθέσιμο"
"None","Κανένα"
"Options","Επιλογές"
"Order Subtotal (and above)","Μερικό Σύνολο (και πάνω)"
"Origin","Προέλευση"
"Per Order","Ανά παραγγελία"
"Per Package","Ανά πακέτο"
"Percent","Ποσοστό"
"Price","Τιμή"
"Price vs. Destination","Τιμή εναντίων Προορισμού"
"Region/State","Περιοχή/Κράτος"
"Service Type:","Τύπος Υπηρεσίας:"
"Ship to Applicable Countries","Αποστολή στις Ισχύουσες Χώρες"
"Ship to Specific Countries","Αποστολή στις Συγκεκριμένες Χώρες"
"Shipment #","Αποστολή #"
"Shipped or billed on:","Απεσταλμένο ή χρεωμένο στο"
"Shipping Methods","Τρόποι Αποστολής"
"Shipping Settings","Ρυθμίσεις Αποστολής"
"Shipping Settings Section","Ενότητα Ρυθμίσεων Αποστολής"
"Show Method if Not Applicable","Προβολή Μεθόδου, αν Δεν Είναι Εφαρμόσιμη"
"Signed by:","Υπογεγραμένο Από"
"Sort Order","Σειρά Ταξινόμησης"
"Status:","Κατάσταση:"
"Store Pickup","Παραλαβή από Κατάστημα"
"Street Address","Διεύθυνση"
"Street Address Line 2","Διεύθυνση Γραμμή 2"
"Table Rates","Πίνακας συντελεστών"
"The shipping module is not available.","Η λειτουργική μονάδα αποστολής δεν είναι διαθέσιμη."
"There is no tracking available for this shipment.","Δεν υπάρχει καμία παρακολούθηση για αυτήν την αποστολή."
"There is no tracking available.","Δεν υπάρχει καμία παρακολούθηση."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Αυτός ο τρόπος αποστολής δεν είναι διαθέσιμος αυτή τη στιγμή. Αν θέλετε να τον χρησιμοποιησετε, παρακαλούμε επικοινωνήστε μαζί μας."
"Title","Τίτλος"
"Track:","Κομμάτι:"
"Tracking Information","Πληροφορίες Εντοπισμού"
"Tracking Number:","Αριθμός Εντοπισμού:"
"Tracking information is currently not available. Please ","Πληροφορίες Παρακολούθησης δεν είναι διαθέσιμες. Παρακαλώ "
"Tracking information is currently unavailable.","Οι Πληροφορίες Παρακολούθησης δεν είναι διαθέσιμες αυτή τη στιγμή"
"Type","Τύπος"
"Use origin weight (few requests)","Χρήση προέλευσης βάρος (λίγες αιτήσεις)"
"Weight (and above)","Βάρος (και πάνω)"
"Weight vs. Destination","Βάρος εναντίων Προορισμού"
"Weight:","Βάρος:"
"ZIP/Postal Code","Ταχυδρομικός κώδικας"
"contact us","επικοινωνήστε μαζί μας"
"email us at ","Επικοινωνήστε μαζί μας στο "
