"Actions","Ενέργειες"
"Are you sure?","Είσαι σίγουρος;"
"Date Added","Ημερομηνίας Προσθήκης"
"Last Update","Τελευταία Ενημέρωση"
"Mark as Read","Σήμανση ως αναγνωσμένο"
"Message","Μήνυμα"
"Messages Inbox","Εισερχόμενα μηνύματα"
"Notifications","Ειδοποιήσεις"
"Please select messages.","Παρακαλώ επιλέξτε μηνύματα."
"Read Details","Διαβάστε Λεπτομέρειες"
"Remove","Αφαίρεση"
"Severity","Σοβαρότητα"
"Show List","Εμφάνιση Λίστας"
"Show Toolbar","Εμφάνιση γραμμής εργαλείων"
"The message has been removed.","Το μήνυμα έχει αφαιρεθεί."
"Update Frequency","Συχνότητα ενημέρωσης"
"Use HTTPS to Get Feed","Χρήση HTTPS για σπόκτηση Feed"
"Wrong message type","Λάθος τύπος μηνύματος"
"critical","κρίσιμο"
"major","σημαντικό"
"minor","χαμηλή"
"notice","ανακοίνωση"
