"(Excl. Tax)","(Χωρίς ΦΠΑ)"
"(Incl. Tax)","(Περιλ. ΦΠΑ)"
"* Required Fields","* Απαιτούμενα πεδία"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Condition","Προσθήκη Νέας Προϋπόθεσης"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη για Σύγκριση"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Address","Διεύθυνση"
"Address %s of %s","Διεύθυνση %s του %s"
"After Adding a Product Redirect to Shopping Cart","Αφού Προσθέτετε ένα Προϊόν να Πηγαίνετε στο Καλάθι Αγορών"
"Allow Guest Checkout","Να Επιτρέπεπεται η Ολοκλήρωση Αγοράς από Επισκέπτες"
"Already registered?","Είστε ήδη εγγεγραμμένος;"
"Apply","Εφαρμογή"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι ότι θέλετε να καταργήσετε αυτό το στοιχείο από το καλάθι αγορών;"
"Back","Πίσω"
"Back to Billing Information","Πίσω στις πληροφορίες χρέωσης"
"Back to Select Addresses","Πίσω στην Επιλογή Διευθύνσεων"
"Back to Shipping Information","Πίσω σε Πληροφορίες Αποστολής"
"Back to Shopping Cart","Πίσω στο καλάθι αγορών"
"Based on your selection, you may be interested in the following items:","Με βάση την επιλογή σας, μπορεί να σας ενδιαφέρουν και τα ακόλουθα είδη:"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Information","Πληροφορίες Χρέωσης"
"Billing Information - %s","Στοιχεία Χρέωσης - %s"
"Cancel","Άκυρο"
"Cancel Coupon","Ακύρωση Κουπονιού"
"Cannot process the item.","Δεν μπορεί να επεξεργαστεί το στοιχείο."
"Card Verification Number Visual Reference","Οπτική αναφορά αριθμού επαλήθευσης κάρτας"
"Cart Subtotal:","Μερικό Σύνολο Κάρτας:"
"Change","Αλλαγή"
"Change Billing Address","Αλλάξτε τη Διεύθυνση Χρέωσης"
"Checkbox Text","Κείμενο Πλαισίου ελέγχου"
"Checkout","Αγορά"
"Checkout Conditions","Προϋποθέσεις Ολοκλήρωσης Παραγγελίας"
"Checkout Options","Επιλογές Αγοράς"
"Checkout Terms and Conditions","Όροι και προϋποθέσεις Ολοκλήρωσης Παραγγελίας"
"Checkout as Guest","Ολοκλήρωση Αγορών ως Επισκέπτης"
"Checkout as a Guest or Register","Ολοκληρωστε τις Αγορες σας ως Επισκεπτης ή Εγγραφειτε"
"Checkout with Multiple Addresses","Ολοκλήρωση Αγορών με περισσότερες διευθύνσεις"
"City","Πόλη"
"Clear Shopping Cart","Καθαρισμός του Καλαθιού Αγορών"
"Close","Κλείσιμο"
"Company","Εταιρία"
"Condition Name","Όνομα Κατάστασης"
"Configurable Product Image","Εικόνα Διαμορφώσιμου Προϊόντος"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Content","Περιεχόμενο"
"Content Height","Ύψος περιεχομένου"
"Content Height (css)","Ύψος περιεχομένου (css)"
"Continue","Συνέχεια"
"Continue Shopping","Συνέχεια Αγορών"
"Continue to Billing Information","Συνεχίστε στις πληροφορίες χρέωσης"
"Continue to Review Your Order","Συνέχεια για Ανασκόπηση της Παραγγελίας σας"
"Continue to Shipping Information","Συνέχεια στα Στοιχεία Αποστολής"
"Country","Χώρα"
"Coupon code ""%s"" is not valid.","Ο κωδικός Κουπονιού ""%s"" δεν είναι έγκυρος."
"Create Billing Address","Δημιουργία Διεύθυνσης Χρέωσης"
"Create Shipping Address","Δημιουργία Διεύθυνσης Αποστολής"
"Customer Information","Στοιχεία Πελάτη"
"Data saving problem","Πρόβλημα αποθήκευσης δεδομένων"
"Default Billing","Προεπιλεγμένη χρέωση"
"Default Shipping","Προεπιλεγμένη Αποστολή"
"Delete Condition","Διαγραφή Προϋπόθεσης"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Discount Codes","Κωδικοί Έκπτωσης"
"Display Cart Summary","Προβολή Περίληψης Καλαθιού"
"Display item quantities","Εμφάνιση ποσοτήτων των ειδών"
"Display number of items in cart","Εμφάνιση αριθμού ειδών στο καλάθι"
"Easy access to your order history and status","Εύκολη πρόσβαση στη κατάσταση και στο ιστορικό των παραγγελιών σας"
"Edit","Επεξεργασία"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Billing Address","Επεξεργασία Διεύθυνσης Χρέωσης"
"Edit Condition","Επεξεργαστείτε την κατάσταση"
"Edit Items","Επεξεργασία στοιχείων"
"Edit Shipping Address","Επεξεργασία Διεύθυνσης Αποστολής"
"Edit Terms and Conditions","Επεξεργαστείτε τους Όρους και τις Προϋποθέσεις"
"Edit Your Cart","Επεξεργαστείτε το καλάθι σας"
"Edit item","Επεξεργασία στοιχείου"
"Edit item parameters","Επεξεργαστείτε τις παραμέτρους του στοιχείου"
"Email Address","Διεύθυνση Email"
"Enable Onepage Checkout","Ενεργοποίηση Αγοράς Μίας Σελίδας"
"Enable Terms and Conditions","Ενεργοποίηση Όρων και Προϋποθέσεων"
"Enabled","Ενεργό"
"Enter a New Address","Εισάγετε μια νέα διεύθυνση"
"Enter your coupon code if you have one.","Εισάγετε το κωδικό του κουπονιού σας εάν έχετε."
"Enter your destination to get a shipping estimate.","Εισάγετε την τοποθεσία σας για να πάρετε μια εκτίμηση των μεταφορικών."
"Estimate Shipping and Tax","Εκτίμηση μεταφορικών και Φόρων"
"Excl. Tax","Χωρίς ΦΠΑ"
"Fast and easy check out","Γρήγορη και εύκολη ολοκλήρωση αγορών"
"Fax","Φαξ"
"Forgot an Item?","Ξεχάσατε ένα στοιχείο;"
"Forgot your password?","Ξεχάσατε τον κωδικό σας;"
"Get a Quote","Πάρτε μια Εκτίμηση"
"Gift Message","Mήνυμα Δώρου"
"Grand Total:","Γενικό Σύνολο:"
"Grouped Product Image","Εικόνα Ομαδοποιημένου Προϊόντος"
"Incl. Tax","Με ΦΠΑ"
"Invalid shipping method.","Άκυρη Μέθοδος Αποστολής."
"Items","Είδη"
"Load customer quote error","Σφάλμα φόρτωσης προσφοράς πελάτη"
"Loading next step...","Αναμονή για το επόμενο βήμα..."
"Login","Σύνδεση"
"Terms and Conditions","Όροι και Προϋποθέσεις"
"Maximum qty allowed for Shipping to multiple addresses is %s","Η μέγιστη επιτρεπόμενη ποσότητα για Αποστολή σε πολλαπλές διευθύνσεις είναι "
"Move","Μετακίνηση"
"Move to Wishlist","Μετακίνηση στη Λίστα Επιθυμιών"
"My Cart","Το καλάθι μου"
"My Cart (%s item)","Το Καλάθι μου (%s αντικείμενα)"
"My Cart (%s items)","Καλάθι (%s προϊόντα)"
"My Cart Link","Ο Σύνδεσμος για το καλάθι μου"
"New Address","Νέα διεύθυνση"
"New Condition","Νέα κατάσταση"
"New Terms and Conditions","Νέοi Όροι και Προϋποθέσεις"
"No Payment Methods","Δεν υπάρχουν Μέθοδοι Πληρωμής"
"Order #","Παραγγελία #"
"Order Review","Ανασκόπηση Παραγγελίας"
"Order Success","Επιτυχής Παραγγελία"
"Password","Κωδικός πρόσβασης"
"Payment Failed Email Sender","Αποστολέας Email Αποτυχίας Πληρωμής"
"Payment Failed Emails","Emails Αποτυχίας Πληρωμής"
"Payment Failed Template","Πρότυπο Αποτυχίας Πληρωμής"
"Payment Information","Στοιχεία Πληρωμής"
"Payment Method","Μέθοδος Πληρωμής"
"Payment method is not defined","Δεν προσδιορίστηκε μέθοδος πληρωμής"
"Place Order","Υποβολή Παραγγελίας"
"Please agree to all Terms and Conditions before placing the order.","Παρακαλούμε να συμφωνήσετε με όλους τους όρους και τις προϋποθέσεις πριν υποβάλετε την παραγγελία."
"Please agree to all the terms and conditions before placing the order.","Παρακαλούμε να συμφωνήσετε με όλους τους όρους και τις προϋποθέσεις πριν υποβάλετε την παραγγελία."
"Please log in below:","Παρακαλούμε συνδεθείτε παρακάτω:"
"Please select region, state or province","Παρακαλώ επιλέξτε μια περιοχή, χώρα ή περιφέρεια"
"Please select shipping methods for all addresses","Παρακαλούμε επιλέξτε μεθόδους αποστολής για όλες τις διευθύνσεις"
"Price","Τιμή"
"Proceed to Checkout","Προχωρήστε στην Αγορά"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Products","Προϊόντα"
"Qty","Ποσότητα"
"Qty:","Ποσότητα:"
"Quantity","Ποσότητα"
"Quote Lifetime (days)","Διάρκεια προσφοράς (ημέρες)"
"Recently added item(s)","Πρόσφατα προϊόν(τα) που προστέθηκαν"
"Register","Εγγραφή"
"Register and save time!","Εγγραφείτε και γλιτώστε χρόνο!"
"Register to Create an Account","Εγγραφείτε για να Δημιουργήσετε έναν Λογαριασμό"
"Register with us for future convenience:","Εγγραφείτε για μελλοντική ευκολία:"
"Remove Item","Αφαίρεση είδους"
"Remove This Item","Διαγραφή Αυτού του Είδους"
"Remove item","Αφαίρεση είδους"
"Review Order","Επισκόπηση Παραγγελίας"
"Review Order - %s","Ανασκόπηση Παραγγελίας - %s"
"SKU","Κωδικός"
"Sales","Πωλήσεις"
"Save Condition","Αποθήκευση Κατάστασης"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"Select Address","Επιλέξτε Διεύθυνση"
"Select Addresses","Επιλέξτε διευθύνσεις"
"Select Shipping Method","Επιλέξτε μέθοδος αποστολής"
"Select State/Province...","Επιλογή Νομού/Δήμου..."
"Select a billing address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση χρέωσης από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Select a shipping address from your address book or enter a new address.","Επιλέξτε μια διεύθυνση αποστολής από το βιβλίο διευθύνσεών σας ή εισάγετε μια νέα διεύθυνση."
"Send Payment Failed Email Copy Method","Μέθοδος αποστολής του αντιγράφου Email Αποτυχίας Πληρωμής"
"Send Payment Failed Email Copy To","Στείλτε το αντίγραφο Email Αποτυχίας Πληρωμής Σε"
"Send To","Αποστολή Σε"
"Separate by "","".","Διαχωρισμός με "",""."
"Ship to Multiple Addresses","Αποστολή σε Πολλαπλές Διευθύνσεις"
"Ship to different address","Αποστολή σε διαφορετική διεύθυνση"
"Ship to this address","Αποστολή σε αυτήν τη διεύθυνση"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Information","Πληροφορίες Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Methods","Τρόποι Αποστολής"
"Shipping To","Αποστολή σε"
"Shipping method has not been selected yet","Ακόμα δεν έχει επιλεγεί μέθοδος αποστολής"
"Shopping Cart","Καλάθι"
"Shopping Cart is Empty","Το Καλάθι σας είναι Άδειο"
"Show Content as","Εμφάνιση Περιεχομένου ως"
"Sorry, no quotes are available for this order at this time.","Συγγνώμη, δεν υπάρχουν διαθέσιμες εκτιμήσεις για αυτή τη παραγγελία αυτή τη στιγμή."
