"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Address","ที่อยู่"
"Address Information","ข้อมูลที่อยู่"
"Already registered?","ลงทะเบียนแล้ว?"
"Back","ย้อนกลับ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","เมื่อคุณสร้างบัญชีผู้ใช้กับร้านของเรา คุณจะสามารถใช้บริการขั้นตอน Checkout ได้รวดเร็วขึ้น เก็บข้อมูลที่อยู่สำหรับจัดส่งสินค้าได้หลายที่อยู่ เรียกดูและติดตามออเดอร์ของคุณผ่านบัญชีผู้ใช้ของคุณรวมไปถึงได้สิทธิพิเศษอีกมากมาย."
"Checkout as Guest","Checkout ในฐานะผู้เยี่ยมชม"
"Checkout as a Guest or Register","Checkout ในฐานะผู้เยี่ยมชมหรือลงทะเบียน"
"City","เมือง"
"Close","ปิด"
"Company","บริษัท"
"Confirm Password","ยืนยันรหัสผ่าน"
"Continue","ดำเนินการต่อ"
"Country","ประเทศ"
"Create an Account","สร้างบัญชี"
"Easy access to your order history and status","เข้าถึงข้อมูลประวัติคำสั่งซื้อและสถานะคำสั่งซื้อ์ต่างๆ ได้ง่าย"
"Email Address","อีเมล"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Fax","โทรสาร"
"Forgot Your Password?","ลืมรหัสผ่าน?"
"Forgot your password?","ลืมรหัสผ่าน?"
"General Options","ตัวเลือกทั่วไป"
"If you have an account with us, please log in.","ถ้าหากคุณมีบัญชีผู้ใช้กับเรา กรุณาเข้าสู่ระบบ"
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"Login","เข้าสู่ระบบ"
"Login Information","ข้อมูลการเข้าสู่ระบบ"
"Login or Create an Account","เข้าสู่ระบบหรือสร้างบัญชีผู้ใช้"
"New Customers","ลูกค้าใหม่"
"Password","รหัสผ่าน"
"Personal Information","ข้อมูลส่วนบุคคล"
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Register","ลงทะเบียน"
"Register and save time!","ลงทะเบียนเพื่อประหยัดเวลาของคุณ!"
"Register to Create an Account","ลงทะเบียนเพื่อสร้างบัญชีผู้ใช้"
"Register with us for future convenience:","ลงทะเบียนกับเราเพื่อความสะดวกในอนาคต:"
"Registered Customers","ลูกค้าที่เคยลงทะเบียนแล้ว"
"Save in address book","บันทึกในสมุดเก็บที่อยู่"
"Select State/Province...","เลือก รัฐ/จังหวัด..."
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่"
"Ship to different address","ส่งไปยังที่อยู่ที่ต่างกัน"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"Sign Up for Newsletter","สมัครรับจดหมายข่าว"
"State/Province","จังหวัด"
"Street Address","ที่อยู่"
"Submit","ส่ง"
"Telephone","โทรศัพท์"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"Welcome, %s!","ยินดีต้อนรับ  %s!"
"What's this?","นี่คืออะไร?"
"Zip/Postal Code","รหัสไปรษณีย์"
