"-- Please select --","-- กรุณาเลือก --"
"Continue &raquo;","ดำเนินการต่อ &raquo;"
"Country","ประเทศ"
"Country and Format Type combination should be unique","การรวมประเทศและประเภท รูปแบบจะต้องเป็นค่าที่ไม่ซ้ำ"
"Currency","สกุลเงิน"
"Currency Options","ตัวเลือกสกุลเงิน"
"Currency Setup","ติดตั้งสกุลเงิน"
"Currency Update Warnings","คำเตือนการอัพเดทสกุลเงิน"
"Enabled","เปิดใช้งาน"
"Error Email Recipient","ข้อผิดพลาดของผู้รับอีเมลล์"
"Error Email Sender","ข้อผิดพลาดผู้ส่งอีเมลล์"
"Error Email Template","ข้อผิดพลาดในเทมเพลตอีเมลล์"
"FATAL ERROR:","ความผิดพลาดร้ายแรง:"
"Frequency","ความถี่"
"Installed Currencies","สกุลเงินที่ติดตั้ง"
"Invalid country code: %s","โค้ดประเทศไม่ถูกต้อง: %s"
"Invalid rates received","อัตราที่รับมาไม่ถูกต้อง"
"Scheduled Import Settings","การตั้งค่าตารางเวลานำเข้าข้อมูล"
"Select Your Currency","กรุณาเลือกสกุลเงินของคุณ"
"Service","บริการ"
"Start Time","วันที่เริ่มต้น"
"State/Province","จังหวัด"
"WARNING:","คำเตือน:"
"Your current currency is: %s","ปัจจุบันสกุลเงินของคุณคือ: %s"
