"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Comment","คำแนะนำ"
"Contact Form","แบบฟอร์มการติดต่อ"
"Contact Information","ข้อมูลติดต่อ"
"Contact Us","ติดต่อเรา"
"Contacts","การติดต่อ"
"Contacts Section","ส่วนการติดต่อ"
"Email","อีเมล"
"Email Options","อีเมล ตัวเลือก"
"Email Sender","ผู้ส่งอีเมล"
"Email Template","เทมเพลตอีเมล"
"Enable Contact Us","เปิดใช้งาน การติดต่อเรา"
"Name","ชื่อ"
"Send Emails To","ส่งอีเมลถึง"
"Submit","ส่ง"
"Telephone","โทรศัพท์"
"Unable to submit your request. Please, try again later","ไม่สามารถยืนยันการร้องขอของคุณได้ กรุณาลองใหม่อีกครั้ง"
