" [deleted]","[ลบทิ้งแล้ว]"
" and ","และ"
"(For US 2-letter state names)","(สำหรับชื่อรัฐ 2 ตัวของสหรัฐอเมริกา)"
"(If left empty will be auto-generated)","(หากเว้นว่างไว้จะถูกสร้างโดยอัตโนมัติ)"
"(Leave empty for first spreadsheet)","(ปล่อยชีทแรกให้ว่างไว้)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(สินค้าจะถูก เพิ่ม/ปรับปรุง ไปยังร้านค้า ถ้า คอลัมม์ร้านค้าว่างหรือหายไปในการนำเข้าไฟล์.)"
"(Shift-)Click or drag to change value","(กด Shift-) คลิกและลากเพื่อเปลี่ยนค่า"
"(Starting with)","(เริ่มต้นด้วย)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(เมื่อไหรไม่มีพื้นที่ที่จะนำเข้าข้อมูล. เมื่อใช้พื้นที่ คอลัม1', คอลัม 2',และอื่่นๆ.)"
"(\t for tab)","(t for tab)"
"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"- Click on any of the time parts to increase it","- คลิกที่ช่วงเวลาที่ต้องการเพิ่มเวลาขึ้น"
"- Hold mouse button on any of the above buttons for faster selection.","- กดเมาส์ค้างไว้ที่ปุ่มกดใดก็ได้ด้านบนเพื่อทำการเลือกได้อย่างรวดเร็วขึ้น"
"- Use the %s buttons to select month","- ใช้ปุ่มกด %s เพื่อเลือกเดือน"
"- Use the %s, %s buttons to select year","- ใช้ปุ่มกด %s เพื่อเลือกปี"
"- or Shift-click to decrease it","หรือกด Shift-แล้วคลิกค้างเพื่อลดจำนวนลง"
"- or click and drag for faster selection.","- หรือคลิกแล้วลากเพื่อทำการเลือกอย่างรวดเร็ว"
"-- Please Select --","-- โปรดเลือก-"
"-- Please select --","-- กรุณาเลือก --"
"--Please Select--","--กรุณาเลือก--"
"1 Hour","1 ชั่วโมง"
"12 Hours","12 ชั่วโมง"
"12h AM/PM","12 ชม. AM/PM"
"2 Hours","2 ชั่วโมง"
"24 Hours","24 ชั่วโมง"
"24h","24ชม."
"6 Hours","6 ชั่วโมง"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>ไม่มีหน้านี้</p>"
"About the calendar","เกี่ยวกับปฏิทิน"
"Account Created in:","สร้างบัญชีใน:"
"Account Created on (%s):","บัญชีถูกสร้างขึ้นเมื่อ (%s):"
"Account Created on:","สร้างบัญชีบน:"
"Account Information","ข้อมูลบัญชี"
"Account status","สถานะบัญชี"
"Action","ดำเนินการ"
"Actions","การดำเนินการ"
"Actions XML","การกระทำ XML"
"Active","ใช้งานอยู่"
"Add","เพิ่มใหม่"
"Add Field Mapping","เพิ่มฟิลด์  Mapping"
"Add Field with URL:","เพิ่มช่องรับข้อมูลที่เป็น URL:"
"Add New","เพิ่มใหม่"
"Add New Block","เพิ่ม Block ใหม่"
"Add New Image","เพิ่มรูปภาพใหม่"
"Add New Profile","เพิ่มโปรไฟล์ใหม่"
"Add New Role","เพิ่มบทบาทใหม่"
"Add New Template","เพิ่มเทมเพลตใหม่"
"Add New User","เพิ่มผู้ใช้ใหม่"
"Add Products","เพิ่มสินค้า"
"Address Type:","ประเภทที่อยู่:"
"Admin","ผู้ดูแลระบบ"
"Advanced Profiles","โปรไฟล์ขั้นสูง"
"All","ทั้งหมด"
"All Allowed Countries","ประเทศที่อนุญาตทั้งหมด"
"All Cache","แคชทั้งหมด"
"All Files","แฟ้มทั้งหมด"
"All Reviews","บทวิจารณ์ทั้งหมด"
"All Store Views","มุมมองร้านค้าทั้งหมด"
"All Tags","Tags ทั้งหมด"
"All Websites","เว็บไซต์ทั้งหมด"
"All countries","ทุกประเทศ"
"All fields","ทุกขอบเขต"
"All valid rates have been saved.","บันทึกเรท ทั้งหมดแล้ว"
"Amounts","ยอดเงิน"
