"Allow Qty Below 0","ยอมให้จำนวนต่ำกว่า 0"
"Allow Qty Below 0 and Notify Customer","ยอมให้จำนวนต่ำกว่า 0 และแจ้งไปยังลูกค้า"
"Backorders","คำสั่งซื้อล่วงหน้า"
"By Fixed value","ตามค่าคงที่"
"By Percentage","ตามเปอร์เซ็นต์"
"Decrease Stock When Order is Placed","ลดจำนวนสินค้าในสต๊อกเมื่อมีการสั่งออเดอร์"
"In Stock","มีสินค้า"
"Inventory","สินค้าที่มีอยู่ร้าน"
"Maximum Qty Allowed in Shopping Cart","จำนวนมากที่สุดที่อนุมัติในรถเข็น"
"Minimum Qty Allowed in Shopping Cart","จำนวนที่น้อยที่สุดที่อนุมัติในรถเข็น"
"No Backorders","ไม่มี รายการสั่งซื้อล่วงหน้า"
"Notify for Quantity Below","แจ้งเตือนสำหรับปริมาณที่ลดลง"
"Out of Stock","สินค้าหมดคลังสินค้า"
"Product Name","ชื่อสินค้า"
"Qty","จำนวน"
"Retrieve stock data","ดึงข้อมูลจำนวนสินค้าในคลัง"
"Retrieve stock data by product ids","ดึงข้อมูลจำนวนสินค้าในคลังโดยใช้รหัสสินค้า"
"Rule price","ข้อกำหนดราคา"
"Stock Options","ตัวเลือกคลังสินค้า"
"The maximum quantity allowed for purchase is %s.","จำนวนสินค้าสูงสุดที่อนุญาติให้สั่งซื้อได้คือ %s"
"The minimum quantity allowed for purchase is %s.","จำนวนสินค้าขั้นต่ำที่อนุญาติให้สั่งซื้อได้คือ %s"
"The requested quantity for ""%s"" is not available.","ปริมาณที่ต้องการสำหรับ ""%s"" มีไม่พอ"
"This product is currently out of stock.","ขณะนี้สินค้ารายการนี้หมดสต๊อค"
"To Fixed Value","เป็นค่าคงที่"
"To Percentage","เป็นเปอร์เซ็นต์"
"Update","อัพเดท"
"Update product stock data","อัพเดทข้อมูลสินค้าในสต๊อค"
"Update the Product","ปรับปรุงสินค้า"
