"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยังรายการโปรด"
"Address","ที่อยู่"
"Address %s of %s","ที่อยู่ %s ของ %s"
"Allow Guest Checkout","อนุญาตให้ลูกค้าทำการ Checkout ได้"
"Already registered?","ลงทะเบียนแล้ว?"
"Apply","นำไปใช้"
"Apply Coupon","ใช้รหัสคูปอง"
"Are you sure you would like to remove this item from the shopping cart?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจากรถเข็น?"
"Back","ย้อนกลับ"
"Back to Shipping Information","กลับไปยังหน้าข้อมูลการจัดส่งสินค้า"
"Based on your selection, you may be interested in the following items:","เมื่อดูจากการเลือกซื้อของคุณ คุณอาจจะสนใจในรายการต่าง ๆ ดังต่อไปนี้:"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Billing Information","ข้อมูลในการออกใบเสร็จ"
"Billing Information - %s","ข้อมูลการออกใบเสร็จ - %s"
"Cancel","ยกเลิก"
"Cancel Coupon","ยกเลิกคูปอง"
"Card Verification Number Visual Reference","การอ้างอิงถึงหมายเลขยืนยันบัตรเครดิตที่มองเห็น"
"Cart Subtotal:","ยอดรวมสินค้าในรถเข็น:"
"Change","เปลี่ยนแปลง"
"Change Billing Address","เปลี่ยนที่อยู่สำหรับออกใบเสร็จ"
"Checkout","ชำระเงิน"
"Checkout Options","ตัวเลือกการ Checkout"
"Checkout as Guest","Checkout ในฐานะผู้เยี่ยมชม"
"Checkout as a Guest or Register","Checkout ในฐานะผู้เยี่ยมชมหรือลงทะเบียน"
"Checkout with Multiple Addresses","Checkout ด้วยที่อยู่หลายที่"
"City","เมือง"
"Clear Shopping Cart","ล้างตะกร้า"
"Close","ปิด"
"Company","บริษัท"
"Confirm Password","ยืนยันรหัสผ่าน"
"Content","เนื้อหา"
"Continue","ดำเนินการต่อ"
"Continue Shopping","ช้อปปิ้งต่อ"
"Continue to Billing Information","ดำเนินการส่วนข้อมูลการออกใบเสร็จต่อ"
"Continue to Review Your Order","ทำการตรวจสอบออเดอร์ของคุณต่อ"
"Continue to Shipping Information","ดำเนินการต่อในข้อมูลการจัดส่งสินค้า"
"Country","ประเทศ"
"Coupon code ""%s"" is not valid.","รหัสคูปอง ""%s"" ไม่ถูกต้อง"
"Create Billing Address","สร้างที่อยู่สำหรับออกใบเสร็จ"
"Create Shipping Address","สร้างที่อยู่สำหรับจัดส่งสินค้า"
"Customer Information","ข้อมูลลูกค้า"
"Data saving problem","ปัญหาในการบันทึกข้อมูล"
"Default Billing","ค่าเริ่มต้นสำหรับออกใบเสร็จ"
"Default Shipping","ค่าเริ่มต้นการจัดส่งสินค้า"
"Details","รายละเอียด"
"Disabled","ปิดการใช้งาน"
"Discount Codes","รหัสส่วนลด"
"Display Cart Summary","แสดงสรุปรายละเอียดรถเข็น"
"Display item quantities","แสดงจำนวนรายการสินค้า"
"Display number of items in cart","แสดงจำนวนรายการในรถเข็น"
"Easy access to your order history and status","เข้าถึงข้อมูลประวัติคำสั่งซื้อและสถานะคำสั่งซื้อ์ต่างๆ ได้ง่าย"
"Edit","แก้ไข"
"Edit Address","แก้ไขที่อยู่จัดส่งสินค้า"
"Edit Billing Address","แก้ไขที่อยู่สำหรับออกใบเสร็จ"
"Edit Items","แก้ไขรายการสินค้า"
"Edit Shipping Address","แก้ไขที่อยู่สำหรับจัดส่งสินค้า"
"Edit Your Cart","แก้ไขรถเข็นของคุณ"
"Edit item","แก้ไขสินค้า"
"Edit item parameters","แก้ไข item parameters"
"Email Address","อีเมล"
"Enabled","เปิดใช้งาน"
"Enter a New Address","ใส่ที่อยู่ใหม่"
"Enter your coupon code if you have one.","ใส่รหัสคูปองถ้าคุณมี"
"Enter your destination to get a shipping estimate.","กรุณาใส่ปลายทางของคุณเพื่อประเมินค่าขนส่ง"
"Estimate Shipping and Tax","ค่าจัดส่ง และภาษี โดยประมาณ"
"Excl. Tax","ไม่รวมภาษี"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Fax","โทรสาร"
"Forgot an Item?","ลืมรายการสินค้า?"
"Forgot your password?","ลืมรหัสผ่าน?"
"Get a Quote","เรียกข้อมูลอ้างอิง"
"Gift Message","ข้อความสำหรับของขวัญ"
"Grand Total:","รวมทั้งหมด:"
"ID","ไอดี"
"Incl. Tax","รวมภาษี"
"Invalid shipping method.","วิธีการส่งสินค้าไม่ถูกต้อง"
"Items","รายการ"
"Load customer quote error","ข้อผิดพลาดในการโหลดคำอ้างอิงของลูกค้า"
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"Login","เข้าสู่ระบบ"
"Maximum qty allowed for Shipping to multiple addresses is %s","อนุญาตจำนวนสูงสุดสำหรับส่งสินค้าหลายที่ %s"
"Move to Wishlist","ย้ายไปยัง Wishlist"
"My Cart","ตะกร้า"
"My Cart (%s item)","รถเข็นของฉัน (%s รายการ)"
"My Cart (%s items)","รถเข็นของฉัน (%s รายการ)"
"My Cart Link","ลิงค์รถเข็นของฉัน"
"New Address","ที่อยู่ใหม่"
