"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"-- Select --","-- เลือก --"
"Add New Option","เพิ่มตัวเลือกใหม่"
"Add Selection","เพิ่มรายการที่เลือก"
"As Low as","ราคาเริ่มต้น"
"As low as","ราคาเริ่มต้น"
"Checkbox","ช่องกาตัวเลือก"
"Choose a selection...","เลือกรายการ"
"Click for price","คลิกเพื่อดูราคา"
"Close","ปิด"
"Default","ค่าเริ่มต้น"
"Default Qty","จำนวนสินค้าเริ่มต้น"
"Default Title","ชื่อที่ใช้เริ่มต้น"
"Drop-down","ดรอปดาวน์"
"Dynamic","เปลี่ยนแปลงเสมอ"
"Excl. Tax","ไม่รวมภาษี"
"Fixed","คงที่"
"From","จาก"
"From:","จาก:"
"Gift Message","ข้อความสำหรับของขวัญ"
"Incl. Tax","รวมภาษี"
"Input Type","รูปแบบการรับข้อมูล"
"Is Required","จำเป็นต้องกรอกหรือไม่"
"Message:","ข้อ​ความ:"
"Multiple Select","เลือกหลายรายการ"
"N/A","ยังไม่มีรายการ"
"No options of this product are available.","ไม่มีตัวเลือกเพิ่มเติมอื่นๆสำหรับสินค้ารายการนี้"
"None","ไม่มี"
"Percent","เปอร์เซนต์"
"Percent Discount","ส่วนลดเปอร์เซ็นต์"
"Please enter a number greater 0 in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please enter search conditions to view products.","กรุณากรอกเงื่อนไขที่ต้องการใช้ในการเปิดดูสินค้า"
"Please select options for product.","กรุณาเลือกตัวเลือกให้กับสินค้า"
"Position","ตำแหน่ง"
"Price Range","ช่วงราคา"
"Price Type","ประเภทราคา"
"Qty:","จำนวนสินค้า"
"Radio Buttons","ปุ่มกดเรดิโอบัททอน"
"SKU","รหัสสินค้า"
"Store View Title","ชื่อมุมมองร้านค้า"
"To","ถึง"
"To:","ถึง:"
"Use Default Value","ใช้ค่าเริ่มต้น"
"User Defined Qty","จำนวนที่กำหนดไว้โดยผู้ใช้งาน"
"and","และ"
