"Add","เพิ่มใหม่"
"Allow Gift Messages for Order Items","อนุญาตให้มี Gift Message สำหรับรายการสินค้าในคำสั่งซื้อ"
"Allow Gift Messages on Order Level","อนุญาตให้มี Gift Message สำหรับระดับคำสั่งซื้อ"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Cancel","ยกเลิก"
"Do you have any gift items in your order?","คุณมีรายการสินค้าที่เป็นของขวัญในคำสั่งซื้อของคุณหรือไม่?"
"Edit","แก้ไข"
"From","จาก"
"Gift Message","ข้อความสำหรับของขวัญ"
"Item %d of %d","รายการ %d ของ %d"
"Message","ข้อ​ความ"
"No","ไม่"
"Save Gift Message","บันทึก Gift Message"
"To","ถึง"
"Unknown entity type","ประเภท Entity ที่ไม่รู้จัก"
"Use config","ใช้การตั้งค่า"
"Yes","ใช่"
