"API Password","รหัสผ่าน API"
"API Signature","ลายเซ็นต์ API"
"Address","ที่อยู่"
"Authorization","การอนุมัติ"
"Billing Information","ข้อมูลในการออกใบเสร็จ"
"City","เมือง"
"Close","ปิด"
"Company","บริษัท"
"Configure","ตั้งค่า"
"Continue","ดำเนินการต่อ"
"Country","ประเทศ"
"Custom","กำหนดเอง"
"Daily","ทุกวัน"
"Discount","ส่วนลด"
"Dynamic","เปลี่ยนแปลงเสมอ"
"Edit","แก้ไข"
"Edit Shopping Cart","แก้ไขรถเข็น"
"Email Address","อีเมล"
"Enabled","เปิดใช้งาน"
"Fax","โทรสาร"
"Items in Your Shopping Cart","รายการสินค้าในรถเข็นของคุณ"
"Learn More","ดูรายละเอียดเพิ่มเติม"
"Login","เข้าสู่ระบบ"
"N/A","ยังไม่มีรายการ"
"Never","ไม่เคย"
"No","ไม่"
"Order","รายการสั่งซื้อ"
"Partner","พาร์ทเนอร์"
"Password","รหัสผ่าน"
"Payment Action","การดำเนินการชำระเงิน"
"Payment Method","วิธีการชำระเงิน"
"Place Order","สั่งสินค้า"
"Please select a shipping method...","กรุณาเลือกวิธีการจัดส่งสินค้า..."
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Position","ตำแหน่ง"
"Price","ราคา"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Qty","จำนวน"
"Reports","รายงาน"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Sale","ยอดขาย"
"Schedule","กำหนดการ"
"Shipping","การจัดส่ง"
"Shipping Address","ที่อยู่จัดส่ง"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Size","ขนาด"
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับออเดอร์นี้ที่ใช้ได้ขณะนี้"
"Sort Order","การเรียงลำดับ"
"State/Province","จังหวัด"
"Static","สถิติ"
"Street Address","ที่อยู่"
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Subtotal","ผลรวมย่อย"
"Telephone","โทรศัพท์"
"Test Mode","โหมดทดสอบ:"
"Update Shipping Method","อัพเดทวิธีการจัดส่งสินค้า"
"User","ผู้ใช้"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"View","มุมมอง"
"Void","โมฆะ"
"Website Payments Standard","มาตรฐานการชำระเงินผ่านเว็บไซต์"
"Yes","ใช่"
"Zip/Postal Code","รหัสไปรษณีย์"
