"-- Please Select --","-- โปรดเลือก-"
"Actions","การดำเนินการ"
"All","ทั้งหมด"
"All Product Types","ประเภทสินค้าทั้งหมด"
"Apply","นำไปใช้"
"Big Image","รูปภาพใหญ่"
"Categories","หมวดหมู่"
"Close","ปิด"
"Continue","ดำเนินการต่อ"
"Delete","ลบ"
"Export to:","ส่งออก"
"Frontend Properties","คุณสมบัติ ส่วนหน้า "
"Images","รูปภาพ"
"Next page","หน้าถัดไป"
"Open Chooser","เปิดที่เลือก"
"Page","หน้า"
"Previous page","หน้าก่อนหน้า"
"Products","สินค้า"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Select All","เลือกทั้งหมด"
"Select Visible","เลือกให้แสดง"
"Settings","การตั้งค่า"
"Sort Order","การเรียงลำดับ"
"Template","เทมเพลต"
"The information in this tab has been changed.","ข้อมูลในแท็บนี้ถูกเปลี่ยนแปลงแล้ว."
"This tab contains invalid data. Please solve the problem before saving.","แท็บนี้มีข้อมูลที่ไม่ถูกต้อง กรุณาแก้ไขปัญหาก่อนบันทึกข้อมูล."
"Thumbnail","รูปขนาดย่อ"
"Total %d records found","ค้นพบทั้งหมด %d รายการ "
"Type","ชนิด"
"Unselect All","ยกเลิกการเลือกทั้งหมด"
"Unselect Visible","ไม่เลือกให้แสดง"
"View","มุมมอง"
"items selected","รายการที่ีเลือก"
"of %s pages","จาก %s หน้า"
"per page","ต่อหน้า"
