"Action","ดำเนินการ"
"Are you sure you want to delete the selected backup(s)?","คุณแน่ใจว่าต้องการลบ backup(s) ที่เลือกหรือไม่?"
"Backups","การสำรองข้อมูล"
"Create Backup","สร้างการสำรองข้อมูลใหม่"
"Database","ฐานข้อมูล"
"Database Backup","การสำรองข้อมูล ฐานข้อมูล"
"Database and Media","ฐานข้อมูลและสื่อ"
"Database and Media Backup","สำรองข้อมูล ฐานข้อมูลและสื่อ"
"Download","ดาวน์โหลด"
"Enable Scheduled Backup","เปิดการใช้งาน การสำรองข้อมูลล่วงหน้า"
"Frequency","ความถี่"
"Maintenance Mode","โหมดการบำรุงรักษา"
"Name","ชื่อ"
"Rollback","เรียกคืนค่าย้อนกลับ"
"Start Time","วันที่เริ่มต้น"
"System","ระบบ"
"System (excluding Media)","ระบบ (ไม่รวม สื่อ)"
"System Backup","สำรองข้อมูลระบบ"
"Time","เวลา"
"Type","ชนิด"
