"Alert Email Sender","ผู้ส่งอีเมล์แจ้งเตือน"
"Click here not to receive alerts for this product","คลิ๊กที่นี่เพื่อที่จะไม่รับการแจ้งเตือนสำหรับสินค้านี้"
"Error Email Recipient","ข้อผิดพลาดของผู้รับอีเมลล์"
"Error Email Sender","ข้อผิดพลาดผู้ส่งอีเมลล์"
"Error Email Template","ข้อผิดพลาดในเทมเพลตอีเมลล์"
"Frequency","ความถี่"
"Price:","ราคา:"
"Product Alerts","แจ้งเตือนสินค้า"
"Product Alerts Run Settings","ตั้งค่าการแจ้งเตือนสินค้า"
"Product alerts Cron error","แจ้งเตือนสินค้า Cron ผิดพลาด"
"Product price alert","การแจ้งเตือนราคาสินค้า"
"Product stock alert","การแจ้งเตือนสต๊อกสินค้า"
"Regular Price:","ราคาปกติ:"
"Sign up for price alert","สมัครการแจ้งเตือนราคา"
"Sign up to get notified when this product is back in stock","สมัครเพื่อรับข้อมูลแจ้งเมื่อสินค้านี้กลับมามีในคลังสินค้า"
"Special price:","ราคาพิเศษ:"
"Start Time","วันที่เริ่มต้น"
"Unsubscribe from all price alerts","ยกเลิกการสมัครการแจ้งเตือนราคาทั้งหมด"
"Unsubscribe from all stock alerts","ยกเลิกการสมัครการแจ้งเตือนคลังสินค้าทั้งหมด"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","คุณได้รับการแจ้งเตือนนี้เนื่องจากคุณได้สมัครการรับข้อมูลแจ้งเตือนเมื่อสินค้าดังต่อไปนี้กลับเข้ามามีในคลังสินค้า:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","คุณได้รับการแจ้งเตือนนี้เนื่องจากคุณได้สมัครการรับข้อมูลแจ้งเตือนเมื่อราคาสำหรับสินค้าเปลี่ยน :"
