"# of Items (and above)","# ของรายการสินค้า (และมากกว่า)"
"# of Items vs. Destination","# ของรายการสินค้ากับปลายทาง"
"Calculate Handling Fee","ควบคุมการคำนวนค่าธรรมเนียม"
"Carrier:","ผู้ขนส่ง:"
"City","เมือง"
"Close Window","ปิดหน้าต่าง"
"Condition","เงื่อนไข"
"Country","ประเทศ"
"Custom Value","ค่าที่กำหนดเอง"
"Date","วันที่"
"Delivered on:","ส่งเมื่อ:"
"Delivered to:","ส่งไปยัง:"
"Description","รายละเอียด"
"Displayed Error Message","แสดงข้อความความผิดพลาด"
"Enabled","เปิดใช้งาน"
"Error:","ความผิดพลาด:"
"Export","ส่งออก"
"Fixed","คงที่"
"Flat Rate","อัตราเดี่ยวกันหมด"
"Handling Fee","ค่าธรรมเนียมจัดการ"
"Import","นำเข้า"
"Info:","ข้อมูล:"
"Invalid Table Rate code for type %s: %s","โค้ดตารางอัตราไม่ถูกต้องสำหรับประเภท %s: %s"
"Invalid Table Rate code type: %s","ประเภทโค้ดตารางอัตราไม่ถูกต้อง: %s"
"Invalid Table Rates File Format","รูปแบบไฟล์ตารางอัตราไม่ถูกต้อง"
"Local Time","เวลาพื้นที่"
"Location","สถานที่"
"N/A","ยังไม่มีรายการ"
"None","ไม่มี"
"Options","ตัวเลือก"
"Order Subtotal (and above)","ออเดอร์รวม (และมากกว่า)"
"Origin","จุดเริ่มต้น"
"Per Order","ต่อคำสั่งซื้อ"
"Per Package","ต่อแพ็คเกจ"
"Percent","เปอร์เซนต์"
"Price","ราคา"
"Price vs. Destination","ราคากับปลายทาง"
"Region/State","ภูมิภาค/รัฐ"
"Service Type:","ประเภทบริการ:"
"Shipment #","การส่งสินค้า #"
"Shipped or billed on:","จัดส่งสินค้าหรือออกใบแจ้งหนี้เมื่อ:"
"Shipping Methods","วิธีการจัดส่ง"
"Shipping Settings","ตั้งค่าการส่งสินค้า"
"Signed by:","เซ็นโดย:"
"Sort Order","การเรียงลำดับ"
"Status:","สถานะ:"
"Store Pickup","เก็บสินค้าขึ้นร้าน"
"Street Address","ที่อยู่"
"Street Address Line 2","ที่อยู่ เพิ่มเติม"
"There is no tracking available for this shipment.","ไม่มีการติดตามสินค้าที่ใช้ได้สำหรับการส่งสินค้านี้"
"There is no tracking available.","ไม่มีการติดตามที่ใช้ได้"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","ไม่สามารถส่งสินค้าด้วยวิธีนี้ได้ในขณะนี้. ถ้าคุณต้องการส่งสินค้าด้วยวิธีนี้, กรุณาติดต่อเรา."
"Track:","แทร็ค:"
"Tracking Number:","หมายเลขแทร็ค:"
"Tracking information is currently not available. Please ","ข้อมูลการติดตามยังไม่สามารถใช้งานได้ กรุณา "
"Tracking information is currently unavailable.","ข้อมูลการติดตามยังไม่สามารถใช้งานได้."
"Type","ชนิด"
"Weight (and above)","น้ำหนัก (และมากกว่า)"
"Weight vs. Destination","น้ำหนักกับปลายทาง"
"Weight:","น้ำหนัก:"
"ZIP/Postal Code","รหัสไปรษณีย์"
"contact us","ติดต่อเรา"
