"%s Item(s)","%s รายการ(s)"
"(Shift-)Click or drag to change value","(กด Shift-) คลิกและลากเพื่อเปลี่ยนค่า"
"(ver. %s)","(เวอร์ชั่น. %s)"
"- Click on any of the time parts to increase it","- คลิกที่ช่วงเวลาที่ต้องการเพิ่มเวลาขึ้น"
"- Hold mouse button on any of the above buttons for faster selection.","- กดเมาส์ค้างไว้ที่ปุ่มกดใดก็ได้ด้านบนเพื่อทำการเลือกได้อย่างรวดเร็วขึ้น"
"- Use the %s buttons to select month","- ใช้ปุ่มกด %s เพื่อเลือกเดือน"
"- Use the %s, %s buttons to select year","- ใช้ปุ่มกด %s เพื่อเลือกปี"
"- or Shift-click to decrease it","หรือกด Shift-แล้วคลิกค้างเพื่อลดจำนวนลง"
"- or click and drag for faster selection.","- หรือคลิกแล้วลากเพื่อทำการเลือกอย่างรวดเร็ว"
"-- Please Select --","-- โปรดเลือก-"
"About the calendar","เกี่ยวกับปฏิทิน"
"Close","ปิด"
"Close Window","ปิดหน้าต่าง"
"DHTML Date/Time Selector","ตัวเลือก วันที่/เวลา แบบ DHTML"
"Date selection:","เลือกวันที่:"
"Display %s first","แสดง %s ก่อน"
"Distributed under GNU LGPL. See %s for details.","แจกจ่ายภายใต้สัญญาอนุญาติสาธารณะทั่วไปกินู LGP อ่าน %s สำหรับรายละเอียดเพิ่มเติม."
"Drag to move","คลิกลากเพื่อย้ายตำแหน่ง"
"Empty","ว่างเปล่า"
"For latest version visit: %s","สำหรับรุ่นล่าสุดกรุณาเยี่ยมชมที่: %s"
"Go Today","ไปที่ วันนี้"
"Help Us to Keep Magento Healthy","ช่วยกันทำให้ Magento สมบูรณ์"
"Interface Language","ภาษาที่ใช้"
"Items %s to %s of %s total","รายการที่ %s ถึง %s จากทั้งหมด %s "
"Left Column","คอลัมน์ซ้าย"
"Next","ถัดไป"
"Page:","หน้า:"
"Prev. month (hold for menu)","เดือนก่อน (กดค้างที่เมนู)"
"Prev. year (hold for menu)","ปีก่อนหน้า (กดค้างไว้ที่เมนู)"
"Previous","ก่อนหน้านี้"
"Report All Bugs","รายงานบั๊คทั้งหมด"
"Right Column","คอลัมน์ด้านขวา"
"Search","ค้นหา"
"Select Store","เลือกร้านค้า"
"Select date","เลือกวันที่"
"Show","แสดง"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","นี่เป็นเพียงร้านค้าตัวอย่าง ออเดอร์ใด ๆ ที่ถูกสั่งผ่านร้านค้านี้จะไม่มีการดำเนินการต่อจนเสร็จ"
"Time selection:","ส่วนจัดการเกี่ยวกับเวลา"
"Time:","เวลา"
"View All","ดูทั้งหมด"
"Welcome, %s!","ยินดีต้อนรับ  %s!"
"Your Language","ภาษาของคุณ"
"per page","ต่อหน้า"
