"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Admin","ผู้ดูแลระบบ"
"Close","ปิด"
"Created At","สร้า้งเมื่อ"
"Customer","ลูกค้า"
"Delete","ลบ"
"Disable","ปิดการใช้งาน"
"Disabled","ปิดการใช้งาน"
"Edit","แก้ไข"
"Email","อีเมล"
"Email Address","อีเมล"
"Enable","เปิดใช้งาน"
"Enabled","เปิดใช้งาน"
"ID","ไอดี"
"Log In","เข้าสู่ระบบ"
"Login","เข้าสู่ระบบ"
"Name","ชื่อ"
"Password","รหัสผ่าน"
"Permissions","สิทธิ์"
"Role Name","ชื่อบทบาท"
"Save","บันทึก"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Status","สถานะ"
"System","ระบบ"
"User ID","รหัสผู้ใช้"
"User Name","ชื่อผู้ใช้"
