"* Select shipping method","* กรุณาเลือกวิธีการขนส่งสินค้า"
"2Day","สองวัน"
"AVS Status: %s","สถานะ AVS: %s"
"Amount: %s","จำนวนเงิน: %s"
"Auto-generated from GoogleCheckout Charge","สร้างโดยอัตโนมัตจากการเรียกเก็บเงินของ GoogleCheckout"
"CC Partial: xxxx-%s","CC บางส่วน: xxxx-%s"
"CID Status: %s","สถานะ CID: %s"
"Cart Discount","ส่วนลดรถเข็น"
"Checkout Image Style","สไตล์รูปสำหรับการ Checkout"
"Continue Shopping URL","ทำการเลือกซื้อสินค้าต่อที่ URL"
"Default price:","ราคาเริ่มต้น:"
"Enable","เปิดใช้งาน"
"Expiration: %s","การสิ้นสุด: %s"
"Express Mail","อีเมลล์ด่วน"
"Express Saver","ช่วยเหลือด่วน"
"Financial: %s -> %s","การเงิน: %s -> %s"
"Fulfillment: %s -> %s","ที่สำเร็จ: %s -> %s"
"Google Charge:","Google เรียกเก็บ:"
"Google Checkout Shipping - Carrier Calculated","การส่งของ Google Checkout - ผู้ขนส่งคำนวณราคา"
"Google Checkout Shipping - Flat Rate","การส่งของ Google Checkout - อัตราคงที่"
"Google Checkout Shipping - Merchant Calculated","การส่งของ Google Checkout - ผู้ขายคำนวณราคา"
"Google Order Number: %s","เลขที่ออเดอร์ของ Google: %s"
"Google Refund:","การคืนเงินของ Google:"
"Google Risk Information:","ข้อมูล Google Risk:"
"Home Delivery","จัดส่งถึงบ้าน"
"Latest Charge: %s","การเรียกเก็บเงินล่าสุด: %s"
"Latest Refund: %s","การคืนเงินล่าสุด: %s"
"Location","สถานที่"
"Media Mail","จดหมายแบบมีเดีย"
"Merchant ID","ID ร้านค้า"
"No","ไม่"
"Optional, leave empty for home page.","เป็นตัวเลือก ปล่อยว่างไว้สำหรับหน้าแรก"
"Parcel Post","พัสดุไปรษณีย์"
"Priority Overnight","สิทธิพิเศษตลอดทั้งคืน"
"Standard Overnight","มาตรฐานตลอดคืน"
"Total Charged: %s","ราคาทั้งหมดที่เรียกเก็บ: %s"
"Total Refunded: %s","คืนเงินแล้วทั้งหมด: %s"
"Yes","ใช่"
