"-- Please Select --","-- โปรดเลือก-"
"Add Store Code to Urls","เพิ่มรหัสร้านค้าไปที่ Urls"
"Admin","ผู้ดูแลระบบ"
"Advanced","ขั้นสูง"
"Allowed IPs (comma separated)","IP ที่อนุญาต (แยกด้วยจุลภาค)"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Back","ย้อนกลับ"
"Backup Options","ตัวเลือกการสำรองข้อมูล"
"Block with name ""%s"" already exists","บล็อคชื่อ ""%s"" มีอยู่แล้ว"
"Cache Storage Management","การจัดการที่เก็บแคช"
"Can't retrieve request object","ไม่สามารถคืนความต้องการของ object"
"Can't retrieve entity config: %s","ไม่สามารถเรียกคืน entity config: %s"
"Cancel","ยกเลิก"
"Code","รหัส"
"Controller file was loaded but class does not exist","ไฟล์ ควบคุม ถูกโหลดแล้วแต่ไม่มีคลาส"
"Cookie Lifetime","ระยะเวลาของ Cookie"
"Country","ประเทศ"
"Create Store","สร้างร้านค้า"
"Create Store View","สร้างมุมมองร้านค้า"
"Create Website","สร้างเว็บไซต์"
"Custom Design","แบบกำหนดเอง"
"Dashboard","แดชบอร์ด"
"Date From","วันที่เริ่มต้น"
"Date To","ถึงวันที่"
"Default","ค่าเริ่มต้น"
"Default Country","ประเทศ ค่าตั้งต้น"
"Default Pages","หน้าเริ่มต้น"
"Default Store","ร้านค้าเริ่มต้น"
"Default Store View","มุมมองร้านค้าเริ่มต้น"
"Default Title","ชื่อที่ใช้เริ่มต้น"
"Default Web URL","URL ของเว็บเริ่มต้น"
"Delete","ลบ"
"Delete Store","ลบ ร้านค้า"
"Delete Store View","ลบ มุมมองร้านค้า"
"Delete Website","ลบเว็บไซต์"
"Design","การออกแบบ"
"Design Change","เปลี่ยนแปลงดีไซน์"
"Developer","นักพัฒนา"
"Developer Client Restrictions","ข้อกำหนดส่วน Client ของผู้พัฒนา"
"Disable Email Communications","ปิดใช้งาน Email Communications"
"Edit Design Change","แก้ไขการเปลี่ยนแปลงดีไซน์"
"Edit Store","แก้ไข ร้านค้า"
"Edit Store View","แก้ไข มุมมอง ร้านค้า"
"Edit Website","แก้ไขเว็บไซต์"
"Empty identifier field name","ทำชื่อฟิลด์ Identifier ให้ว่าง"
"Empty main table name","ทำชื่อตารางหลักให้ว่าง"
"Enable Charts","เปิดใช้งาน Charts"
"Enabled","เปิดใช้งาน"
"Enabled for Admin","เปิดการใช้งานสำหรับผู้ดูแลระบบ"
"Enabled for Frontend","เปิดการใช้งานสำหรับส่วนหน้า"
"Error in file: ""%s"" - %s","ผิดพลาดในไฟล์: ""%s"" - %s"
"European Union Countries","ประเทศ สหภาพยุโรป"
"First Day of Week","วันแรกของสัปดาห์"
"Flush Cache Storage","ล้างที่เก็บแคช"
"Flush OpenMage Cache","ล้างแคชของ OpenMage"
"Footer","ส่วนท้าย"
"Forgot Password Email Sender","ลืมรหัสผ่านส่งอีเมลล์ผู้ส่ง"
"Forgot Password Email Template","ลืมรหัสผ่านส่งอีเมลล์เทมเพลต"
"General","ทั่วไป"
"General Settings","การตั้งค่าทั่วไป"
"Global","ตั้งค่าระบบหลัก"
"Header","ส่วนหัว"
"Host","โฮสต์"
"How many links to display at once.","จำนวนลิ้งก์ ที่แสดงใน 1 ครั้ง"
"Invalid base url type","ประเภท Urlพื้นฐานไม่ถูกต้อง"
"Invalid block type: %s","ประเภท block ไม่ถูกต้อง: %s"
"Invalid block: %s","Block ไม่ถูกต้อง: %s"
"Invalid layout update handle","การจัดการอัพเดท layout ไม่ถูกต้อง"
"Layout","แผนผัง"
"Locale","สถานที่"
"Login is Case Sensitive","ชื่อผู่ใช้ ระวังตัวพิมพ์เล็ก พิมพ์ใหญ่"
"Mail Sending Settings","ตั้งค่าการส่งเมล"
"Name","ชื่อ"
"New Design Change","การเปลี่ยนแปลงดีไซน์ใหม่"
"New Store","สร้าง ร้านค้า ใหม่"
"New Store View","สร้าง มุมมองร้านค้าใหม่"
"New Website","เว็บไซต์ใหม่"
"No","ไม่"
"Package","แพ็คเกจ"
"Pagination","เลขหน้า"
"Pagination Frame","เฟรมการแบ่งตัวเลขหน้า"
