"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"--Please Select--","--กรุณาเลือก--"
"<label>Make Check payable to:</label> %s","<label>สั่งจ่ายเช็คในชื่อ:</label> %s"
"Card Verification Number","รหัสยืนยันของบัตร"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Card Types","ประเภทบัตรเครดิต"
"Currency","สกุลเงิน"
"Day","วัน"
"Enabled","เปิดใช้งาน"
"Expiration Date","วันหมดอายุ"
"Expiration Date: %s/%s","วันหมดอายุ: %s/%s"
"Incorrect credit card expiration date.","วันหมดอายุบัตรเครดิตไม่ถูกต้อง"
"Issue Number","จำนวนที่ส่งออกไป"
"Make Check payable to: %s","สั่งจ่ายเช็คในชื่อ: %s"
"Merchant ID","ID ร้านค้า"
"Month","เดือน"
"N/A","ยังไม่มีรายการ"
"Name on Card","ชื่อบนบัตร"
"Name on the Card: %s","ชื่อที่ปรากฏบนบัตร: %s"
"Password","รหัสผ่าน"
"Payment Method","วิธีการชำระเงิน"
"Payment Methods","วิธีการชำระเงิน"
"Please enter a valid credit card verification number.","โปรดป้อนหมายเลขยืนยันบัตรเครดิตที่ถูกต้อง"
"Purchase Order Number","จำนวนในการจัดซื้อ"
"Purchase Order Number: %s","จำนวนในการจัดซื้อ: %s"
"Saved CC","CC ที่บันทึกแล้ว"
"Send Check to","ส่งเช็คไปยัง"
"Send Check to:","ส่งเช็คไปยัง:"
"Shipping Amount","จำนวนเงินค่าขนส่ง"
"Sort Order","การเรียงลำดับ"
"Start Date","วันที่เริ่มต้น"
"Tax Amount","จำนวนภาษี"
"Test Mode","โหมดทดสอบ:"
"What is this?","นี่คืออะไร?"
"Year","ปี"
"Zero Subtotal Checkout","แจ้งออกด้วยการมียอดรวมเป็น 0"
