"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"ALL GROUPS","กลุ่มทั้งหมด"
"Account Dashboard","แผงควบคุมบัญชีผู้ใช้"
"Account Information","ข้อมูลบัญชี"
"Account Sharing Options","ตัวเลือกการใช้บัญชีร่วม"
"Action","ดำเนินการ"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add New Customer","เพิ่มลูกค้าใหม่"
"Add New Customer Group","เพิ่มกลุ่มลูกค้า"
"Added From","เพิ่มจาก"
"Additional Address Entries","รายการที่อยู่เพิ่มเติม"
"Address","ที่อยู่"
"Address Book","ข้อมูลที่อยู่จัดส่งสินค้า"
"Address Information","ข้อมูลที่อยู่"
"Addresses","ที่อยู่"
"Admin","ผู้ดูแลระบบ"
"All","ทั้งหมด"
"All Store Views","มุมมองร้านค้าทั้งหมด"
"All countries","ทุกประเทศ"
"Approved","อนุมัติ"
"Are you sure that you want to remove this item?","คุณแน่ใจว่าต้องการลบรายการสินค้านี้ออก?"
"Are you sure you want to cancel adding of this address?","คุณแน่ใจว่าต้องการยกเลิกการเพิ่มที่อยู่นี้?"
"Are you sure you want to delete this address?","คุณแน่ใจว่าต้องการลบที่อยู่นี้?"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Average Sale","ยอดขายเฉลี่ย"
"Back","ย้อนกลับ"
"Back to Login","กลับไปหน้าลงทะเบียน"
"Bought From","ซื้อมาจาก"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","เมื่อคุณสร้างบัญชีผู้ใช้กับร้านของเรา คุณจะสามารถใช้บริการขั้นตอน Checkout ได้รวดเร็วขึ้น เก็บข้อมูลที่อยู่สำหรับจัดส่งสินค้าได้หลายที่อยู่ เรียกดูและติดตามออเดอร์ของคุณผ่านบัญชีผู้ใช้ของคุณรวมไปถึงได้สิทธิพิเศษอีกมากมาย."
"CSV","ไฟล์ CSV"
"Cancel","ยกเลิก"
"Change Account Password","เปลี่ยนแปลงรหัสผ่านบัญชีผู้ใช้"
"Change Billing Address","เปลี่ยนที่อยู่สำหรับออกใบเสร็จ"
"Change Password","เปลี่ยนรหัสผ่าน"
"Change Shipping Address","เปลี่ยนที่อยู่สำหรับจัดส่ง"
"City","เมือง"
"Company","บริษัท"
"Config","ตั้งค่า"
"Configure","ตั้งค่า"
"Confirm New Password","ยืนยันรหัสผ่านใหม่"
"Confirm Password","ยืนยันรหัสผ่าน"
"Confirmed","ยืนยัน"
"Contact Information","ข้อมูลติดต่อ"
"Continue Shopping","ช้อปปิ้งต่อ"
"Country","ประเทศ"
"Create","สร้าง"
"Create New Account Options","สร้างตัวเลือกบัญชีผู้ใช้ใหม่"
"Create New Customer Account","สร้างบัญชีลูกค้าใหม่"
"Create Order","สร้างคำสั่งซื้อ"
"Create an Account","สร้างบัญชี"
"Current Password","รหัสผ่านปัจจุบัน"
"Customer","ลูกค้า"
"Customer Addresses","ที่อยู่ลูกค้า"
"Customer Configuration","การตั้งค่าลูกค้า"
"Customer Group","กลุ่มลูกค้า"
"Customer Groups","กลุ่มลูกค้า"
"Customer Information","ข้อมูลลูกค้า"
"Customer Login","เข้าสู่ระบบ สำหรับลูกค้า"
"Customer Since","เป็นลูกค้าตั้งแต่"
"Customer View","มุมมองลูกค้า"
"Customers","ลูกค้า"
"Customers Only","เฉพาะลูกค้าเท่านั้น"
"Date","วันที่"
"Date Added","วันที่เพิ่ม:"
"Date of Birth","วันเกิด"
"Day","วัน"
"Days in Wishlist","วันใน Wishlist"
"Default Addresses","ที่อยู่หลัก"
"Default Billing Address","ที่อยู่หลักสำหรับออกใบเสร็จ"
"Default Email Domain","โดเมนอีเมล์เริ่มต้น"
"Default Group","กลุ่มเริ่มต้น"
"Default Shipping Address","ที่อยู่หลักสำหรับจัดส่ง"
"Delete","ลบ"
"Delete Address","ลบที่อยู่"
"Delete Customer","ลบลูกค้า"
"Delete Customer Group","ลบกลุ่มลูกค้า"
"Deleted Stores","ร้านค้าที่ถูกลบ"
"Details","รายละเอียด"
"Disabled","ปิดการใช้งาน"
"Edit","แก้ไข"
"Edit Account Information","แก้ไขข้อมูลบัญชีผู้ใช้"
"Edit Address","แก้ไขที่อยู่จัดส่งสินค้า"
"Edit Address Entry","แก้ไขรายการที่อยู่"
"Edit Customer Group ""%s""","แกไขกลุ่มลูกค้า ""%s"""
"Edit Customer Groups","แก้ไขกลุ่มลูกค้า"
"Edit Customer's Address","แก้ไขที่อยู๋ลูกค้า"
"Edit Group","แก้ไขกลุ่ม"
"Edit Newsletters","แก้ไขจดหมายข่าว"
"Email","อีเมล"
"Email Address","อีเมล"
"Email Sender","ผู้ส่งอีเมล"
"Email:","อีเมล:"
"Fax","โทรสาร"
"First Name","ชื่อ"
"Forgot Email Template","ลืมเทมเพลตอีเมล์"
"Forgot Your Password?","ลืมรหัสผ่าน?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","จาก แผงควบคุมบัญชี ของคุณ คุณสามารถเลือกดูและแก้ไขข้อมูลกิจกรรมของคุณที่คุณพึ่งทำกับ บัญชี ของคุณ. โดยเลือกลิงค์ข้างล่าง มุมมอง หรือ แก้ไขข้อมูล"
"General Subscription","สมัครรับข่าวสาร"
"Global","ตั้งค่าระบบหลัก"
"Group","กลุ่ม"
"Group Information","ข้อมูลกลุ่ม"
"Group Name","ชื่อกลุ่ม"
"Guest","ผู้ใช้ทั่วไป"
"Hello, %s!","สวัสดี %s!"
"ID","ไอดี"
"IP Address","เลขไอพีเครื่อง"
"If you have an account with us, please log in.","ถ้าหากคุณมีบัญชีผู้ใช้กับเรา กรุณาเข้าสู่ระบบ"
"Invalid current password","รหัสผ่านปัจจุบันไม่ถูกต้อง"
"Invalid customer data","ข้อมูลลูกค้าไม่ถูกต้อง"
"Invalid login or password.","ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง"
"Last Activity","กิจกรรมล่าสุด"
"Last Date Subscribed","วันที่สมัครครั้งล่าสุด"
"Last Date Unsubscribed","วันที่ยกเลิกสมัครครั้งล่าสุด"
"Last Name","นามสกุล"
"Lifetime Sales","ยอดขายตลอดการใช้งาน"
"Log In","เข้าสู่ระบบ"
"Log Out","ออกจากระบบ"
"Login","เข้าสู่ระบบ"
"Login Information","ข้อมูลการเข้าสู่ระบบ"
"Login or Create an Account","เข้าสู่ระบบหรือสร้างบัญชีผู้ใช้"
"MM","เดือน"
"Manage Addresses","จัดการที่อยู่"
"Manage Customers","จัดการลูกค้า"
"Month","เดือน"
"My Account","บัญชีของฉัน"
"My Dashboard","แผงควบคุมของฉัน"
"My Orders","คำสั่งซื้อของฉัน"
"Name","ชื่อ"
"Never","ไม่เคย"
"New Address","ที่อยู่ใหม่"
"New Address Entry","รายการที่อยู่ใหม่"
