"Action","ดำเนินการ"
"Add New Block","เพิ่ม Block ใหม่"
"Add New Page","เพิ่มหน้าใหม่"
"All Countries","ทุกประเทศ"
"Block Information","บล็อคข้อมูล"
"Block Title","หัวข้อ"
"CMS Home Page","หน้าหลัก CMS"
"CMS No Route Page","CMS ไม่มีหน้า Route"
"Content","เนื้อหา"
"Custom Design","แบบกำหนดเอง"
"Custom Theme","ปรับปรุงธีม"
"Customer Tax Class Information","ข้อมูลคลาสภาษีของลูกค้า"
"Date Created","สร้างขึ้นเมื่อวันที่"
"Delete Block","ลบ Block"
"Delete File","ลบไฟล์"
"Delete Page","ลบหน้า"
"Description","รายละเอียด"
"Design","การออกแบบ"
"Disabled","ปิดการใช้งาน"
"Edit Block","แก้ไข Block"
"Edit Block '%s'","แก้ไข Block '%s'"
"Edit Page","แก้ไขหน้า"
"Edit Page '%s'","แก้ไขหน้า '%s'"
"Enabled","เปิดใช้งาน"
"General Information","ข้อมูลทั่วไป"
"Go to Home Page","ไปยังหน้าหลัก"
"Home","หน้าหลัก"
"ID","ไอดี"
"Identifier","ยืนยัน"
"Keywords","คำสำคัญ"
"Last Modified","แก้ไขล่าสุด"
"Layout","แผนผัง"
"Layout Update XML","อัพเดทแผนผัง XML"
"Meta Data","ข้อมูล Meta"
"Meta Description","รายละเอียดเมต้า"
"Meta Keywords","เมต้าคีย์เวิร์ด"
"New Block","Block ใหม่"
"New Page","หน้าใหม่"
"Page Information","ข้อมูลหน้าเว็บ"
"Page Status","สถานะหน้าเว็บ"
"Page Title","ชื่อหน้า"
"Product Tax Class Information","ข้อมูลคลาสภาษีของสินค้า"
"Save Block","บันทึก Block"
"Save Page","บันทึกหน้า"
"Static Blocks","Static Block"
"Status","สถานะ"
"Store View","มุมมองร้าน"
"Template","เทมเพลต"
"This block no longer exists.","ไม่มีไฟล์นี้อีกต่อไป"
