"# of Uses","# ของการใช้"
"Action","ดำเนินการ"
"Add","เพิ่มใหม่"
"Add New Tag","เพิ่ม Tag ใหม่"
"Add Tags","เพิ่ม Tags "
"Add Your Tags:","เพิ่ม Tags ของคุณ:"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Add to Wishlist","เพิ่มไปยังรายการโปรด"
"All Tags","Tags ทั้งหมด"
"Approved","อนุมัติ"
"Are you sure you want to delete this tag?","คุณแน่ใจว่าต้องการลบ tag นี้?"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Back","ย้อนกลับ"
"Back to Tags List","กลับไปรายการ Tags"
"Block Information","บล็อคข้อมูล"
"CSV","ไฟล์ CSV"
"Change status","เปลี่ยนแปลงสถานะ"
"Click on a tag to view your corresponding products.","คลิ๊กบน tag เพื่อดูสินค้าที่เกี่ยวข้อง"
"Country","ประเทศ"
"Customer Since","เป็นลูกค้าตั้งแต่"
"Customers","ลูกค้า"
"Customers Tagged '%s'","tag ลูกค้า '%s'"
"Delete","ลบ"
"Delete Tag","ลบ Tag"
"Disabled","ปิดการใช้งาน"
"Edit Tag '%s'","แก้ไข Tag'%s'"
"Email","อีเมล"
"First Name","ชื่อ"
"General Information","ข้อมูลทั่วไป"
"Grid","ตาราง"
"ID","ไอดี"
"Last Name","นามสกุล"
"List","รายการ"
"My Recent Tags","Tags ของฉันล่าสุด"
"My Tags","Tags ของฉัน"
"Name","ชื่อ"
"New Tag","Tag ใหม่"
"No matches found.","ไม่พบที่ตรงกัน"
"Other people marked this product with these tags:","คนอื่นทำเครื่องหมายสินค้านี้ด้วย Tags เหล่านี้:"
"Pending","รอตรวจสอบ"
"Pending Tags","Tags ที่รอตรวจสอบ"
"Popular","ยอดนิยม"
"Popular Tags","Tags ยอดนิยม"
"Price","ราคา"
"Product Name","ชื่อสินค้า"
"Product SKU","SKU สินค้า"
"Product Tags","Tags สินค้า"
"Products","สินค้า"
"Remove","ลบ"
"SKU","รหัสสินค้า"
"Save Tag","บันทึก Tag"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Status","สถานะ"
"Store View","มุมมองร้าน"
"Tag Name","ชื่อ Tag"
"Tags","Tag"
"Tags:","Tag:"
"Telephone","โทรศัพท์"
"Unable to find any products tagged with '%s' in the current store","ไม่สามารถค้นหาสินค้าใดๆที่เกียวกับ tag สินค้า '%s' ในร้านในขณะนี้"
"Unable to remove tag. Please, try again later.","ไม่สามารถลบ tag ออก กรุณาลองใหม่อีกครั้ง"
"Update","อัพเดท"
"Use spaces to separate tags. Use single quotes (') for phrases.","ใช่ช่องว่างแบ่ง tag. ใช้ single quotes (') สำหรับคำพูด."
"View All Tags","ดู tag ทั้งหมด"
"View Customers","ดูลูกค้า"
"View Products","ดูสินค้า"
"You have not tagged any products yet.","คุณยังไม่ได้ tag สินค้าใด ๆ"
"ZIP/Post Code","รหัสไปรษณีย์"
