"Abandoned carts","รถเข็นที่ถูกละทิ้ง"
"Action","ดำเนินการ"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยังรายการโปรด"
"Any","อะไรก็ได้"
"Applied Coupon","คูปองที่ถูกนำไปใช้"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Bestsellers","สินค้าที่ขายดี"
"Bought from wishlists","ซื้อจาก wishlists"
"CSV","ไฟล์ CSV"
"Carts","รถเข็น"
"Coupons","คูปอง"
"Created At","สร้า้งเมื่อ"
"Customer","ลูกค้า"
"Customer Name","ชื่อลูกค้า"
"Customer Tags","Tags ลูกค้า"
"Customers","ลูกค้า"
"Customers Report","รายงานลูกค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Customers Tags","Tags ลูกค้า"
"Customers by number of orders","ลูกค้าตามจำนวนออเดอร์"
"Customers by orders total","ลูกค้าตามออเดอร์ทั้งหมด"
"Customers that have wishlist: %s%","ลูกค้าที่มี Wishlist: %s%"
"Dashboard","แดชบอร์ด"
"Day","วัน"
"Description","รายละเอียด"
"Detail","รายละเอียด"
"Email","อีเมล"
"First Name","ชื่อ"
"From","จาก"
"General","ทั่วไป"
"Guest","ผู้ใช้ทั่วไป"
"Hits","ดู"
"ID","ไอดี"
"IP Address","เลขไอพีเครื่อง"
"Items in Cart","ชิ้นในตะกร้า"
"Last Name","นามสกุล"
"Last Review","บทวิจารณ์ล่าสุด"
"Low stock","สินค้าที่ลดลง"
"Month","เดือน"
"Most Viewed","ถูกเรียกดูมากที่สุด"
"Name","ชื่อ"
"New Accounts","บัญชีใหม่"
"No","ไม่"
"Number Added","จำนวนที่เพิ่ม"
"Number Fulfilled","จำนวนที่ดำเนินการสำเร็จ"
"Number Of Reviews","จำนวนบทวิจารณ์"
"Number Purchased","จำนวนที่ซื้อ"
"Number Viewed","จำนวนที่ดู"
"Number of Items","จำนวนรายการสินค้า"
"Number of New Accounts","จำนวนบัญชีผู้ใช้ใหม่"
"Number of Reviews","จำนวนบทวิจารณ์"
"Number of Total Tags","จำนวนของ Tags ทั้งหมด"
"Number of Unique Tags","จำนวนของ Tags ที่ไม่ซ้ำกัน"
"Number of Views","จำนวนการดู"
"Number of items bought from a wishlist: %s","จำนวนสินค้าที่ซื้อจาก Wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","จำนวนครั้งที่ Wishlists ถูกแบ่งปัน (ด้วยอีเมล์): %s"
"Number of wishlist conversions: %s","จำนวนการแปลงจาก Wishlist: %s"
"Number of wishlist referrals: %s","จำนวนของการอ้างถึง Wishlist: %s"
"Number of wishlists: %s","จำนวนของ Wishlist: %s"
"Order Status","สถานะการสั่งซื้อ"
"Orders","รายการสั่งซื้อ"
"Out of stock","สินค้าหมด"
"Period","ระยะเวลา"
"Poducts Report","รายงานสินค้า"
"Popular Tags","Tags ยอดนิยม"
"Popularity","ความนิยม"
"Price","ราคา"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product SKU","SKU สินค้า"
"Product Tags","Tags สินค้า"
"Products","สินค้า"
"Products Report","รายงานสินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Products Tags","Tag สินค้า"
"Products in carts","สินค้าในรถเข็น"
"Quantity Ordered","จำนวนที่คำสั่งซื้อ"
"Quantity of Items","จำนวนสินค้า"
"Recently Compared Products","สินค้าที่ถูกเปรียบเทียบล่าสุด"
"Recently Viewed","ถูกดูล่าสุด"
"Recently Viewed Products","สินค้าที่ถูกเรียกดูปัจจุบัน"
"Recently Viewed/Compared Products","สินค้าที่ถูกดูและเปรียบเทียบล่าสุด"
"Refunds","คืนเงิน"
"Report","รายงาน"
"Reports","รายงาน"
"Results","ผลลัพธ์"
"Revenue","รายได้"
"Review","รีวิว"
"Reviews","รีวิว"
"Reviews for %s","บทวิจารณ์ สำหรับ %s"
"Sales Report","รายงานยอดขาย"
"Search Query","คำค้นหา"
"Search Terms","คำที่ใช้ค้นหา"
"Shipping","การจัดส่ง"
"Shopping Cart","ตะกร้าสินค้า"
"Shopping Cart Price Rule","ข้อกำหนดราคาในรถเข็น"
"Show for Current","สำหรับแสดงทั่วไป"
"Stock Qty","จำนวนในคลังสินค้า"
"Submitted In","ยืนยัน ใน"
"Submitted On","ยืนยัน เมื่อ"
"Subtotal","ผลรวมย่อย"
"Tag ""%s"" details","Tag ""%s"" รายละเอียด"
"Tag Detail","รายละเอียด Tag"
"Tag Name","ชื่อ Tag"
"Tags submitted to %s","Tags ถูกยืนยันไปที่ %s"
"Tax","ภาษี"
"To","ถึง"
"Total","รวม"
"Total Tags","Tags ทั้งหมด"
"Total invoiced","ออกใบส่งสินค้าทั้งหมด"
"Total refunded","คืนเงินทั้งหมด"
"Updated At","ปรับปรุงเมื่อ"
"Visible In","สามารถเห็นได้ใน"
"Wishlist Report","รายงาน Wishlist "
"Wishlist vs. Regular Order","Wishlist ต่อคำสั่งซื้อปกติ"
"Wishlists","Wishlist"
"Year","ปี"
"Yes","ใช่"
"Your Recently Compared","การเปรียบเทียบของคุณล่าสุด"
"Your Recently Viewed","การดูของคุณล่าสุด"
