" Copy","คัดลอก"
"Action","ดำเนินการ"
"Add New Template","เพิ่มเทมเพลตใหม่"
"Add to Queue","เพิ่มลงในคิว"
"Are you sure that you want to delete this template?","คุณแนว่าต้องการลบเทมเพลตนี้?"
"Are you sure that you want to strip all tags?","คุณแน่ใจว่าต้องการปลด tags ออกทั้งหมด?"
"Back","ย้อนกลับ"
"Cancel","ยกเลิก"
"Cancelled","ยกเลิกแล้ว"
"Confirmation Email Sender","ผู้ส่งอีเมลล์ยืนยัน"
"Confirmation Email Template","เทมเพลตอีเมลล์ยืนยัน"
"Convert to Plain Text","เปลี่ยนเป็นข้อความธรรมดา"
"Create Newsletter Template","สร้างเทมเพลตจดหมายข่าว"
"Customer","ลูกค้า"
"Date Added","วันที่เพิ่ม:"
"Date Updated","วันที่ปรับปรุง"
"Delete","ลบ"
"Delete Selected Problems","ลบปัญหาที่เลือก"
"Delete Template","ลบเทมเพลต"
"Do you really want to cancel the queue?","คุณแน่ใจว่าต้องการยกเลิกคิว?"
"Edit Newsletter","แก้ไขจดหมายข่าว"
"Edit Newsletter Template","แก้ไขเทมเพลตจดหมายข่าว"
"Edit Queue","แก้ไขคิว"
"Edit Template","แก้ไขเทมเพลต"
"Email","อีเมล"
"Enter your email address","ใส่อีเมลของคุณ"
"Error Code","โค้ดความผิดพลาด"
"Error Text","ข้อความการผิดพลาด"
"Guest","ผู้ใช้ทั่วไป"
"ID","ไอดี"
"Message","ข้อ​ความ"
"Need to Confirm","ต้องทำการยืนยัน"
"New Newsletter Template","เทมเพลตจดหมายข่าวใหม่"
"New Template","เทมเพลตใหม่"
"Newsletter","จดหมายข่าว"
"Newsletter Message Preview","ดูตัวอย่างข้อความจดหมายข่าว"
"Newsletter Problem Reports","รายงานปัญหาจดหมายข่าว"
"Newsletter Queue","คิวจดหมายข่าว"
"Newsletter Subscribers","ผู้สมัครสมาชิกจดหมายข่าว"
"Newsletter Subscription","การสมัครสมาชิกจดหมายข่าว"
"Newsletter Subscriptions","การสมัครรับจดหมายข่าว"
"Newsletter Templates","เทมเพลตจดหมายข่าว"
"Newsletter subscription confirmation","การยืนยันการสมัครจดหมายข่าว"
"Newsletter subscription success","การสมัครสมาชิกจดหมายข่าวสำเร็จแล้ว"
"Newsletter unsubscription success","ยกเลิกการเป็นสมาชิกจดหมายข่าวสำเร็จแล้ว"
"No Templates Found","ไม่พบเทมเพลต"
"Not Sent","ไม่ส่ง"
"Pause","หยุดชั่วคราว"
"Paused","ถูกหยุดชั่วคราว"
"Please enter a valid email address.","กรุณาใส่อีเมลที่ถูกต้อง"
"Please enter new template name","กรุณาใส่ชื่อเทมเพลตใหม่"
"Please select subscriber(s)","กรุณาเลือกผู้สมัครสมาชิก"
"Preview","แสดงตัวอย่าง"
"Preview Template","แสดงตัวอย่างเทมเพลต"
"Processed","ดำเนินการแล้ว"
"Queue Date Start","วันที่เริ่มคิว"
"Queue Finish","คิวสิ้นสุด"
"Queue Information","ข้อมูลการคิว"
"Queue Start","เริ่มคิว"
"Queue Subject","หัวข้อที่คิว"
"Recipients","ผู้รับ"
"Reset","รีเซ็ต"
"Resume","เริ่่มต้นใหม่"
"Save As","บันทึกเป็น"
"Save Newsletter","บันทึกจดหมายข่าว"
"Save Template","บันทึกเทมเพลต"
"Sender","ผู้ส่ง"
"Sender Email","Email ผู้ส่ง"
"Sender Name","ชื่อผู้ส่ง"
"Sending","กำลังส่ง..."
"Sent","ส่งแล้ว"
"Sign Up for Our Newsletter:","ลงทะเบียนเพื่อรับจดหมายข่าวของเรา:"
"Sign up for our newsletter","สมัครสมาชิกจดหมายข่าวของเรา"
"Start","เริ่มต้น"
"Status","สถานะ"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Subject","หัวข้อ"
"Submit","ส่ง"
"Subscribe","สมัครสมาชิก"
"Subscriber","ผู้สมัครสมาชิก"
"Subscribers","ผู้สมัครสมาชิก"
"Subscribers From","ผู้สมัครสมาชิกจาก"
"Subscription Options","ตัวเลือกการสมัครสมาชิก"
"Success Email Sender","ส่งอีเมล์สำเร็จ"
"Success Email Template","เทมเพลตอีเมล์สำเร็จ"
"Template Content","เนื้อหาเทมเพลต"
"Template Information","ข้อมูลเทมเพลต"
"Template Name","ชื่อเทมเพลต"
"Template Subject","หัวข้อเทมเพลต"
"Template Type","ประเภทของเทมเพลต"
"There was a problem with the subscription: %s","พบปัญหากับการสมัครสมาชิก: %s"
"There was a problem with the un-subscription.","มีปัญหาเกี่ยวกับการยกเลิกการเป็นสมาชิก."
"Type","ชนิด"
"Unsubscribe","ยกเลิกการเป็นสมาชิก"
"Unsubscribe Selected","ยกเลิกการเป็นสมาชิกของที่เลือก"
"Unsubscription Email Sender","ผู้ส่งอีเมล์ยกเลิกการสมัครสมาชิก"
"Unsubscription Email Template","เทมเพลตอีเมล์ยกเลิกการเป็นสมาชิก"
"View Newsletter","ดูจดหมายข่าว"
"Website","เว็บไซต์"
