"Add","เพิ่มใหม่"
"Add New Row","เพิ่มแถวใหม่"
"Availability:","สถานะสินค้า:"
"Back","ย้อนกลับ"
"Date","วันที่"
"Delete","ลบ"
"Edit","แก้ไข"
"Edit item parameters","แก้ไข item parameters"
"Excl. Tax","ไม่รวมภาษี"
"File","ไฟล์"
"From:","จาก:"
"Gift Message","ข้อความสำหรับของขวัญ"
"In stock","มีสินค้า"
"Incl. Tax","รวมภาษี"
"List","รายการ"
"Message:","ข้อ​ความ:"
"My Downloadable Products","สินค้าที่ดาวน์โหลดได้ของฉัน"
"Order #","รายการสั่งซื้อ #"
"Out of stock","สินค้าหมด"
"Pending","รอตรวจสอบ"
"Price","ราคา"
"Qty","จำนวน"
"Refunded","คืนเงินแล้ว"
"Remove","ลบ"
"Remove Item","ลบรายการสินค้าออก"
"SKU","รหัสสินค้า"
"See price before order confirmation.","โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ"
"Sort Order","การเรียงลำดับ"
"Status","สถานะ"
"Subtotal","ผลรวมย่อย"
"To:","ถึง:"
"Update","อัพเดท"
"Use Default Value","ใช้ค่าเริ่มต้น"
"View Order","ดู รายการสั่งซื้อ"
"What's this?","นี่คืออะไร?"
"You have not purchased any downloadable products yet.","คุณยังไม่ได้ซื้อสินค้าที่ดาวน์โหลดได้"
