"Add Option","เพิ่มตัวเลือก"
"Attempt to add an invalid object","พยายามเพิ่มวัตถุที่ไม่ถูกต้อง"
"Attribute Code","รหัสแอตทริบิวต์"
"Attribute Label","ป้ายคุณลักษณะ"
"Attribute Properties","คุณสมบัติของคุณลักษณะ"
"Attribute with the same code","คุณลักษณะที่มีโค้ดเดียวกัน"
"Catalog Input Type for Store Owner","ประเภทการนำเข้าข้อมูลจากรายการสินค้าสำหรับเจ้าของร้าน"
"Data integrity: No header row found for attribute","ความสมบูรณ์ของข้อมูล: ไม่พบหัวแถวสำหรับคุณลักษณะ"
"Date","วันที่"
"Decimal Number","จำนวนทศนิยม"
"Default Value","ค่าพื้นฐาน"
"Default option value is not defined","ยังไม่ได้กำหนดค่าเริ่มต้นของตัวเลือก"
"Delete","ลบ"
"Dropdown","ดรอปดาวน์"
"Email","อีเมล"
"Entity is not initialized","ยังไม่ได้เริ่มต้นทำงาน Entity "
"Frontend label is not defined","ป้ายของส่วนหน้า ยังไม่ถูกกำหนด"
"Input Validation for Store Owner","การตรวจสอบความถูกต้องของข้อมูลที่นำเข้าสำหรับเจ้าของร้าน"
"Integer Number","เลขจำนวนเต็ม"
"Invalid attribute name: %s","ชื่อคุณลักษณะไม่ถูกต้อง: %s"
"Invalid attribute requested: %s","การร้องขอคุณลักษณะไม่ถูกต้อง: %s"
"Invalid attribute type","ประเภทคุณลักษณะไม่ถูกต้อง"
"Invalid character encountered in increment ID: %s","ตัวอักษรที่พบในรหัสที่เพิ่มขึ้นไม่ถูกต้อง: %s"
"Invalid entity specified","Entity ที่ถูกระบุไม่ถูกต้อง"
"Invalid entity supplied: %s","การป้อนข้อมูล entity ไม่ถูกต้อง: %s"
"Invalid entity type","ประเภทของ Entity ไม่ถูกต้อง"
"Invalid entity_type specified: %s","entity_type ที่ระบุไม่ถูกต้อง: %s"
"Invalid foreign key","foreign key ไม่ถูกต้อง"
"Invalid store specified","กำหนดร้านค้าไม่ถุกต้อง"
"Joined field with this alias is already declared","ฟิลด์ร่วมที่มีนามแฝงนี้ถูกประกาศไปแล้ว"
"Letters","ตัวอักษร"
"Loaded %d records","โหลดการบัยทึก %d "
"Multiple Select","เลือกหลายรายการ"
"No","ไม่"
"None","ไม่มี"
"Not shared with other products","ไม่ใช้ร่วมกับสินค้าอื่น"
"Problem loading the collection, aborting. Error: %s","เกิดปัญหาขณะโหลดคอลเลคชั่น กำลังยกเลิก ข้อผิดพลาด: %s"
"Problem saving the collection, aborting. Error: %s","พบปัญหาในการบันทึกข้อมูลกำลังยกเลิกการบันทึก ข้อผิดพลาด: %s"
"Required","จำเป็น"
"System","ระบบ"
"Text Area","พื้นที่ข้อความ"
"Text Field","ฟิลด์ข้อความ"
"Unique Value","ค่าที่ไม่ซ้ำ"
"Unique Value (not shared with other products)","ค่าที่ไม่ซ้ำ (ซึ่งไม่ใช้ร่วมกับสินค้าอื่น)"
"Unknown parameter","parameter ที่ไม่รู้จัก"
"Values Required","จำเป็นต้องใส่ค่า"
"Wrong attribute group ID","รหัสกลุ่มคุณลักษณะไม่ถูกต้อง"
"Wrong attribute set ID","รหัสชุดคุณลักษณะไม่ถูกต้อง"
"Wrong entity ID","Entity รหัสไม่ถูกต้อง"
"Yes","ใช่"
"Yes/No","ใช่/ไม่ใช่"
