"%d Review(s)","%d บทวิจารณ์"
"%s Review(s)","%s บทวิจารณ์"
"(Posted on %s)","(โพสต์เมื่อ %s)"
"1 star","1 ดาว"
"2 stars","2 ดาว"
"3 stars","3 ดาว"
"4 stars","4 ดาว"
"5 stars","5 ดาว"
"Add New Review","เพิ่มบทวิจารณ์ใหม่"
"Add Your Review","เพิ่มบทวิจารณ์ของคุณ"
"Administrator","ผู้ดูแลระบบ"
"All Reviews","บทวิจารณ์ทั้งหมด"
"Approved","อนุมัติ"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Average Customer Rating","ลูกค้าให้คะแนนเฉลี่ย"
"Average Customer Rating:","ลูกค้าให้คะแนนเฉลี่ย:"
"Back","ย้อนกลับ"
"Back to My Reviews","กลับไปยังบทวิจารณ์ของฉัน"
"Back to Product Reviews","กลับไปยังบทวิจารณ์สินค้า"
"Be the first to review this product","เป็นคนแรกที่รีวิวสินค้านี้"
"Created On","สร้างเมื่อ"
"Customer","ลูกค้า"
"Customer Reviews","บทวิจารณ์ของลูกค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Delete","ลบ"
"Delete Review","ลบบทวิจารณ์"
"Detailed Rating","รายละเอียดการให้คะแนน"
"Edit Review '%s'","แก้ไขบทวิจารณ์ '%s'"
"Guest","ผู้ใช้ทั่วไป"
"How do you rate this product?","คุณจะให้คะแนนสินค้านี้อย่างไร?"
"ID","ไอดี"
"Manage Ratings","จัดการการให้คะแนน"
"My Product Reviews","สินค้าที่ฉันรีวิว"
"My Recent Reviews","บทวิจารณ์ล่าสุดของฉัน"
"Name","ชื่อ"
"New Review","บทวิจารณ์ใหม่"
"Nickname","ชื่อเล่น"
"Pending","รอตรวจสอบ"
"Pending Reviews","บทวิจารณ์ที่กำลังตรวจสอบ"
"Please select a product","กรุณาเลือกสินค้า"
"Please select one of each of the ratings above","กรุณาเลือกให้คะแนน คะแนนใดคะแนนหนึ่งด้านบน"
"Posted By","โพสต์โดย"
"Price","ราคา"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product Rating","คะแนนสินค้า"
"Product Rating:","คะแนนสินค้า:"
"Product Review (submitted on %s):","บทวิจารณ์สินค้า (ยืนยัน เมื่อ %s):"
"Product Reviews","บทวิจารณ์สินค้า"
"Product SKU","SKU สินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Qty","จำนวน"
"Rating:","คะแนน:"
"Review","รีวิว"
"Review Details","รายละเอียดบทวิจารณ์"
"Review by %s","วิจารณ์โดย %s"
"Reviews","รีวิว"
"SKU","รหัสสินค้า"
"Save Review","บันทึกบทวิจารณ์"
"Status","สถานะ"
"Submit Review","ส่งรีวิว"
"Summary Rating","สรุปคะแนน"
"Summary of Review","สรุปบทวิจารณ์"
"Summary of Your Review","บทสรุปของการวิจารณ์ของคุณ"
"Type","ชนิด"
"View All Reviews","ดูทุกบทวิจารณ์"
"View Details","ดูรายละเอียด"
"Visible In","สามารถเห็นได้ใน"
"Websites","เว็บไซต์"
"Write Your Own Review","เขียนบทวิจารณ์ของคุณเอง"
"You have submitted no reviews.","คุณยังไม่เคยส่งรีวิวสินค้า"
"You're reviewing:","คุณกำลังเขียนรีวิว:"
"Your Rating:","คุณให้คะแนน:"
"Your Review (submitted on %s):","บทวิจารณ์ของคุณ(submit เมื่อ %s):"
