"# of Use","# จำนวนที่ใช้"
"%s Item(s)","%s รายการ(s)"
"(Copy data from: %s)","(คัดลอกข้อมูลจาก: %s)"
"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"-- Please Select --","-- โปรดเลือก-"
"A name is required","ต้องใส่ชื่อให้ระบบ"
"ALL GROUPS","กลุ่มทั้งหมด"
"Action","ดำเนินการ"
"Add","เพิ่มใหม่"
"Add Attribute","เพิ่มแอตทริบิวต์"
"Add Design Change","เพิ่มการเปลี่ยนแปลงดีไซน์"
"Add Group","เพิ่มกลุ่มใหม่"
"Add New","เพิ่มใหม่"
"Add New Attribute","เพิ่มแอตทริบิวต์"
"Add New Attribute Set","เพิ่มชุดคุณลักษณะใหม่"
"Add New Group","เพิ่มกลุ่มใหม่"
"Add New Images","เพิ่มรูปภาพใหม่"
"Add New Option","เพิ่มตัวเลือกใหม่"
"Add New Row","เพิ่มแถวใหม่"
"Add New Search Term","เพิ่มคำค้นหาใหม่"
"Add New Set","เพิ่มชุดสินค้าใหม่"
"Add Product","เพิ่มสินค้า"
"Add Product To Websites","เพิ่่มสินค้าไปยังเว็บไซต์"
"Add Root Category","เพิ่มหมวดหมู่หลัก"
"Add Subcategory","เพิ่มหมวดหมู่ย่อย"
"Add Tier","เพิ่มระดับ"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยังรายการโปรด"
"Additional Information","ข้อมูลที่เพิ่มขึ้น"
"All","ทั้งหมด"
"All Product Types","ประเภทสินค้าทั้งหมด"
"All Websites","เว็บไซต์ทั้งหมด"
"Apply To","ใช้งานไปยัง"
"Approved","อนุมัติ"
"Are you sure you want to delete this category?","คุณแน่ใจหรือไม่ว่าต้องการลบหมวดหมู่นี้?"
"Are you sure you would like to remove this item from the compare products?","คุณแน่ใจว่าต้องการลบรายการนี้จากรายการเปรียบเทียบสินค้า?"
"Are you sure?","คุณแน่ใจหรือไม่?"
"As low as:","ต่ำเท่ากับ:"
"Associated Products","สินค้าที่เกี่ยวข้องกัน"
"Attrib. Set Name","ชื่อชุดคุณลักษณะสินค้า"
"Attribute Information","ข้อมูลคุณลักษณะ"
"Attribute Model","แบบคูณลักษณะ"
"Attribute Name:","ชื่อคูณลักษณะ:"
"Attribute Set","ชุดแอตทริบิวต์"
"Attribute with the same code already exists","มีคุณลักษณะที่ใช้โค้ดเดียวกันอยู่แล้ว"
"Attributes","คุณสมบัติ"
"Autogenerate","สร้างอัตโนมัติ"
"Availability:","สถานะสินค้า:"
"Back","ย้อนกลับ"
"Backend Model","แบบส่วนหลัง"
"Backend Table","ตารางส่วนหลัง"
"Backend Table Title","หัวข้อตารางส่วนหลัง"
"Backorders","คำสั่งซื้อล่วงหน้า"
"Based On","อยู่บนพื้นฐานของ"
"Best Value","ความนิยมมากที่สุด"
"Bottom/Left","ล่างซ้าย"
"Bottom/Right","ล่างขวา"
"Browse By","ค้นหาโดย"
"Can be used only with catalog input type Dropdown"," สามารถใช้ได้เฉพาะกับรายการสินค้าที่มีการนำเข้าข้อมูลแบบดรอปดาวน์"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","สามารถใช้ได้เฉพาะกับแค็ตตาล็อคที่มีการนำเข้าข้อมูลแบบดรอปดาวน์, และเลือกหลายราคา"
"Cancel","ยกเลิก"
"Cart Item Attribute","คุณลักษณะรายการรถเข็น"
"Catalog","แค็ตตาล็อก"
"Catalog Price Scope","ขอบเขตราคารายการสินค้า"
"Catalog, Search","หมวดหมู่, ค้นหา"
"Categories","หมวดหมู่"
"Categories Sitemap","แผนผังเว็บไซต์"
"Category","หมวดหมู่"
"Category Data","ข้อมูลประเภท"
