"* Required Fields","* Nødvendige felt"
"-- Select --","-- Velg --"
"Add New Option","Legg til nytt alternativ"
"As Low as","Så lav som"
"As low as","Så lav som"
"Bundle Items","Pakke-elementer"
"Checkbox","Avkryssingsboks"
"Choose a selection...","Velg et utvalg..."
"Click for price","Klikk for pris"
"Close","Lukk"
"Default","Standard"
"Default Title","Standard tittel"
"Drop-down","Rullegardin"
"Dynamic","Dynamisk"
"Excl. Tax","ex. moms"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gavemelding"
"Incl. Tax","Inkl. MVA"
"Input Type","Inndatatype"
"Message:","Melding:"
"Multiple Select","Merk flere"
"N/A","I/T"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"None","Ingen"
"Percent","Prosent"
"Percent Discount","Prosent rabatt"
"Please enter a number greater 0 in this field.","Skriv inn et tall større 0 i dette feltet."
"Position","Posisjon"
"Price Range","Prisområde"
"Price Type","Pristype"
"Qty:","Antall:"
"Radio Buttons","Radioknapper"
"SKU","Varenummer"
"Separately","Separat"
"Ship Bundle Items","Send pakke-elementer"
"Shipment","Forsendelse"
"Store View Title","Butikk se tittel"
"To","Til"
"To:","Til:"
"Together","Sammen"
"Use Default Value","Bruk standardverdi"
"save","spar"
