" [deleted]"," [slettet]"
"* Required Fields","* Nødvendige felt"
"-- Please Select --","-Vennligst velg--"
"-- Please Select Billing Agreement--","-Vennligst velg faktureringsavtale--"
"-- Please Select a Category --","-Velg en kategori-"
"-- Please select --","-Vennligst velg--"
"--Please Select--","-Vennligst velg--"
"1 Hour","1 time"
"12 Hours","12 timer"
"12h AM/PM","12 timer AM/PM"
"2 Hours","2 timer"
"24 Hours","24 timer"
"24h","24t"
"2YTD","2 ÅTD"
"6 Hours","6 timer"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 feil</h1><p>Fant ikke siden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Merk</strong>: Captcha er case sensitive."
"A user with the same user name or email already exists.","Det finnes allerede en bruker med samme navn eller e-post."
"API Key","API-nøkkel"
"About the calendar","Om kalenderen"
"Account Created in:","Konto opprettet i:"
"Account Information","Kontoinformasjon"
"Account Status","Kontostatus"
"Action","Handling"
"Actions","Handlinger"
"Active","Aktiv"
"Add","Legg til"
"Add New","Legg til ny"
"Add New Block","Legg til ny blokk"
"Add New Image","Legg til nytt bilde"
"Add New Role","Legg til ny regel"
"Add New Template","Legg til ny mal"
"Add New User","Legg til ny bruker"
"Add New Variable","Legg til ny variabel"
"Add Products","Legg til produkter"
"Add URL Rewrite","Legg til URL omskriving"
"Add URL Rewrite for a Category","Legg til URL-omskriving for en kategori"
"Add after","Legg til etter"
"Additional Cache Management","Ekstra Cache Konfigurasjon"
"Advanced Admin Section","Avanserte Administratorinnstillinger"
"Advanced Section","Avanserte innstillinger"
"All","Alle"
"All Allowed Countries","Alle tillatt land"
"All Cache","Alt lagret i Cache"
"All Files","Alle filer"
"All Reviews","Alle produktanmeldelser"
"All Store Views","Alle butikkvisninger"
"All Websites","Alle nettsteder"
"All countries","Alle land"
"Always (during development)","Alltid (under utvikling)"
"Amounts","Beløp"
"An error occurred while clearing the JavaScript/CSS cache.","Det oppstod en feil under tømming av hurtigbuffer for JavaScript/CSS."
"An error occurred while clearing the image cache.","Det oppstod en feil under tømming av hurtigbuffer for bilder."
"An error occurred while deleting this role.","Det oppstod en feil under sletting av denne rollen."
"An error occurred while saving account.","Det oppstod en feil under lagring av konto."
"An error occurred while saving this role.","Det oppstod en feil under lagring av denne rollen."
"Any","Hvilket som helst"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Assigned","Tildelt"
"Attributes","Attributter"
"Authorize","Autoriser"
"Automatic (equalize price ranges)","Automatisk (utjevne prisklasser)"
"Automatic (equalize product counts)","Automatisk (utjevne produktantall)"
"Back","Tilbake"
"Backup","Sikkerhetskopi"
"Backup Name","Sikkerhetskopinavn"
"Backup options","Alternativer for sikkerhetskopiering"
"Backups","Sikkerhetskopier"
"Base currency","Standardvalutaen"
"Bcc","Blindkopi"
"Bestsellers","Bestselgere"
"Billing Address","Faktureringsadresse"
"Billing Address: ","Faktureraadresse:"
"Billing Agreement","Faktureringsavtale"
"Billing Agreements","Faktureringsavtaler"
"Block Information","Blokkinformasjon"
"Blocks","Blokker"
"Browse Files...","Bla gjennom filer..."
"By Email","Via e-post"
"By IP","Ved IP"
"By IP and Email","Ved IP og epost"
"Cache Control","Cache Kontroll"
"Cache Management","Cachebehandling"
"Cache Type","Hurtigbuffertype"
"Cancel","Avbryt"
"Cannot add new comment.","Kan ikke legge til ny kommentar."
"Cannot add tracking number.","Kan ikke legge til sporingsnummer."
"Cannot do shipment for the order separately from invoice.","Kan ikke gjøre forsendelsen for ordren separat fra fakturaen."
"Cannot do shipment for the order.","Kan ikke gjennomføre forsendelse for ordren."
"Cannot save shipment.","Kan ikke lagre forsendelsen."
"Cannot send shipment information.","Kan ikke sende forsendelsesinformasjon."
"Card Verification Number","Kort verifikasjonsnummer"
"Catalog","Katalog"
"Catalog Rewrites","Karalogomskriving"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Checkbox","Avkryssingsboks"
"Choose Store View:","Velg lager-visning:"
"Clear","Tøm"
"Close","Lukk"
