"1 Day Freight","1 dag frakt"
"2 Day","2 Dager"
"2 Day AM","2 dag AM"
"2 Day Freight","2-dagers frakt"
"3 Day Freight","3-dagers frakt"
"Access License Number","Tilgang Lisens Antall"
"Account Number","Kontonummer"
"Adult Signature Required","Voksen Signatur fjernet"
"Allowed Methods","Tillatte metoder"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Canada Standard","Kanada Standard"
"Centimeters","Centimeter"
"Commercial","Kommersiell"
"Configuration","Innstillinger"
"Container","Beholder"
"Customer Packaging","Kunde-emballasje"
"Debug","Feilsøk"
"Delivery Confirmation","Leveringsbekreftelse"
"Depth","Dybde"
"Destination Type","Destinasjon Type"
"Development","Utvikling"
"Displayed Error Message","Vis Feilmelding"
"Documents","Dokumenter"
"Empty response","Tomt svar"
"Enabled for Checkout","Aktivert for Checkout"
"Europe First Priority","Europa førsteprioritet"
"Express Saver","Ekspress lagring"
"First-Class Mail Large Envelope","First-Class Mail Stor Konvolutt"
"First-Class Mail Letter","A-prioritet brevsending"
"First-Class Mail Postcards","First-Class Mail Postkort"
"Flat-Rate Envelope","Fast pris konvolutt"
"Free Method","Gratis metode"
"Freight","Frakt"
"Freight worldwide","Frakt over hele verden"
"Gift","Gave"
"Girth","Omkrets"
"Ground","Bakken"
"Handling Applied","Håndtering brukt"
"Handling Fee","Ekspedisjonsgebyr"
"Height","Høyde"
"Home Delivery","Hjemkjøring"
"Inches","Tommer"
"International Economy","Internasjonal økonomi"
"Intl Economy Freight","Internasjonal økonomifrakt"
"Key","Nøkkel"
"Kilograms","Kilo"
"Large","Stor"
"Length","Lengde"
"Letter","Brev"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimal Pakkevekt (Vennligst se transportør for maksimal støttede frakt vekt)"
"Merchandise","Varer"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Pakkevekt (Vennligst se transportør for minimum støttet frakte vekt)"
"National Freight","Innenlands frakt"
"No","Nei"
"No packages for request","Ingen pakker for forespørsel"
"Non-rectangular","Ikke-rektangulær"
"None","Ingen"
"Not Required","Ikke nødvendig"
"Order","Rekkefølge"
"Other","Annet"
"Package","Pakke"
"Packages Request Type","Pakker forespørselstype"
"Parcel","Pakke"
"Password","Passord"
"Pounds","Pund"
"Rectangular","Rektangulær"
"Regular","Vanlig"
"Required","Kreves"
"Return","Gå tilbake"
"Sample","Eksempel"
"Sender","Avsender"
"Ship to Applicable Countries","Send til bestemte land"
"Ship to Specific Countries","Send til bestemte land"
"Show Method if Not Applicable","Vis metode hvis ikke gjeldende"
"Signature Required","Signatur fjernet"
"Size","Størrelse"
"Sort Order","Sorteringsrekkefølge"
"Standard Overnight","Standard over-natt"
"Subtotal","Delsum"
"The field is applicable if the Smart Post method is selected.","Feltet er tilgjengelig hvis Smart Post-metoden er valgt."
"Title","Tittel"
"UPS Ground","UPS veifrakt"
"UPS Standard","UPS-standard"
"UPS Type","UPS-Type"
"Unable to retrieve tracking","Kan ikke hente sporing"
"User ID","Bruker-ID"
"Variable","Variabel"
"Weight Unit","Vektenhet"
"Width","Bredde"
"Yes","Ja"
"inch","tomme"
